Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,PDef,year
Colts,                    390                  ,                    4203                  ,                    10.8                  ,                    32                  ,                    43                  ,                    8                  ,                    69T                  ,                    213                  ,                    54.6                  ,                    4                  ,                    69                  ,2021
Seahawks,                    443                  ,                    4766                  ,                    10.8                  ,                    24                  ,                    49                  ,                    8                  ,                    76T                  ,                    240                  ,                    54.2                  ,                    1                  ,                    80                  ,2021
Browns,                    367                  ,                    3712                  ,                    10.1                  ,                    29                  ,                    45                  ,                    5                  ,                    75T                  ,                    184                  ,                    50.1                  ,                    4                  ,                    79                  ,2021
Eagles,                    409                  ,                    3976                  ,                    9.7                  ,                    28                  ,                    38                  ,                    7                  ,                    64                  ,                    208                  ,                    50.9                  ,                    3                  ,                    56                  ,2021
Saints,                    369                  ,                    4131                  ,                    11.2                  ,                    20                  ,                    56                  ,                    11                  ,                    84T                  ,                    185                  ,                    50.1                  ,                    4                  ,                    81                  ,2021
Buccaneers,                    364                  ,                    3792                  ,                    10.4                  ,                    29                  ,                    44                  ,                    9                  ,                    69T                  ,                    186                  ,                    51.1                  ,                    8                  ,                    59                  ,2022
Chargers,                    310                  ,                    3693                  ,                    11.9                  ,                    24                  ,                    54                  ,                    10                  ,                    60T                  ,                    175                  ,                    56.4                  ,                    5                  ,                    64                  ,2022
Vikings,                    408                  ,                    4756                  ,                    11.7                  ,                    23                  ,                    61                  ,                    9                  ,                    68T                  ,                    224                  ,                    54.9                  ,                    3                  ,                    87                  ,2022
Chiefs,                    408                  ,                    4144                  ,                    10.2                  ,                    33                  ,                    44                  ,                    7                  ,                    66T                  ,                    207                  ,                    50.7                  ,                    2                  ,                    85                  ,2022
Cardinals,                    414                  ,                    4181                  ,                    10.1                  ,                    29                  ,                    40                  ,                    5                  ,                    64                  ,                    218                  ,                    52.7                  ,                    5                  ,                    77                  ,2022
Bengals,                    329                  ,                    3828                  ,                    11.6                  ,                    17                  ,                    53                  ,                    9                  ,                    75T                  ,                    173                  ,                    52.6                  ,                    6                  ,                    75                  ,2022
Seahawks,                    343                  ,                    3891                  ,                    11.3                  ,                    23                  ,                    53                  ,                    5                  ,                    81                  ,                    188                  ,                    54.8                  ,                    4                  ,                    81                  ,2022
Colts,                    365                  ,                    3836                  ,                    10.5                  ,                    25                  ,                    48                  ,                    8                  ,                    64T                  ,                    184                  ,                    50.4                  ,                    6                  ,                    62                  ,2022
Jaguars,                    385                  ,                    4258                  ,                    11.1                  ,                    25                  ,                    52                  ,                    8                  ,                    62                  ,                    211                  ,                    54.8                  ,                    4                  ,                    95                  ,2022
Lions,                    353                  ,                    4446                  ,                    12.6                  ,                    26                  ,                    59                  ,                    12                  ,                    54                  ,                    209                  ,                    59.2                  ,                    7                  ,                    62                  ,2022
Dolphins,                    416                  ,                    4282                  ,                    10.3                  ,                    27                  ,                    48                  ,                    11                  ,                    79                  ,                    200                  ,                    48.1                  ,                    5                  ,                    71                  ,2022
Packers,                    314                  ,                    3553                  ,                    11.3                  ,                    22                  ,                    45                  ,                    14                  ,                    84T                  ,                    163                  ,                    51.9                  ,                    5                  ,                    63                  ,2022
Steelers,                    332                  ,                    4066                  ,                    12.2                  ,                    29                  ,                    55                  ,                    7                  ,                    98T                  ,                    196                  ,                    59                  ,                    2                  ,                    82                  ,2022
Bills,                    362                  ,                    3721                  ,                    10.3                  ,                    21                  ,                    48                  ,                    7                  ,                    67T                  ,                    181                  ,                    50                  ,                    1                  ,                    90                  ,2022
Raiders,                    399                  ,                    4321                  ,                    10.8                  ,                    25                  ,                    57                  ,                    5                  ,                    67                  ,                    206                  ,                    51.6                  ,                    4                  ,                    55                  ,2022
Patriots,                    364                  ,                    4029                  ,                    11.1                  ,                    28                  ,                    54                  ,                    5                  ,                    63                  ,                    194                  ,                    53.3                  ,                    6                  ,                    69                  ,2022
Jets,                    347                  ,                    3526                  ,                    10.2                  ,                    15                  ,                    38                  ,                    7                  ,                    56T                  ,                    166                  ,                    47.8                  ,                    2                  ,                    73                  ,2022
Cowboys,                    345                  ,                    3767                  ,                    10.9                  ,                    23                  ,                    43                  ,                    9                  ,                    75T                  ,                    174                  ,                    50.4                  ,                    3                  ,                    59                  ,2022
Texans,                    336                  ,                    3775                  ,                    11.2                  ,                    15                  ,                    51                  ,                    3                  ,                    54T                  ,                    196                  ,                    58.3                  ,                    3                  ,                    65                  ,2022
Eagles,                    350                  ,                    3548                  ,                    10.1                  ,                    22                  ,                    40                  ,                    7                  ,                    63T                  ,                    186                  ,                    53.1                  ,                    1                  ,                    85                  ,2022
Rams,                    375                  ,                    4092                  ,                    10.9                  ,                    23                  ,                    44                  ,                    7                  ,                    57T                  ,                    203                  ,                    54.1                  ,                    1                  ,                    58                  ,2022
Giants,                    349                  ,                    3909                  ,                    11.2                  ,                    21                  ,                    48                  ,                    5                  ,                    61                  ,                    200                  ,                    57.3                  ,                    4                  ,                    75                  ,2022
Broncos,                    392                  ,                    3819                  ,                    9.7                  ,                    20                  ,                    46                  ,                    5                  ,                    63T                  ,                    180                  ,                    45.9                  ,                    5                  ,                    67                  ,2022
Commanders,                    308                  ,                    3531                  ,                    11.5                  ,                    26                  ,                    46                  ,                    16                  ,                    61                  ,                    155                  ,                    50.3                  ,                    6                  ,                    68                  ,2022
Saints,                    322                  ,                    3413                  ,                    10.6                  ,                    17                  ,                    34                  ,                    8                  ,                    78T                  ,                    159                  ,                    49.4                  ,                    5                  ,                    67                  ,2022
49ers,                    389                  ,                    4096                  ,                    10.5                  ,                    20                  ,                    48                  ,                    11                  ,                    77T                  ,                    188                  ,                    48.3                  ,                    3                  ,                    78                  ,2022
Browns,                    315                  ,                    3547                  ,                    11.3                  ,                    20                  ,                    50                  ,                    7                  ,                    75T                  ,                    166                  ,                    52.7                  ,                    4                  ,                    85                  ,2022
Ravens,                    394                  ,                    4252                  ,                    10.8                  ,                    20                  ,                    50                  ,                    10                  ,                    60T                  ,                    206                  ,                    52.3                  ,                    7                  ,                    77                  ,2022
Titans,                    439                  ,                    4935                  ,                    11.2                  ,                    29                  ,                    63                  ,                    9                  ,                    75T                  ,                    215                  ,                    49                  ,                    1                  ,                    78                  ,2022
Panthers,                    383                  ,                    4098                  ,                    10.7                  ,                    25                  ,                    51                  ,                    7                  ,                    63T                  ,                    194                  ,                    50.6                  ,                    3                  ,                    62                  ,2022
Falcons,                    372                  ,                    4090                  ,                    11                  ,                    26                  ,                    53                  ,                    10                  ,                    68T                  ,                    200                  ,                    53.8                  ,                    4                  ,                    69                  ,2022
Bears,                    323                  ,                    3840                  ,                    11.9                  ,                    22                  ,                    50                  ,                    10                  ,                    68                  ,                    184                  ,                    57                  ,                    4                  ,                    50                  ,2022
Cowboys,                    308                  ,                    3481                  ,                    11.3                  ,                    21                  ,                    47                  ,                    7                  ,                    73T                  ,                    166                  ,                    53.9                  ,                    5                  ,                    74                  ,2023
Vikings,                    426                  ,                    4288                  ,                    10.1                  ,                    23                  ,                    51                  ,                    7                  ,                    70T                  ,                    208                  ,                    48.8                  ,                    9                  ,                    67                  ,2023
Chiefs,                    340                  ,                    3352                  ,                    9.9                  ,                    19                  ,                    39                  ,                    3                  ,                    60                  ,                    169                  ,                    49.7                  ,                    6                  ,                    72                  ,2023
Bengals,                    364                  ,                    4480                  ,                    12.3                  ,                    23                  ,                    65                  ,                    11                  ,                    86T                  ,                    201                  ,                    55.2                  ,                    4                  ,                    74                  ,2023
Jaguars,                    404                  ,                    4355                  ,                    10.8                  ,                    27                  ,                    47                  ,                    13                  ,                    76T                  ,                    198                  ,                    49                  ,                    5                  ,                    84                  ,2023
Chargers,                    389                  ,                    4580                  ,                    11.8                  ,                    26                  ,                    61                  ,                    14                  ,                    70                  ,                    203                  ,                    52.2                  ,                    3                  ,                    83                  ,2023
Lions,                    371                  ,                    4562                  ,                    12.3                  ,                    28                  ,                    69                  ,                    9                  ,                    92T                  ,                    209                  ,                    56.3                  ,                    3                  ,                    79                  ,2023
Commanders,                    396                  ,                    4627                  ,                    11.7                  ,                    39                  ,                    60                  ,                    12                  ,                    78T                  ,                    218                  ,                    55                  ,                    3                  ,                    78                  ,2023
Saints,                    333                  ,                    3768                  ,                    11.3                  ,                    22                  ,                    48                  ,                    9                  ,                    71T                  ,                    167                  ,                    50.2                  ,                    4                  ,                    99                  ,2023
Dolphins,                    380                  ,                    4132                  ,                    10.9                  ,                    27                  ,                    57                  ,                    10                  ,                    75T                  ,                    186                  ,                    49                  ,                    6                  ,                    81                  ,2023
Bills,                    363                  ,                    3676                  ,                    10.1                  ,                    18                  ,                    44                  ,                    1                  ,                    48                  ,                    183                  ,                    50.4                  ,                    7                  ,                    79                  ,2023
Packers,                    342                  ,                    3803                  ,                    11.1                  ,                    21                  ,                    56                  ,                    3                  ,                    52T                  ,                    189                  ,                    55.3                  ,                    1                  ,                    68                  ,2023
Texans,                    382                  ,                    4334                  ,                    11.4                  ,                    17                  ,                    60                  ,                    15                  ,                    75T                  ,                    185                  ,                    48.4                  ,                    6                  ,                    70                  ,2023
Seahawks,                    390                  ,                    4259                  ,                    10.9                  ,                    21                  ,                    57                  ,                    10                  ,                    54T                  ,                    202                  ,                    51.8                  ,                    5                  ,                    77                  ,2023
Eagles,                    425                  ,                    4551                  ,                    10.7                  ,                    35                  ,                    56                  ,                    6                  ,                    69T                  ,                    222                  ,                    52.2                  ,                    6                  ,                    74                  ,2023
Buccaneers,                    404                  ,                    4568                  ,                    11.3                  ,                    23                  ,                    65                  ,                    9                  ,                    76T                  ,                    213                  ,                    52.7                  ,                    6                  ,                    64                  ,2023
Rams,                    367                  ,                    4195                  ,                    11.4                  ,                    24                  ,                    57                  ,                    10                  ,                    80T                  ,                    193                  ,                    52.6                  ,                    2                  ,                    76                  ,2023
Jets,                    313                  ,                    3182                  ,                    10.2                  ,                    19                  ,                    39                  ,                    7                  ,                    81T                  ,                    150                  ,                    47.9                  ,                    5                  ,                    91                  ,2023
Browns,                    307                  ,                    3149                  ,                    10.3                  ,                    23                  ,                    39                  ,                    7                  ,                    75T                  ,                    136                  ,                    44.3                  ,                    2                  ,                    92                  ,2023
Colts,                    370                  ,                    4157                  ,                    11.2                  ,                    21                  ,                    54                  ,                    8                  ,                    75T                  ,                    192                  ,                    51.9                  ,                    4                  ,                    69                  ,2023
Cardinals,                    347                  ,                    3846                  ,                    11.1                  ,                    32                  ,                    49                  ,                    10                  ,                    63T                  ,                    198                  ,                    57.1                  ,                    2                  ,                    66                  ,2023
Patriots,                    370                  ,                    3791                  ,                    10.2                  ,                    19                  ,                    48                  ,                    6                  ,                    51                  ,                    181                  ,                    48.9                  ,                    3                  ,                    66                  ,2023
Panthers,                    309                  ,                    3109                  ,                    10.1                  ,                    19                  ,                    39                  ,                    9                  ,                    75T                  ,                    162                  ,                    52.4                  ,                    3                  ,                    64                  ,2023
Raiders,                    376                  ,                    3900                  ,                    10.4                  ,                    21                  ,                    43                  ,                    11                  ,                    79T                  ,                    187                  ,                    49.7                  ,                    4                  ,                    56                  ,2023
Giants,                    371                  ,                    4157                  ,                    11.2                  ,                    21                  ,                    43                  ,                    10                  ,                    80                  ,                    191                  ,                    51.5                  ,                    8                  ,                    81                  ,2023
Broncos,                    382                  ,                    4302                  ,                    11.3                  ,                    29                  ,                    56                  ,                    8                  ,                    68T                  ,                    201                  ,                    52.6                  ,                    2                  ,                    62                  ,2023
49ers,                    410                  ,                    3949                  ,                    9.6                  ,                    20                  ,                    45                  ,                    5                  ,                    60T                  ,                    190                  ,                    46.3                  ,                    6                  ,                    84                  ,2023
Ravens,                    384                  ,                    3717                  ,                    9.7                  ,                    18                  ,                    46                  ,                    6                  ,                    71T                  ,                    175                  ,                    45.6                  ,                    3                  ,                    92                  ,2023
Falcons,                    340                  ,                    3707                  ,                    10.9                  ,                    24                  ,                    49                  ,                    6                  ,                    61T                  ,                    183                  ,                    53.8                  ,                    3                  ,                    66                  ,2023
Steelers,                    348                  ,                    4164                  ,                    12                  ,                    23                  ,                    63                  ,                    6                  ,                    80T                  ,                    186                  ,                    53.4                  ,                    6                  ,                    80                  ,2023
Bears,                    410                  ,                    4245                  ,                    10.4                  ,                    31                  ,                    48                  ,                    10                  ,                    75T                  ,                    196                  ,                    47.8                  ,                    4                  ,                    83                  ,2023
Titans,                    387                  ,                    4181                  ,                    10.8                  ,                    20                  ,                    52                  ,                    11                  ,                    59T                  ,                    189                  ,                    48.8                  ,                    2                  ,                    55                  ,2023
Bengals,                    372                  ,                    4016                  ,                    10.8                  ,                    30                  ,                    48                  ,                    10                  ,                    84T                  ,                    192                  ,                    51.6                  ,                    2                  ,                    79                  ,2024
Dolphins,                    365                  ,                    3829                  ,                    10.5                  ,                    22                  ,                    42                  ,                    6                  ,                    71T                  ,                    190                  ,                    52                  ,                    1                  ,                    69                  ,2024
Seahawks,                    371                  ,                    3930                  ,                    10.6                  ,                    26                  ,                    48                  ,                    6                  ,                    76T                  ,                    193                  ,                    52                  ,                    1                  ,                    74                  ,2024
Raiders,                    370                  ,                    3989                  ,                    10.8                  ,                    29                  ,                    47                  ,                    5                  ,                    62T                  ,                    194                  ,                    52.4                  ,                    3                  ,                    81                  ,2024
Buccaneers,                    418                  ,                    4464                  ,                    10.7                  ,                    27                  ,                    54                  ,                    9                  ,                    59                  ,                    212                  ,                    50.7                  ,                    6                  ,                    61                  ,2024
Chiefs,                    375                  ,                    3970                  ,                    10.6                  ,                    24                  ,                    52                  ,                    10                  ,                    58T                  ,                    191                  ,                    50.9                  ,                    4                  ,                    71                  ,2024
Lions,                    373                  ,                    4404                  ,                    11.8                  ,                    18                  ,                    62                  ,                    10                  ,                    64                  ,                    198                  ,                    53.1                  ,                    7                  ,                    81                  ,2024
Cowboys,                    349                  ,                    4045                  ,                    11.6                  ,                    28                  ,                    47                  ,                    12                  ,                    86T                  ,                    175                  ,                    50.1                  ,                    6                  ,                    70                  ,2024
Browns,                    316                  ,                    3878                  ,                    12.3                  ,                    26                  ,                    56                  ,                    9                  ,                    93T                  ,                    176                  ,                    55.7                  ,                    1                  ,                    60                  ,2024
Jets,                    327                  ,                    3588                  ,                    11                  ,                    18                  ,                    49                  ,                    7                  ,                    69T                  ,                    171                  ,                    52.3                  ,                    3                  ,                    57                  ,2024
Broncos,                    393                  ,                    4112                  ,                    10.5                  ,                    22                  ,                    47                  ,                    5                  ,                    70T                  ,                    203                  ,                    51.6                  ,                    4                  ,                    68                  ,2024
Cardinals,                    370                  ,                    3930                  ,                    10.6                  ,                    20                  ,                    46                  ,                    6                  ,                    53                  ,                    200                  ,                    54                  ,                    7                  ,                    63                  ,2024
Rams,                    354                  ,                    4101                  ,                    11.6                  ,                    29                  ,                    57                  ,                    7                  ,                    66T                  ,                    202                  ,                    57.1                  ,                    2                  ,                    73                  ,2024
Giants,                    349                  ,                    3869                  ,                    11.1                  ,                    23                  ,                    49                  ,                    7                  ,                    55T                  ,                    177                  ,                    50.7                  ,                    5                  ,                    60                  ,2024
Commanders,                    307                  ,                    3492                  ,                    11.4                  ,                    25                  ,                    47                  ,                    5                  ,                    45                  ,                    175                  ,                    57                  ,                    2                  ,                    60                  ,2024
Falcons,                    404                  ,                    4004                  ,                    9.9                  ,                    34                  ,                    44                  ,                    8                  ,                    67                  ,                    200                  ,                    49.5                  ,                    6                  ,                    66                  ,2024
Vikings,                    415                  ,                    4459                  ,                    10.7                  ,                    24                  ,                    51                  ,                    4                  ,                    98T                  ,                    218                  ,                    52.5                  ,                    2                  ,                    94                  ,2024
Texans,                    326                  ,                    3753                  ,                    11.5                  ,                    31                  ,                    49                  ,                    12                  ,                    70T                  ,                    172                  ,                    52.8                  ,                    3                  ,                    90                  ,2024
Bears,                    325                  ,                    3959                  ,                    12.2                  ,                    17                  ,                    57                  ,                    10                  ,                    82T                  ,                    177                  ,                    54.5                  ,                    6                  ,                    66                  ,2024
49ers,                    338                  ,                    3476                  ,                    10.3                  ,                    25                  ,                    39                  ,                    5                  ,                    97T                  ,                    181                  ,                    53.6                  ,                    4                  ,                    72                  ,2024
Jaguars,                    389                  ,                    4605                  ,                    11.8                  ,                    29                  ,                    71                  ,                    14                  ,                    80T                  ,                    219                  ,                    56.3                  ,                    0                  ,                    74                  ,2024
Patriots,                    346                  ,                    3749                  ,                    10.8                  ,                    27                  ,                    45                  ,                    6                  ,                    69T                  ,                    189                  ,                    54.6                  ,                    2                  ,                    73                  ,2024
Panthers,                    360                  ,                    4043                  ,                    11.2                  ,                    35                  ,                    51                  ,                    7                  ,                    63T                  ,                    205                  ,                    56.9                  ,                    4                  ,                    68                  ,2024
Saints,                    366                  ,                    4295                  ,                    11.7                  ,                    19                  ,                    55                  ,                    10                  ,                    89T                  ,                    194                  ,                    53                  ,                    2                  ,                    93                  ,2024
Titans,                    314                  ,                    3216                  ,                    10.2                  ,                    27                  ,                    42                  ,                    4                  ,                    57                  ,                    157                  ,                    50                  ,                    3                  ,                    53                  ,2024
Chargers,                    367                  ,                    3762                  ,                    10.2                  ,                    24                  ,                    48                  ,                    8                  ,                    60                  ,                    170                  ,                    46.3                  ,                    1                  ,                    87                  ,2024
Bills,                    396                  ,                    4100                  ,                    10.4                  ,                    28                  ,                    43                  ,                    4                  ,                    67T                  ,                    217                  ,                    54.8                  ,                    4                  ,                    60                  ,2024
