Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,PDef,year
Chiefs,                    257                  ,                    3407                  ,                    13.3                  ,                    23                  ,                    55                  ,                    8                  ,                    67T                  ,                    169                  ,                    65.8                  ,                    1                  ,                    86                  ,2011
Seahawks,                    324                  ,                    3750                  ,                    11.6                  ,                    18                  ,                    43                  ,                    10                  ,                    68T                  ,                    174                  ,                    53.7                  ,                    5                  ,                    89                  ,2011
Rams,                    293                  ,                    3562                  ,                    12.2                  ,                    21                  ,                    49                  ,                    12                  ,                    93T                  ,                    166                  ,                    56.7                  ,                    2                  ,                    66                  ,2011
Texans,                    279                  ,                    3322                  ,                    11.9                  ,                    18                  ,                    45                  ,                    6                  ,                    56                  ,                    166                  ,                    59.5                  ,                    0                  ,                    98                  ,2011
Vikings,                    367                  ,                    4361                  ,                    11.9                  ,                    34                  ,                    55                  ,                    13                  ,                    79T                  ,                    213                  ,                    58                  ,                    5                  ,                    53                  ,2011
Dolphins,                    350                  ,                    4233                  ,                    12.1                  ,                    24                  ,                    63                  ,                    10                  ,                    99T                  ,                    198                  ,                    56.6                  ,                    1                  ,                    65                  ,2011
Niners,                    333                  ,                    3978                  ,                    12                  ,                    20                  ,                    48                  ,                    12                  ,                    77                  ,                    190                  ,                    57.1                  ,                    5                  ,                    105                  ,2011
Bears,                    383                  ,                    4273                  ,                    11.2                  ,                    22                  ,                    49                  ,                    9                  ,                    79T                  ,                    199                  ,                    52                  ,                    3                  ,                    66                  ,2011
Jaguars,                    326                  ,                    3554                  ,                    10.9                  ,                    21                  ,                    43                  ,                    7                  ,                    80T                  ,                    175                  ,                    53.7                  ,                    1                  ,                    64                  ,2011
Broncos,                    333                  ,                    3987                  ,                    12                  ,                    24                  ,                    46                  ,                    13                  ,                    84                  ,                    182                  ,                    54.6                  ,                    3                  ,                    60                  ,2011
Lions,                    346                  ,                    3806                  ,                    11                  ,                    26                  ,                    42                  ,                    13                  ,                    71T                  ,                    167                  ,                    48.3                  ,                    3                  ,                    61                  ,2012
Cowboys,                    320                  ,                    3895                  ,                    12.2                  ,                    22                  ,                    52                  ,                    9                  ,                    68T                  ,                    195                  ,                    60.9                  ,                    3                  ,                    54                  ,2012
Saints,                    370                  ,                    4875                  ,                    13.2                  ,                    31                  ,                    66                  ,                    14                  ,                    95                  ,                    236                  ,                    63.8                  ,                    2                  ,                    90                  ,2012
Falcons,                    337                  ,                    4060                  ,                    12                  ,                    14                  ,                    53                  ,                    6                  ,                    77T                  ,                    189                  ,                    56.1                  ,                    4                  ,                    82                  ,2012
Broncos,                    321                  ,                    3558                  ,                    11.1                  ,                    25                  ,                    39                  ,                    9                  ,                    61T                  ,                    183                  ,                    57                  ,                    1                  ,                    75                  ,2012
Patriots,                    369                  ,                    4555                  ,                    12.3                  ,                    27                  ,                    74                  ,                    8                  ,                    68T                  ,                    207                  ,                    56.1                  ,                    9                  ,                    78                  ,2012
Raiders,                    347                  ,                    3960                  ,                    11.4                  ,                    28                  ,                    56                  ,                    12                  ,                    64                  ,                    180                  ,                    51.9                  ,                    6                  ,                    55                  ,2012
Packers,                    313                  ,                    3801                  ,                    12.1                  ,                    24                  ,                    50                  ,                    7                  ,                    80T                  ,                    191                  ,                    61                  ,                    4                  ,                    92                  ,2012
Eagles,                    292                  ,                    3668                  ,                    12.6                  ,                    33                  ,                    52                  ,                    11                  ,                    63T                  ,                    178                  ,                    61                  ,                    0                  ,                    72                  ,2012
Texans,                    308                  ,                    3881                  ,                    12.6                  ,                    29                  ,                    53                  ,                    11                  ,                    81T                  ,                    167                  ,                    54.2                  ,                    4                  ,                    116                  ,2012
Steelers,                    299                  ,                    3159                  ,                    10.6                  ,                    19                  ,                    31                  ,                    2                  ,                    71T                  ,                    169                  ,                    56.5                  ,                    5                  ,                    80                  ,2012
Colts,                    334                  ,                    3977                  ,                    11.9                  ,                    23                  ,                    44                  ,                    9                  ,                    80T                  ,                    190                  ,                    56.9                  ,                    3                  ,                    65                  ,2012
