Team,Rsh TD,Rec TD,Tot TD,2-PT,year
Vikings,                    15                  ,                    25                  ,                    41                  ,                    2                  ,2017
49ers,                    15                  ,                    15                  ,                    31                  ,                    0                  ,2017
Ravens,                    14                  ,                    20                  ,                    42                  ,                    1                  ,2017
Bears,                    13                  ,                    13                  ,                    31                  ,                    1                  ,2017
Packers,                    13                  ,                    25                  ,                    40                  ,                    1                  ,2017
Raiders,                    13                  ,                    23                  ,                    36                  ,                    2                  ,2017
Jets,                    13                  ,                    19                  ,                    32                  ,                    1                  ,2017
Falcons,                    12                  ,                    21                  ,                    36                  ,                    0                  ,2017
Bills,                    12                  ,                    16                  ,                    31                  ,                    0                  ,2017
Chiefs,                    12                  ,                    26                  ,                    42                  ,                    0                  ,2017
Steelers,                    12                  ,                    29                  ,                    43                  ,                    2                  ,2017
Browns,                    11                  ,                    15                  ,                    27                  ,                    1                  ,2017
Colts,                    11                  ,                    13                  ,                    25                  ,                    0                  ,2017
Lions,                    10                  ,                    29                  ,                    46                  ,                    2                  ,2017
Chargers,                    10                  ,                    28                  ,                    43                  ,                    0                  ,2017
Redskins,                    10                  ,                    27                  ,                    39                  ,                    0                  ,2017
Eagles,                    9                  ,                    38                  ,                    53                  ,                    6                  ,2017
Broncos,                    8                  ,                    19                  ,                    31                  ,                    2                  ,2017
Texans,                    8                  ,                    28                  ,                    40                  ,                    2                  ,2017
Buccaneers,                    8                  ,                    26                  ,                    38                  ,                    2                  ,2017
Bengals,                    6                  ,                    25                  ,                    34                  ,                    0                  ,2017
Giants,                    6                  ,                    20                  ,                    28                  ,                    1                  ,2017
Cardinals,                    6                  ,                    21                  ,                    29                  ,                    1                  ,2017
Dolphins,                    4                  ,                    24                  ,                    31                  ,                    1                  ,2017
Seahawks,                    4                  ,                    34                  ,                    43                  ,                    2                  ,2017
Saints,                    26                  ,                    33                  ,                    60                  ,                    4                  ,2018
Rams,                    23                  ,                    32                  ,                    60                  ,                    5                  ,2018
Ravens,                    19                  ,                    18                  ,                    41                  ,                    1                  ,2018
Broncos,                    18                  ,                    19                  ,                    39                  ,                    0                  ,2018
Patriots,                    18                  ,                    29                  ,                    51                  ,                    0                  ,2018
Panthers,                    17                  ,                    28                  ,                    46                  ,                    2                  ,2018
Bears,                    16                  ,                    28                  ,                    50                  ,                    4                  ,2018
Chiefs,                    16                  ,                    50                  ,                    71                  ,                    1                  ,2018
Steelers,                    16                  ,                    35                  ,                    54                  ,                    4                  ,2018
Chargers,                    16                  ,                    32                  ,                    51                  ,                    6                  ,2018
Bills,                    15                  ,                    13                  ,                    29                  ,                    1                  ,2018
Browns,                    15                  ,                    29                  ,                    44                  ,                    4                  ,2018
Titans,                    15                  ,                    16                  ,                    34                  ,                    0                  ,2018
Seahawks,                    15                  ,                    35                  ,                    52                  ,                    1                  ,2018
Packers,                    14                  ,                    25                  ,                    41                  ,                    3                  ,2018
Bengals,                    13                  ,                    27                  ,                    45                  ,                    1                  ,2018
Cowboys,                    13                  ,                    22                  ,                    36                  ,                    2                  ,2018
Colts,                    13                  ,                    39                  ,                    52                  ,                    4                  ,2018
Giants,                    13                  ,                    23                  ,                    39                  ,                    4                  ,2018
Texans,                    12                  ,                    26                  ,                    42                  ,                    0                  ,2018
Eagles,                    12                  ,                    29                  ,                    41                  ,                    5                  ,2018
Redskins,                    12                  ,                    16                  ,                    29                  ,                    2                  ,2018
Falcons,                    11                  ,                    36                  ,                    49                  ,                    2                  ,2018
Lions,                    11                  ,                    22                  ,                    35                  ,                    0                  ,2018
Jets,                    11                  ,                    18                  ,                    34                  ,                    0                  ,2018
Buccaneers,                    11                  ,                    36                  ,                    49                  ,                    1                  ,2018
Raiders,                    9                  ,                    19                  ,                    30                  ,                    1                  ,2018
Vikings,                    9                  ,                    30                  ,                    42                  ,                    3                  ,2018
Cardinals,                    9                  ,                    15                  ,                    27                  ,                    2                  ,2018
Jaguars,                    7                  ,                    15                  ,                    25                  ,                    0                  ,2018
Dolphins,                    7                  ,                    26                  ,                    38                  ,                    1                  ,2018
49ers,                    7                  ,                    26                  ,                    35                  ,                    2                  ,2018
49ers,                    23                  ,                    28                  ,                    56                  ,                    2                  ,2019
Ravens,                    21                  ,                    37                  ,                    64                  ,                    2                  ,2019
Titans,                    21                  ,                    29                  ,                    54                  ,                    1                  ,2019
Panthers,                    20                  ,                    17                  ,                    38                  ,                    1                  ,2019
Rams,                    20                  ,                    22                  ,                    46                  ,                    1                  ,2019
Vikings,                    19                  ,                    26                  ,                    47                  ,                    1                  ,2019
Cowboys,                    18                  ,                    30                  ,                    49                  ,                    2                  ,2019
Packers,                    18                  ,                    26                  ,                    44                  ,                    3                  ,2019
Cardinals,                    18                  ,                    20                  ,                    38                  ,                    3                  ,2019
Texans,                    17                  ,                    27                  ,                    46                  ,                    1                  ,2019
Colts,                    17                  ,                    22                  ,                    42                  ,                    2                  ,2019
Patriots,                    17                  ,                    25                  ,                    49                  ,                    2                  ,2019
Chiefs,                    16                  ,                    30                  ,                    50                  ,                    1                  ,2019
Eagles,                    16                  ,                    27                  ,                    46                  ,                    4                  ,2019
Browns,                    15                  ,                    22                  ,                    38                  ,                    1                  ,2019
Seahawks,                    15                  ,                    31                  ,                    49                  ,                    1                  ,2019
Buccaneers,                    15                  ,                    33                  ,                    54                  ,                    5                  ,2019
Bills,                    13                  ,                    21                  ,                    35                  ,                    3                  ,2019
Raiders,                    13                  ,                    22                  ,                    37                  ,                    0                  ,2019
Saints,                    12                  ,                    36                  ,                    52                  ,                    0                  ,2019
Chargers,                    12                  ,                    24                  ,                    37                  ,                    1                  ,2019
Broncos,                    11                  ,                    16                  ,                    28                  ,                    1                  ,2019
Giants,                    11                  ,                    30                  ,                    44                  ,                    2                  ,2019
Falcons,                    10                  ,                    29                  ,                    42                  ,                    2                  ,2019
Dolphins,                    10                  ,                    22                  ,                    34                  ,                    1                  ,2019
Bengals,                    9                  ,                    18                  ,                    28                  ,                    2                  ,2019
Redskins,                    9                  ,                    18                  ,                    28                  ,                    1                  ,2019
Bears,                    8                  ,                    20                  ,                    30                  ,                    1                  ,2019
Lions,                    7                  ,                    28                  ,                    38                  ,                    0                  ,2019
Steelers,                    7                  ,                    18                  ,                    29                  ,                    0                  ,2019
Jets,                    6                  ,                    19                  ,                    31                  ,                    3                  ,2019
Jaguars,                    3                  ,                    24                  ,                    29                  ,                    4                  ,2019
Saints,                    30                  ,                    28                  ,                    59                  ,                    0                  ,2020
Titans,                    26                  ,                    33                  ,                    62                  ,                    4                  ,2020
Ravens,                    24                  ,                    27                  ,                    55                  ,                    2                  ,2020
Cardinals,                    22                  ,                    27                  ,                    49                  ,                    0                  ,2020
Browns,                    21                  ,                    27                  ,                    50                  ,                    2                  ,2020
Colts,                    20                  ,                    24                  ,                    50                  ,                    3                  ,2020
Raiders,                    20                  ,                    28                  ,                    48                  ,                    1                  ,2020
Vikings,                    20                  ,                    35                  ,                    55                  ,                    8                  ,2020
Patriots,                    20                  ,                    12                  ,                    36                  ,                    1                  ,2020
Panthers,                    19                  ,                    16                  ,                    38                  ,                    1                  ,2020
Rams,                    19                  ,                    20                  ,                    43                  ,                    1                  ,2020
49ers,                    19                  ,                    25                  ,                    45                  ,                    1                  ,2020
FootballTeam,                    18                  ,                    16                  ,                    37                  ,                    0                  ,2020
Lions,                    17                  ,                    27                  ,                    45                  ,                    2                  ,2020
Bills,                    16                  ,                    40                  ,                    60                  ,                    0                  ,2020
Packers,                    16                  ,                    48                  ,                    66                  ,                    2                  ,2020
Eagles,                    16                  ,                    22                  ,                    42                  ,                    7                  ,2020
Buccaneers,                    16                  ,                    42                  ,                    59                  ,                    0                  ,2020
Dolphins,                    15                  ,                    24                  ,                    42                  ,                    4                  ,2020
Seahawks,                    15                  ,                    40                  ,                    55                  ,                    1                  ,2020
Cowboys,                    14                  ,                    25                  ,                    42                  ,                    4                  ,2020
Falcons,                    13                  ,                    27                  ,                    41                  ,                    1                  ,2020
Bengals,                    13                  ,                    19                  ,                    33                  ,                    0                  ,2020
