Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys,year
Bills,                    245                  ,                    91                  ,                    10                  ,                    4                  ,                    170                  ,                    54.8                  ,                    98                  ,                    20.8                  ,                    1089                  ,2013
Browns,                    244                  ,                    109                  ,                    9                  ,                    4                  ,                    197                  ,                    54.3                  ,                    103                  ,                    22.3                  ,                    1107                  ,2013
Redskins,                    194                  ,                    66                  ,                    17                  ,                    12                  ,                    204                  ,                    60.5                  ,                    102                  ,                    23                  ,                    993                  ,2013
Texans,                    217                  ,                    75                  ,                    8                  ,                    3                  ,                    158                  ,                    55                  ,                    88                  ,                    19.4                  ,                    970                  ,2013
Jets,                    231                  ,                    85                  ,                    18                  ,                    7                  ,                    198                  ,                    57.4                  ,                    68                  ,                    16.2                  ,                    1048                  ,2013
Titans,                    201                  ,                    69                  ,                    11                  ,                    7                  ,                    191                  ,                    55.5                  ,                    108                  ,                    24.2                  ,                    1027                  ,2013
Bengals,                    225                  ,                    74                  ,                    16                  ,                    5                  ,                    178                  ,                    49.2                  ,                    72                  ,                    18.7                  ,                    1042                  ,2013
Jaguars,                    226                  ,                    96                  ,                    12                  ,                    9                  ,                    200                  ,                    56.5                  ,                    121                  ,                    23.9                  ,                    1089                  ,2013
Raiders,                    211                  ,                    91                  ,                    6                  ,                    2                  ,                    202                  ,                    54                  ,                    100                  ,                    22.6                  ,                    1029                  ,2013
Lions,                    211                  ,                    64                  ,                    12                  ,                    9                  ,                    197                  ,                    58.3                  ,                    62                  ,                    16.4                  ,                    982                  ,2013
Patriots,                    232                  ,                    98                  ,                    21                  ,                    4                  ,                    208                  ,                    61.9                  ,                    110                  ,                    22.9                  ,                    1118                  ,2013
Saints,                    199                  ,                    69                  ,                    12                  ,                    4                  ,                    168                  ,                    55.3                  ,                    82                  ,                    21.2                  ,                    943                  ,2013
Buccaneers,                    204                  ,                    80                  ,                    14                  ,                    8                  ,                    190                  ,                    54                  ,                    95                  ,                    21.7                  ,                    1020                  ,2013
Dolphins,                    238                  ,                    91                  ,                    15                  ,                    8                  ,                    192                  ,                    55.8                  ,                    114                  ,                    23.6                  ,                    1106                  ,2013
Packers,                    204                  ,                    78                  ,                    17                  ,                    10                  ,                    190                  ,                    57.2                  ,                    116                  ,                    26.8                  ,                    1015                  ,2013
Steelers,                    230                  ,                    91                  ,                    20                  ,                    9                  ,                    174                  ,                    52.9                  ,                    106                  ,                    24.5                  ,                    1036                  ,2013
Vikings,                    231                  ,                    102                  ,                    18                  ,                    11                  ,                    247                  ,                    59                  ,                    101                  ,                    22.8                  ,                    1132                  ,2013
Colts,                    210                  ,                    79                  ,                    19                  ,                    10                  ,                    191                  ,                    59                  ,                    101                  ,                    22.5                  ,                    1026                  ,2013
Chiefs,                    229                  ,                    78                  ,                    18                  ,                    9                  ,                    189                  ,                    56.6                  ,                    88                  ,                    20.6                  ,                    1067                  ,2013
