Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys,year
Steelers,                    199                  ,                    72                  ,                    19                  ,                    6                  ,                    157                  ,                    52.9                  ,                    89                  ,                    23.1                  ,                    940                  ,2017
Chargers,                    221                  ,                    86                  ,                    20                  ,                    6                  ,                    153                  ,                    46.5                  ,                    99                  ,                    23                  ,                    997                  ,2017
Bears,                    219                  ,                    86                  ,                    11                  ,                    6                  ,                    180                  ,                    52.5                  ,                    85                  ,                    19.7                  ,                    1003                  ,2017
Raiders,                    215                  ,                    88                  ,                    10                  ,                    7                  ,                    187                  ,                    51.8                  ,                    93                  ,                    21.5                  ,                    994                  ,2017
Redskins,                    226                  ,                    83                  ,                    15                  ,                    9                  ,                    171                  ,                    55.9                  ,                    105                  ,                    22.2                  ,                    1045                  ,2017
Cowboys,                    210                  ,                    90                  ,                    13                  ,                    4                  ,                    181                  ,                    48.8                  ,                    96                  ,                    23.8                  ,                    1000                  ,2017
Titans,                    214                  ,                    78                  ,                    16                  ,                    10                  ,                    231                  ,                    62.6                  ,                    68                  ,                    17.1                  ,                    1046                  ,2017
Dolphins,                    203                  ,                    75                  ,                    8                  ,                    2                  ,                    190                  ,                    56                  ,                    88                  ,                    20.4                  ,                    989                  ,2017
Patriots,                    208                  ,                    82                  ,                    23                  ,                    10                  ,                    204                  ,                    55.6                  ,                    98                  ,                    25.1                  ,                    1022                  ,2017
Bengals,                    241                  ,                    98                  ,                    19                  ,                    9                  ,                    173                  ,                    51.5                  ,                    111                  ,                    22.7                  ,                    1091                  ,2017
Chiefs,                    207                  ,                    83                  ,                    17                  ,                    9                  ,                    204                  ,                    62.8                  ,                    112                  ,                    25.3                  ,                    1044                  ,2017
Falcons,                    196                  ,                    75                  ,                    19                  ,                    13                  ,                    197                  ,                    54.4                  ,                    97                  ,                    24.1                  ,                    994                  ,2017
Buccaneers,                    216                  ,                    104                  ,                    9                  ,                    2                  ,                    202                  ,                    54.4                  ,                    102                  ,                    23.2                  ,                    1011                  ,2017
Saints,                    212                  ,                    87                  ,                    12                  ,                    4                  ,                    172                  ,                    52.3                  ,                    92                  ,                    22.7                  ,                    1002                  ,2017
Ravens,                    211                  ,                    72                  ,                    20                  ,                    10                  ,                    174                  ,                    51.6                  ,                    82                  ,                    23.2                  ,                    974                  ,2018
Jaguars,                    212                  ,                    80                  ,                    12                  ,                    3                  ,                    162                  ,                    51.9                  ,                    89                  ,                    20.5                  ,                    970                  ,2018
Bills,                    203                  ,                    74                  ,                    11                  ,                    6                  ,                    157                  ,                    50.2                  ,                    111                  ,                    25.2                  ,                    968                  ,2018
Cowboys,                    201                  ,                    85                  ,                    14                  ,                    6                  ,                    193                  ,                    52.6                  ,                    89                  ,                    22.2                  ,                    981                  ,2018
Colts,                    200                  ,                    82                  ,                    15                  ,                    7                  ,                    203                  ,                    52.9                  ,                    87                  ,                    21                  ,                    995                  ,2018
Jets,                    213                  ,                    72                  ,                    14                  ,                    9                  ,                    201                  ,                    54.8                  ,                    104                  ,                    23.6                  ,                    1061                  ,2018
Browns,                    210                  ,                    75                  ,                    20                  ,                    13                  ,                    216                  ,                    55                  ,                    130                  ,                    28.3                  ,                    1122                  ,2018
Lions,                    186                  ,                    69                  ,                    17                  ,                    9                  ,                    191                  ,                    59.1                  ,                    88                  ,                    21.8                  ,                    942                  ,2018
Texans,                    227                  ,                    91                  ,                    20                  ,                    12                  ,                    200                  ,                    52                  ,                    76                  ,                    19.7                  ,                    1022                  ,2018
Seahawks,                    183                  ,                    64                  ,                    13                  ,                    6                  ,                    201                  ,                    56.6                  ,                    91                  ,                    24.9                  ,                    955                  ,2018
Broncos,                    211                  ,                    82                  ,                    11                  ,                    6                  ,                    197                  ,                    55.8                  ,                    85                  ,                    19.8                  ,                    1022                  ,2018
Giants,                    206                  ,                    87                  ,                    17                  ,                    14                  ,                    205                  ,                    56.6                  ,                    103                  ,                    23.2                  ,                    1034                  ,2018
Redskins,                    196                  ,                    86                  ,                    13                  ,                    5                  ,                    197                  ,                    54.4                  ,                    109                  ,                    26.4                  ,                    996                  ,2018
Titans,                    205                  ,                    75                  ,                    20                  ,                    11                  ,                    182                  ,                    54                  ,                    98                  ,                    22.8                  ,                    1001                  ,2018
Eagles,                    201                  ,                    71                  ,                    19                  ,                    11                  ,                    215                  ,                    51.6                  ,                    71                  ,                    21.4                  ,                    1002                  ,2018
Packers,                    212                  ,                    79                  ,                    18                  ,                    12                  ,                    199                  ,                    59.2                  ,                    100                  ,                    22.4                  ,                    1017                  ,2018
Vikings,                    190                  ,                    58                  ,                    19                  ,                    9                  ,                    160                  ,                    50.8                  ,                    107                  ,                    24.3                  ,                    993                  ,2018
Falcons,                    195                  ,                    95                  ,                    13                  ,                    10                  ,                    226                  ,                    56.8                  ,                    115                  ,                    28.1                  ,                    1031                  ,2018
Patriots,                    197                  ,                    76                  ,                    16                  ,                    6                  ,                    208                  ,                    56.2                  ,                    93                  ,                    25.3                  ,                    1002                  ,2018
Bears,                    219                  ,                    75                  ,                    28                  ,                    16                  ,                    186                  ,                    49.3                  ,                    67                  ,                    19.8                  ,                    1004                  ,2018
Cardinals,                    205                  ,                    78                  ,                    13                  ,                    8                  ,                    186                  ,                    54.4                  ,                    139                  ,                    27.2                  ,                    1065                  ,2018
Steelers,                    197                  ,                    72                  ,                    13                  ,                    7                  ,                    200                  ,                    55.2                  ,                    84                  ,                    22.8                  ,                    987                  ,2018
Raiders,                    201                  ,                    93                  ,                    12                  ,                    8                  ,                    178                  ,                    59.5                  ,                    108                  ,                    22.5                  ,                    973                  ,2018
49ers,                    216                  ,                    87                  ,                    17                  ,                    10                  ,                    195                  ,                    56.7                  ,                    104                  ,                    23.4                  ,                    1023                  ,2018
Rams,                    188                  ,                    70                  ,                    15                  ,                    9                  ,                    185                  ,                    53.3                  ,                    101                  ,                    26.2                  ,                    960                  ,2018
Bengals,                    223                  ,                    109                  ,                    17                  ,                    11                  ,                    221                  ,                    56.8                  ,                    125                  ,                    26.8                  ,                    1084                  ,2018
Buccaneers,                    181                  ,                    73                  ,                    14                  ,                    7                  ,                    209                  ,                    54                  ,                    122                  ,                    28.6                  ,                    998                  ,2018
Dolphins,                    196                  ,                    84                  ,                    15                  ,                    6                  ,                    195                  ,                    58.2                  ,                    116                  ,                    23.9                  ,                    1024                  ,2018
Panthers,                    183                  ,                    73                  ,                    17                  ,                    10                  ,                    185                  ,                    52.4                  ,                    110                  ,                    28.6                  ,                    948                  ,2018
Saints,                    189                  ,                    78                  ,                    29                  ,                    14                  ,                    224                  ,                    58.3                  ,                    72                  ,                    20.2                  ,                    978                  ,2018
Chargers,                    202                  ,                    79                  ,                    20                  ,                    11                  ,                    178                  ,                    50.7                  ,                    101                  ,                    25.6                  ,                    981                  ,2018
Chiefs,                    193                  ,                    80                  ,                    27                  ,                    18                  ,                    247                  ,                    60.8                  ,                    129                  ,                    30.4                  ,                    1109                  ,2018
Eagles,                    205                  ,                    70                  ,                    18                  ,                    11                  ,                    185                  ,                    53.2                  ,                    76                  ,                    21.5                  ,                    967                  ,2019
Patriots,                    195                  ,                    47                  ,                    22                  ,                    8                  ,                    150                  ,                    49.5                  ,                    72                  ,                    19.7                  ,                    948                  ,2019
Bengals,                    209                  ,                    89                  ,                    10                  ,                    5                  ,                    183                  ,                    59.4                  ,                    124                  ,                    24.6                  ,                    1034                  ,2019
Lions,                    214                  ,                    94                  ,                    15                  ,                    7                  ,                    232                  ,                    60.9                  ,                    94                  ,                    20.7                  ,                    1094                  ,2019
Jaguars,                    190                  ,                    79                  ,                    11                  ,                    5                  ,                    193                  ,                    59                  ,                    114                  ,                    26.2                  ,                    999                  ,2019
Buccaneers,                    218                  ,                    75                  ,                    27                  ,                    13                  ,                    222                  ,                    54.4                  ,                    70                  ,                    19.3                  ,                    1073                  ,2019
Bears,                    209                  ,                    76                  ,                    23                  ,                    13                  ,                    190                  ,                    52.5                  ,                    86                  ,                    20.8                  ,                    1017                  ,2019
Bills,                    212                  ,                    76                  ,                    21                  ,                    8                  ,                    169                  ,                    48.6                  ,                    93                  ,                    24                  ,                    985                  ,2019
Giants,                    216                  ,                    86                  ,                    14                  ,                    8                  ,                    211                  ,                    57.2                  ,                    100                  ,                    21.3                  ,                    1061                  ,2019
Jets,                    225                  ,                    88                  ,                    12                  ,                    3                  ,                    187                  ,                    51.5                  ,                    75                  ,                    18                  ,                    1037                  ,2019
Rams,                    218                  ,                    86                  ,                    24                  ,                    14                  ,                    194                  ,                    55.8                  ,                    100                  ,                    22.5                  ,                    1056                  ,2019
Falcons,                    193                  ,                    77                  ,                    20                  ,                    12                  ,                    192                  ,                    54.7                  ,                    108                  ,                    25.6                  ,                    985                  ,2019
Panthers,                    193                  ,                    77                  ,                    9                  ,                    6                  ,                    197                  ,                    56.8                  ,                    128                  ,                    28.8                  ,                    1042                  ,2019
Colts,                    199                  ,                    85                  ,                    19                  ,                    8                  ,                    207                  ,                    52.5                  ,                    93                  ,                    24.3                  ,                    986                  ,2019
Dolphins,                    194                  ,                    81                  ,                    13                  ,                    8                  ,                    214                  ,                    62.2                  ,                    113                  ,                    23.3                  ,                    1053                  ,2019
Cowboys,                    201                  ,                    67                  ,                    22                  ,                    10                  ,                    188                  ,                    50.8                  ,                    101                  ,                    24.8                  ,                    1015                  ,2019
Packers,                    197                  ,                    75                  ,                    18                  ,                    8                  ,                    191                  ,                    58.6                  ,                    99                  ,                    24.1                  ,                    998                  ,2019
Broncos,                    211                  ,                    79                  ,                    19                  ,                    9                  ,                    175                  ,                    50.3                  ,                    96                  ,                    22.5                  ,                    1003                  ,2019
Raiders,                    190                  ,                    81                  ,                    13                  ,                    9                  ,                    201                  ,                    59.6                  ,                    91                  ,                    22.5                  ,                    963                  ,2019
49ers,                    192                  ,                    64                  ,                    25                  ,                    8                  ,                    150                  ,                    47.2                  ,                    105                  ,                    26.2                  ,                    968                  ,2019
Seahawks,                    185                  ,                    71                  ,                    12                  ,                    7                  ,                    224                  ,                    58.5                  ,                    97                  ,                    25                  ,                    1014                  ,2019
Cardinals,                    214                  ,                    100                  ,                    14                  ,                    3                  ,                    243                  ,                    57.7                  ,                    94                  ,                    21.4                  ,                    1080                  ,2019
Browns,                    195                  ,                    74                  ,                    17                  ,                    6                  ,                    184                  ,                    57.9                  ,                    124                  ,                    26.8                  ,                    1014                  ,2019
Steelers,                    209                  ,                    76                  ,                    21                  ,                    10                  ,                    164                  ,                    52.2                  ,                    110                  ,                    23.8                  ,                    1030                  ,2019
Vikings,                    214                  ,                    85                  ,                    29                  ,                    16                  ,                    215                  ,                    54.6                  ,                    78                  ,                    19.3                  ,                    1053                  ,2019
Chargers,                    195                  ,                    88                  ,                    13                  ,                    8                  ,                    156                  ,                    47.6                  ,                    101                  ,                    23.5                  ,                    923                  ,2019
Texans,                    202                  ,                    98                  ,                    16                  ,                    7                  ,                    220                  ,                    58.7                  ,                    98                  ,                    24.3                  ,                    1020                  ,2019
Saints,                    210                  ,                    73                  ,                    25                  ,                    11                  ,                    197                  ,                    53.1                  ,                    71                  ,                    20.6                  ,                    999                  ,2019
Ravens,                    194                  ,                    72                  ,                    18                  ,                    6                  ,                    163                  ,                    51.3                  ,                    74                  ,                    21.8                  ,                    921                  ,2019
Chiefs,                    202                  ,                    75                  ,                    31                  ,                    16                  ,                    190                  ,                    54                  ,                    115                  ,                    27.6                  ,                    1043                  ,2019
Titans,                    204                  ,                    74                  ,                    25                  ,                    10                  ,                    213                  ,                    55.2                  ,                    95                  ,                    22.9                  ,                    1056                  ,2019
Redskins,                    227                  ,                    111                  ,                    19                  ,                    12                  ,                    200                  ,                    53.9                  ,                    120                  ,                    24.3                  ,                    1079                  ,2019
Steelers,                    222                  ,                    83                  ,                    20                  ,                    5                  ,                    163                  ,                    54.7                  ,                    94                  ,                    22.7                  ,                    996                  ,2020
Rams,                    209                  ,                    74                  ,                    21                  ,                    9                  ,                    170                  ,                    49                  ,                    91                  ,                    23.4                  ,                    989                  ,2020
FootballTeam,                    216                  ,                    81                  ,                    24                  ,                    9                  ,                    161                  ,                    48.8                  ,                    100                  ,                    23.4                  ,                    1004                  ,2020
Chargers,                    204                  ,                    89                  ,                    15                  ,                    10                  ,                    186                  ,                    54.7                  ,                    112                  ,                    26.2                  ,                    997                  ,2020
Falcons,                    195                  ,                    80                  ,                    23                  ,                    10                  ,                    239                  ,                    56.2                  ,                    97                  ,                    25.5                  ,                    1034                  ,2020
Eagles,                    211                  ,                    80                  ,                    18                  ,                    7                  ,                    209                  ,                    57.4                  ,                    98                  ,                    20.4                  ,                    1060                  ,2020
Cowboys,                    209                  ,                    98                  ,                    21                  ,                    10                  ,                    180                  ,                    54.9                  ,                    142                  ,                    27.8                  ,                    1054                  ,2020
Bengals,                    210                  ,                    91                  ,                    16                  ,                    10                  ,                    192                  ,                    56.5                  ,                    126                  ,                    27.2                  ,                    1021                  ,2020
Broncos,                    219                  ,                    88                  ,                    14                  ,                    7                  ,                    201                  ,                    53.7                  ,                    106                  ,                    24.4                  ,                    1043                  ,2020
Saints,                    207                  ,                    79                  ,                    30                  ,                    16                  ,                    185                  ,                    55.6                  ,                    85                  ,                    21.8                  ,                    992                  ,2020
Ravens,                    191                  ,                    65                  ,                    35                  ,                    16                  ,                    213                  ,                    56                  ,                    96                  ,                    25.1                  ,                    1017                  ,2020
Jaguars,                    198                  ,                    86                  ,                    18                  ,                    12                  ,                    210                  ,                    56.8                  ,                    140                  ,                    27.1                  ,                    1068                  ,2020
Jets,                    202                  ,                    90                  ,                    12                  ,                    5                  ,                    235                  ,                    56.2                  ,                    100                  ,                    22.5                  ,                    1081                  ,2020
Bears,                    210                  ,                    80                  ,                    22                  ,                    13                  ,                    190                  ,                    54.3                  ,                    104                  ,                    23.7                  ,                    1020                  ,2020
Dolphins,                    186                  ,                    58                  ,                    26                  ,                    12                  ,                    193                  ,                    56.3                  ,                    113                  ,                    27.4                  ,                    998                  ,2020
Cardinals,                    202                  ,                    80                  ,                    21                  ,                    14                  ,                    207                  ,                    56.7                  ,                    118                  ,                    27.1                  ,                    1054                  ,2020
Raiders,                    205                  ,                    100                  ,                    17                  ,                    14                  ,                    223                  ,                    60.3                  ,                    114                  ,                    26                  ,                    1039                  ,2020
Giants,                    204                  ,                    91                  ,                    18                  ,                    11                  ,                    215                  ,                    55.4                  ,                    115                  ,                    26.6                  ,                    1046                  ,2020
Colts,                    203                  ,                    86                  ,                    14                  ,                    6                  ,                    203                  ,                    55                  ,                    94                  ,                    24.1                  ,                    992                  ,2020
49ers,                    200                  ,                    71                  ,                    20                  ,                    13                  ,                    176                  ,                    51.6                  ,                    102                  ,                    23.7                  ,                    997                  ,2020
Browns,                    205                  ,                    90                  ,                    27                  ,                    22                  ,                    214                  ,                    57.7                  ,                    116                  ,                    28.2                  ,                    1035                  ,2020
Panthers,                    199                  ,                    98                  ,                    10                  ,                    6                  ,                    211                  ,                    53                  ,                    114                  ,                    27.9                  ,                    1022                  ,2020
Chiefs,                    188                  ,                    77                  ,                    20                  ,                    13                  ,                    202                  ,                    57.9                  ,                    113                  ,                    26.1                  ,                    1022                  ,2020
Texans,                    202                  ,                    96                  ,                    21                  ,                    11                  ,                    222                  ,                    58.9                  ,                    145                  ,                    29.4                  ,                    1068                  ,2020
Lions,                    193                  ,                    91                  ,                    18                  ,                    11                  ,                    253                  ,                    66.1                  ,                    127                  ,                    26.1                  ,                    1073                  ,2020
Buccaneers,                    205                  ,                    82                  ,                    25                  ,                    14                  ,                    215                  ,                    50.5                  ,                    78                  ,                    21.8                  ,                    1023                  ,2020
Seahawks,                    223                  ,                    105                  ,                    23                  ,                    10                  ,                    253                  ,                    56.2                  ,                    97                  ,                    24.7                  ,                    1112                  ,2020
Bills,                    191                  ,                    76                  ,                    19                  ,                    11                  ,                    199                  ,                    53.9                  ,                    125                  ,                    30.2                  ,                    1025                  ,2020
Patriots,                    186                  ,                    76                  ,                    16                  ,                    9                  ,                    187                  ,                    56.2                  ,                    131                  ,                    28.2                  ,                    982                  ,2020
Titans,                    214                  ,                    111                  ,                    26                  ,                    15                  ,                    247                  ,                    58.4                  ,                    113                  ,                    26.5                  ,                    1076                  ,2020
Vikings,                    185                  ,                    73                  ,                    24                  ,                    17                  ,                    208                  ,                    58.1                  ,                    136                  ,                    28.8                  ,                    1031                  ,2020
Packers,                    185                  ,                    73                  ,                    24                  ,                    14                  ,                    184                  ,                    53.2                  ,                    119                  ,                    30                  ,                    974                  ,2020
Texans,                    206                  ,                    89                  ,                    19                  ,                    11                  ,                    218                  ,                    60.1                  ,                    135                  ,                    25.8                  ,                    1101                  ,2021
Steelers,                    232                  ,                    86                  ,                    24                  ,                    13                  ,                    186                  ,                    52.4                  ,                    144                  ,                    28.9                  ,                    1116                  ,2021
Titans,                    210                  ,                    77                  ,                    24                  ,                    14                  ,                    204                  ,                    51.6                  ,                    90                  ,                    24.5                  ,                    1039                  ,2021
Panthers,                    217                  ,                    82                  ,                    21                  ,                    12                  ,                    170                  ,                    50.4                  ,                    112                  ,                    23.6                  ,                    1028                  ,2021
Dolphins,                    231                  ,                    95                  ,                    18                  ,                    11                  ,                    199                  ,                    53.4                  ,                    106                  ,                    24.9                  ,                    1081                  ,2021
Giants,                    226                  ,                    90                  ,                    23                  ,                    15                  ,                    216                  ,                    53.7                  ,                    126                  ,                    25.6                  ,                    1137                  ,2021
