Team,FR TD,SFTY,INT TD,year
Broncos,                    0                  ,                    1                  ,                    0                  ,2022
Lions,                    0                  ,                    1                  ,                    1                  ,2022
Packers,                    0                  ,                    1                  ,                    2                  ,2022
Titans,                    0                  ,                    0                  ,                    1                  ,2022
Texans,                    0                  ,                    1                  ,                    1                  ,2022
Colts,                    0                  ,                    0                  ,                    2                  ,2022
Chiefs,                    0                  ,                    1                  ,                    2                  ,2022
Rams,                    0                  ,                    0                  ,                    1                  ,2022
Saints,                    0                  ,                    0                  ,                    1                  ,2022
Jets,                    0                  ,                    2                  ,                    0                  ,2022
Eagles,                    0                  ,                    0                  ,                    2                  ,2022
Steelers,                    0                  ,                    0                  ,                    1                  ,2022
Chargers,                    0                  ,                    1                  ,                    1                  ,2022
Seahawks,                    0                  ,                    0                  ,                    1                  ,2022
Buccaneers,                    0                  ,                    0                  ,                    1                  ,2022
Chiefs,                    2                  ,                    0                  ,                    0                  ,2023
Raiders,                    2                  ,                    1                  ,                    3                  ,2023
Vikings,                    2                  ,                    0                  ,                    0                  ,2023
Browns,                    1                  ,                    0                  ,                    2                  ,2023
Cowboys,                    1                  ,                    1                  ,                    5                  ,2023
Broncos,                    1                  ,                    1                  ,                    0                  ,2023
Packers,                    1                  ,                    0                  ,                    1                  ,2023
Texans,                    1                  ,                    0                  ,                    0                  ,2023
Colts,                    1                  ,                    1                  ,                    3                  ,2023
Patriots,                    1                  ,                    1                  ,                    0                  ,2023
Saints,                    1                  ,                    0                  ,                    1                  ,2023
Jets,                    1                  ,                    3                  ,                    2                  ,2023
Eagles,                    1                  ,                    1                  ,                    2                  ,2023
Cardinals,                    1                  ,                    0                  ,                    0                  ,2023
Steelers,                    1                  ,                    1                  ,                    1                  ,2023
Falcons,                    0                  ,                    1                  ,                    1                  ,2023
Ravens,                    0                  ,                    1                  ,                    1                  ,2023
Bills,                    0                  ,                    0                  ,                    2                  ,2023
Panthers,                    0                  ,                    0                  ,                    2                  ,2023
Bears,                    0                  ,                    0                  ,                    2                  ,2023
Bengals,                    0                  ,                    0                  ,                    1                  ,2023
Lions,                    0                  ,                    1                  ,                    1                  ,2023
Titans,                    0                  ,                    0                  ,                    1                  ,2023
Jaguars,                    0                  ,                    0                  ,                    2                  ,2023
Rams,                    0                  ,                    2                  ,                    0                  ,2023
Dolphins,                    0                  ,                    0                  ,                    4                  ,2023
Giants,                    0                  ,                    0                  ,                    3                  ,2023
Chargers,                    0                  ,                    0                  ,                    0                  ,2023
49ers,                    0                  ,                    1                  ,                    1                  ,2023
Seahawks,                    0                  ,                    0                  ,                    3                  ,2023
Buccaneers,                    0                  ,                    1                  ,                    1                  ,2023
Commanders,                    0                  ,                    0                  ,                    0                  ,2023
Broncos,                    2                  ,                    2                  ,                    3                  ,2024
Texans,                    2                  ,                    1                  ,                    1                  ,2024
Seahawks,                    2                  ,                    1                  ,                    2                  ,2024
Falcons,                    1                  ,                    1                  ,                    3                  ,2024
Bills,                    1                  ,                    1                  ,                    2                  ,2024
Browns,                    1                  ,                    1                  ,                    0                  ,2024
Colts,                    1                  ,                    0                  ,                    0                  ,2024
Jaguars,                    1                  ,                    0                  ,                    0                  ,2024
Chiefs,                    1                  ,                    0                  ,                    0                  ,2024
Rams,                    1                  ,                    1                  ,                    2                  ,2024
Vikings,                    1                  ,                    0                  ,                    2                  ,2024
Patriots,                    1                  ,                    0                  ,                    0                  ,2024
Steelers,                    1                  ,                    0                  ,                    0                  ,2024
Buccaneers,                    1                  ,                    1                  ,                    0                  ,2024
Ravens,                    0                  ,                    0                  ,                    2                  ,2024
Panthers,                    0                  ,                    0                  ,                    0                  ,2024
Bears,                    0                  ,                    0                  ,                    1                  ,2024
Bengals,                    0                  ,                    1                  ,                    2                  ,2024
Cowboys,                    0                  ,                    0                  ,                    1                  ,2024
Lions,                    0                  ,                    0                  ,                    1                  ,2024
Packers,                    0                  ,                    0                  ,                    1                  ,2024
Titans,                    0                  ,                    2                  ,                    0                  ,2024
Raiders,                    0                  ,                    0                  ,                    1                  ,2024
Dolphins,                    0                  ,                    0                  ,                    0                  ,2024
Saints,                    0                  ,                    1                  ,                    0                  ,2024
Giants,                    0                  ,                    0                  ,                    0                  ,2024
Jets,                    0                  ,                    0                  ,                    0                  ,2024
Eagles,                    0                  ,                    0                  ,                    1                  ,2024
Cardinals,                    0                  ,                    2                  ,                    0                  ,2024
Chargers,                    0                  ,                    0                  ,                    1                  ,2024
49ers,                    0                  ,                    0                  ,                    1                  ,2024
Commanders,                    0                  ,                    0                  ,                    1                  ,2024
