Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,year
Lions,                    356                  ,                    1523                  ,                    4.3                  ,                    9                  ,                    8                  ,                    3                  ,                    88T                  ,                    71                  ,                    19.9                  ,                    6                  ,2011
Buccaneers,                    346                  ,                    1458                  ,                    4.2                  ,                    9                  ,                    7                  ,                    1                  ,                    54T                  ,                    74                  ,                    21.4                  ,                    8                  ,2011
Seahawks,                    536                  ,                    2579                  ,                    4.8                  ,                    16                  ,                    14                  ,                    2                  ,                    77                  ,                    129                  ,                    24.1                  ,                    7                  ,2012
Patriots,                    523                  ,                    2184                  ,                    4.2                  ,                    25                  ,                    11                  ,                    2                  ,                    47                  ,                    151                  ,                    28.9                  ,                    6                  ,2012
Redskins,                    519                  ,                    2709                  ,                    5.2                  ,                    22                  ,                    16                  ,                    2                  ,                    76                  ,                    144                  ,                    27.8                  ,                    13                  ,2012
Texans,                    508                  ,                    2123                  ,                    4.2                  ,                    19                  ,                    15                  ,                    2                  ,                    81                  ,                    114                  ,                    22.4                  ,                    5                  ,2012
Chiefs,                    500                  ,                    2395                  ,                    4.8                  ,                    9                  ,                    13                  ,                    5                  ,                    91T                  ,                    118                  ,                    23.6                  ,                    11                  ,2012
Jets,                    494                  ,                    1896                  ,                    3.8                  ,                    12                  ,                    5                  ,                    1                  ,                    61                  ,                    102                  ,                    20.6                  ,                    9                  ,2012
Niners,                    492                  ,                    2491                  ,                    5.1                  ,                    17                  ,                    17                  ,                    2                  ,                    50T                  ,                    128                  ,                    26                  ,                    11                  ,2012
Vikings,                    486                  ,                    2634                  ,                    5.4                  ,                    16                  ,                    33                  ,                    8                  ,                    82T                  ,                    113                  ,                    23.2                  ,                    9                  ,2012
Broncos,                    481                  ,                    1832                  ,                    3.8                  ,                    12                  ,                    7                  ,                    0                  ,                    31                  ,                    112                  ,                    23.3                  ,                    8                  ,2012
Bears,                    470                  ,                    1970                  ,                    4.2                  ,                    11                  ,                    11                  ,                    2                  ,                    46T                  ,                    99                  ,                    21.1                  ,                    4                  ,2012
Panthers,                    462                  ,                    2088                  ,                    4.5                  ,                    21                  ,                    17                  ,                    4                  ,                    72T                  ,                    123                  ,                    26.6                  ,                    8                  ,2012
Ravens,                    444                  ,                    1901                  ,                    4.3                  ,                    17                  ,                    10                  ,                    3                  ,                    78                  ,                    98                  ,                    22.1                  ,                    4                  ,2012
Bills,                    442                  ,                    2217                  ,                    5                  ,                    12                  ,                    15                  ,                    5                  ,                    62                  ,                    103                  ,                    23.3                  ,                    7                  ,2012
Colts,                    440                  ,                    1671                  ,                    3.8                  ,                    11                  ,                    5                  ,                    0                  ,                    26                  ,                    110                  ,                    25                  ,                    5                  ,2012
Dolphins,                    440                  ,                    1802                  ,                    4.1                  ,                    15                  ,                    13                  ,                    2                  ,                    65T                  ,                    93                  ,                    21.1                  ,                    13                  ,2012
Packers,                    433                  ,                    1702                  ,                    3.9                  ,                    9                  ,                    8                  ,                    1                  ,                    41                  ,                    85                  ,                    19.6                  ,                    4                  ,2012
Bengals,                    430                  ,                    1745                  ,                    4.1                  ,                    11                  ,                    13                  ,                    3                  ,                    48                  ,                    95                  ,                    22.1                  ,                    4                  ,2012
Buccaneers,                    416                  ,                    1837                  ,                    4.4                  ,                    13                  ,                    12                  ,                    5                  ,                    70T                  ,                    89                  ,                    21.4                  ,                    3                  ,2012
Eagles,                    413                  ,                    1874                  ,                    4.5                  ,                    10                  ,                    14                  ,                    2                  ,                    65                  ,                    111                  ,                    26.9                  ,                    18                  ,2012
Steelers,                    412                  ,                    1537                  ,                    3.7                  ,                    8                  ,                    8                  ,                    0                  ,                    34T                  ,                    80                  ,                    19.4                  ,                    8                  ,2012
Chargers,                    411                  ,                    1461                  ,                    3.6                  ,                    4                  ,                    4                  ,                    1                  ,                    52                  ,                    81                  ,                    19.7                  ,                    5                  ,2012
Rams,                    410                  ,                    1714                  ,                    4.2                  ,                    5                  ,                    10                  ,                    3                  ,                    53                  ,                    79                  ,                    19.3                  ,                    5                  ,2012
Giants,                    409                  ,                    1862                  ,                    4.6                  ,                    18                  ,                    13                  ,                    2                  ,                    52T                  ,                    103                  ,                    25.2                  ,                    6                  ,2012
Browns,                    396                  ,                    1593                  ,                    4                  ,                    12                  ,                    7                  ,                    0                  ,                    35T                  ,                    71                  ,                    17.9                  ,                    8                  ,2012
Lions,                    391                  ,                    1613                  ,                    4.1                  ,                    17                  ,                    4                  ,                    1                  ,                    67                  ,                    84                  ,                    21.5                  ,                    7                  ,2012
Falcons,                    378                  ,                    1397                  ,                    3.7                  ,                    12                  ,                    7                  ,                    2                  ,                    43                  ,                    70                  ,                    18.5                  ,                    4                  ,2012
Titans,                    378                  ,                    1687                  ,                    4.5                  ,                    10                  ,                    13                  ,                    3                  ,                    94T                  ,                    70                  ,                    18.5                  ,                    6                  ,2012
Raiders,                    376                  ,                    1420                  ,                    3.8                  ,                    4                  ,                    8                  ,                    3                  ,                    64T                  ,                    72                  ,                    19.2                  ,                    4                  ,2012
Saints,                    370                  ,                    1577                  ,                    4.3                  ,                    10                  ,                    11                  ,                    3                  ,                    56T                  ,                    64                  ,                    17.3                  ,                    0                  ,2012
Jaguars,                    358                  ,                    1369                  ,                    3.8                  ,                    5                  ,                    6                  ,                    1                  ,                    59                  ,                    76                  ,                    21.2                  ,                    8                  ,2012
Cowboys,                    355                  ,                    1265                  ,                    3.6                  ,                    8                  ,                    6                  ,                    1                  ,                    48T                  ,                    76                  ,                    21.4                  ,                    6                  ,2012
Cardinals,                    352                  ,                    1204                  ,                    3.4                  ,                    10                  ,                    9                  ,                    3                  ,                    52T                  ,                    58                  ,                    16.5                  ,                    6                  ,2012
Bills,                    546                  ,                    2307                  ,                    4.2                  ,                    15                  ,                    11                  ,                    5                  ,                    77                  ,                    113                  ,                    20.7                  ,                    12                  ,2013
Seahawks,                    509                  ,                    2188                  ,                    4.3                  ,                    14                  ,                    11                  ,                    1                  ,                    43T                  ,                    116                  ,                    22.8                  ,                    6                  ,2013
Niners,                    505                  ,                    2201                  ,                    4.4                  ,                    18                  ,                    20                  ,                    3                  ,                    51                  ,                    115                  ,                    22.8                  ,                    7                  ,2013
Eagles,                    500                  ,                    2566                  ,                    5.1                  ,                    19                  ,                    19                  ,                    5                  ,                    65                  ,                    133                  ,                    26.6                  ,                    5                  ,2013
Jets,                    493                  ,                    2158                  ,                    4.4                  ,                    12                  ,                    14                  ,                    2                  ,                    69T                  ,                    105                  ,                    21.3                  ,                    7                  ,2013
Chargers,                    486                  ,                    1965                  ,                    4                  ,                    9                  ,                    7                  ,                    2                  ,                    51                  ,                    104                  ,                    21.4                  ,                    5                  ,2013
Panthers,                    483                  ,                    2026                  ,                    4.2                  ,                    14                  ,                    10                  ,                    2                  ,                    56T                  ,                    122                  ,                    25.3                  ,                    3                  ,2013
Bengals,                    481                  ,                    1755                  ,                    3.6                  ,                    14                  ,                    5                  ,                    0                  ,                    35T                  ,                    101                  ,                    21                  ,                    7                  ,2013
Patriots,                    470                  ,                    2065                  ,                    4.4                  ,                    19                  ,                    12                  ,                    2                  ,                    47T                  ,                    110                  ,                    23.4                  ,                    10                  ,2013
Titans,                    462                  ,                    1894                  ,                    4.1                  ,                    16                  ,                    11                  ,                    0                  ,                    39T                  ,                    103                  ,                    22.3                  ,                    8                  ,2013
