Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,year
Redskins,                    531                  ,                    306                  ,                    57.6                  ,                    7                  ,                    3692                  ,                    23                  ,                    16                  ,                    81                  ,                    171                  ,                    32.2                  ,                    54                  ,                    10                  ,                    75T                  ,                    42                  ,2017
Saints,                    554                  ,                    329                  ,                    59.4                  ,                    7                  ,                    3884                  ,                    22                  ,                    20                  ,                    79                  ,                    172                  ,                    31                  ,                    57                  ,                    8                  ,                    53T                  ,                    42                  ,2017
Falcons,                    553                  ,                    362                  ,                    65.5                  ,                    6.7                  ,                    3725                  ,                    22                  ,                    8                  ,                    91.9                  ,                    197                  ,                    35.6                  ,                    43                  ,                    4                  ,                    54T                  ,                    39                  ,2017
Jaguars,                    509                  ,                    289                  ,                    56.8                  ,                    6                  ,                    3074                  ,                    17                  ,                    21                  ,                    68.5                  ,                    143                  ,                    28.1                  ,                    40                  ,                    12                  ,                    74T                  ,                    55                  ,2017
Vikings,                    555                  ,                    324                  ,                    58.4                  ,                    6                  ,                    3329                  ,                    13                  ,                    14                  ,                    73                  ,                    168                  ,                    30.3                  ,                    35                  ,                    5                  ,                    52                  ,                    37                  ,2017
Texans,                    501                  ,                    321                  ,                    64.1                  ,                    8                  ,                    3999                  ,                    30                  ,                    11                  ,                    99.6                  ,                    176                  ,                    35.1                  ,                    53                  ,                    17                  ,                    94T                  ,                    32                  ,2017
Rams,                    555                  ,                    324                  ,                    58.4                  ,                    6.8                  ,                    3799                  ,                    21                  ,                    18                  ,                    78.4                  ,                    181                  ,                    32.6                  ,                    54                  ,                    6                  ,                    65T                  ,                    48                  ,2017
Bengals,                    561                  ,                    336                  ,                    59.9                  ,                    6.5                  ,                    3657                  ,                    20                  ,                    11                  ,                    82.9                  ,                    173                  ,                    30.8                  ,                    45                  ,                    8                  ,                    72                  ,                    41                  ,2017
Jets,                    558                  ,                    329                  ,                    59                  ,                    7                  ,                    3904                  ,                    30                  ,                    11                  ,                    90.1                  ,                    191                  ,                    34.2                  ,                    61                  ,                    8                  ,                    79T                  ,                    28                  ,2017
Panthers,                    550                  ,                    351                  ,                    63.8                  ,                    7.2                  ,                    3969                  ,                    25                  ,                    10                  ,                    92.9                  ,                    187                  ,                    34                  ,                    49                  ,                    8                  ,                    70                  ,                    50                  ,2017
Titans,                    605                  ,                    369                  ,                    61                  ,                    6.8                  ,                    4100                  ,                    27                  ,                    12                  ,                    87.8                  ,                    231                  ,                    38.2                  ,                    37                  ,                    7                  ,                    80T                  ,                    43                  ,2017
Cowboys,                    559                  ,                    371                  ,                    66.4                  ,                    6.7                  ,                    3746                  ,                    28                  ,                    10                  ,                    94.6                  ,                    181                  ,                    32.4                  ,                    43                  ,                    6                  ,                    56T                  ,                    38                  ,2017
Colts,                    513                  ,                    320                  ,                    62.4                  ,                    8                  ,                    4123                  ,                    23                  ,                    13                  ,                    91.9                  ,                    192                  ,                    37.4                  ,                    64                  ,                    11                  ,                    67                  ,                    25                  ,2017
Bills,                    573                  ,                    370                  ,                    64.6                  ,                    6.7                  ,                    3844                  ,                    14                  ,                    18                  ,                    78.9                  ,                    199                  ,                    34.7                  ,                    42                  ,                    3                  ,                    77T                  ,                    27                  ,2017
Bears,                    529                  ,                    343                  ,                    64.8                  ,                    6.9                  ,                    3653                  ,                    18                  ,                    8                  ,                    89.9                  ,                    180                  ,                    34                  ,                    36                  ,                    8                  ,                    88T                  ,                    42                  ,2017
Steelers,                    566                  ,                    362                  ,                    64                  ,                    7.1                  ,                    4044                  ,                    27                  ,                    8                  ,                    95.2                  ,                    200                  ,                    35.3                  ,                    53                  ,                    7                  ,                    71                  ,                    52                  ,2018
Colts,                    542                  ,                    384                  ,                    70.8                  ,                    7.4                  ,                    4033                  ,                    21                  ,                    15                  ,                    93.5                  ,                    203                  ,                    37.4                  ,                    41                  ,                    4                  ,                    80T                  ,                    38                  ,2018
Packers,                    527                  ,                    336                  ,                    63.8                  ,                    7.7                  ,                    4074                  ,                    30                  ,                    7                  ,                    100.9                  ,                    199                  ,                    37.8                  ,                    54                  ,                    7                  ,                    75T                  ,                    44                  ,2018
Buccaneers,                    534                  ,                    387                  ,                    72.5                  ,                    8.2                  ,                    4383                  ,                    34                  ,                    9                  ,                    110.9                  ,                    209                  ,                    39.1                  ,                    56                  ,                    6                  ,                    75T                  ,                    38                  ,2018
Falcons,                    585                  ,                    398                  ,                    68                  ,                    7.5                  ,                    4408                  ,                    33                  ,                    15                  ,                    98.3                  ,                    226                  ,                    38.6                  ,                    46                  ,                    7                  ,                    58                  ,                    37                  ,2018
Vikings,                    503                  ,                    315                  ,                    62.6                  ,                    7                  ,                    3501                  ,                    15                  ,                    12                  ,                    83.3                  ,                    160                  ,                    31.8                  ,                    43                  ,                    10                  ,                    70T                  ,                    50                  ,2018
Eagles,                    626                  ,                    417                  ,                    66.6                  ,                    7.4                  ,                    4619                  ,                    22                  ,                    10                  ,                    93.4                  ,                    215                  ,                    34.4                  ,                    60                  ,                    6                  ,                    75T                  ,                    44                  ,2018
Broncos,                    549                  ,                    353                  ,                    64.3                  ,                    7.7                  ,                    4240                  ,                    26                  ,                    17                  ,                    90.7                  ,                    197                  ,                    35.9                  ,                    56                  ,                    9                  ,                    97T                  ,                    44                  ,2018
Chiefs,                    632                  ,                    406                  ,                    64.2                  ,                    7.5                  ,                    4721                  ,                    30                  ,                    15                  ,                    92.7                  ,                    247                  ,                    39.1                  ,                    65                  ,                    8                  ,                    49                  ,                    52                  ,2018
Giants,                    560                  ,                    362                  ,                    64.6                  ,                    7.6                  ,                    4229                  ,                    24                  ,                    16                  ,                    89.8                  ,                    205                  ,                    36.6                  ,                    61                  ,                    8                  ,                    79T                  ,                    30                  ,2018
Browns,                    626                  ,                    393                  ,                    62.8                  ,                    7                  ,                    4370                  ,                    21                  ,                    17                  ,                    83.4                  ,                    216                  ,                    34.5                  ,                    51                  ,                    8                  ,                    67                  ,                    37                  ,2018
Lions,                    496                  ,                    323                  ,                    65.1                  ,                    7.9                  ,                    3897                  ,                    29                  ,                    7                  ,                    102.7                  ,                    191                  ,                    38.5                  ,                    50                  ,                    10                  ,                    82                  ,                    43                  ,2018
Patriots,                    605                  ,                    370                  ,                    61.2                  ,                    6.9                  ,                    4181                  ,                    29                  ,                    18                  ,                    85.4                  ,                    208                  ,                    34.4                  ,                    57                  ,                    9                  ,                    75T                  ,                    30                  ,2018
Rams,                    533                  ,                    347                  ,                    65.1                  ,                    7.7                  ,                    4106                  ,                    31                  ,                    18                  ,                    93.8                  ,                    185                  ,                    34.7                  ,                    59                  ,                    14                  ,                    73T                  ,                    41                  ,2018
Panthers,                    529                  ,                    353                  ,                    66.7                  ,                    7.7                  ,                    4062                  ,                    32                  ,                    13                  ,                    99.6                  ,                    185                  ,                    35                  ,                    51                  ,                    12                  ,                    75T                  ,                    35                  ,2018
Ravens,                    577                  ,                    337                  ,                    58.4                  ,                    6.3                  ,                    3651                  ,                    21                  ,                    12                  ,                    80.6                  ,                    174                  ,                    30.2                  ,                    44                  ,                    7                  ,                    64                  ,                    43                  ,2018
Raiders,                    480                  ,                    299                  ,                    62.3                  ,                    8.2                  ,                    3933                  ,                    36                  ,                    14                  ,                    101                  ,                    178                  ,                    37.1                  ,                    59                  ,                    15                  ,                    89T                  ,                    13                  ,2018
Bengals,                    584                  ,                    389                  ,                    66.6                  ,                    7.8                  ,                    4587                  ,                    32                  ,                    12                  ,                    100                  ,                    221                  ,                    37.8                  ,                    60                  ,                    13                  ,                    72T                  ,                    34                  ,2018
Jaguars,                    499                  ,                    312                  ,                    62.5                  ,                    6.7                  ,                    3354                  ,                    17                  ,                    11                  ,                    84.4                  ,                    162                  ,                    32.5                  ,                    37                  ,                    6                  ,                    78T                  ,                    37                  ,2018
49ers,                    542                  ,                    344                  ,                    63.5                  ,                    7.3                  ,                    3959                  ,                    35                  ,                    2                  ,                    105.4                  ,                    195                  ,                    36                  ,                    49                  ,                    9                  ,                    75T                  ,                    37                  ,2018
Cowboys,                    542                  ,                    367                  ,                    67.7                  ,                    7.4                  ,                    3984                  ,                    22                  ,                    9                  ,                    95.8                  ,                    193                  ,                    35.6                  ,                    43                  ,                    7                  ,                    53T                  ,                    39                  ,2018
Jets,                    582                  ,                    367                  ,                    63.1                  ,                    7.5                  ,                    4358                  ,                    29                  ,                    13                  ,                    93.1                  ,                    201                  ,                    34.5                  ,                    58                  ,                    11                  ,                    70T                  ,                    39                  ,2018
Saints,                    573                  ,                    384                  ,                    67                  ,                    8.1                  ,                    4623                  ,                    30                  ,                    12                  ,                    100.3                  ,                    224                  ,                    39.1                  ,                    57                  ,                    14                  ,                    75T                  ,                    49                  ,2018
Bears,                    615                  ,                    377                  ,                    61.3                  ,                    6.3                  ,                    3854                  ,                    22                  ,                    27                  ,                    72.9                  ,                    186                  ,                    30.2                  ,                    39                  ,                    9                  ,                    75T                  ,                    50                  ,2018
Chargers,                    548                  ,                    351                  ,                    64                  ,                    7.1                  ,                    3886                  ,                    23                  ,                    13                  ,                    89.1                  ,                    178                  ,                    32.5                  ,                    52                  ,                    9                  ,                    82T                  ,                    38                  ,2018
Redskins,                    537                  ,                    362                  ,                    67.4                  ,                    7.6                  ,                    4091                  ,                    27                  ,                    15                  ,                    95.1                  ,                    197                  ,                    36.7                  ,                    52                  ,                    9                  ,                    90T                  ,                    46                  ,2018
Texans,                    594                  ,                    385                  ,                    64.8                  ,                    7.5                  ,                    4477                  ,                    28                  ,                    15                  ,                    92.7                  ,                    200                  ,                    33.7                  ,                    55                  ,                    13                  ,                    83T                  ,                    43                  ,2018
Bills,                    492                  ,                    313                  ,                    63.6                  ,                    6.3                  ,                    3084                  ,                    22                  ,                    16                  ,                    82.6                  ,                    157                  ,                    31.9                  ,                    36                  ,                    2                  ,                    43                  ,                    36                  ,2018
Cardinals,                    506                  ,                    342                  ,                    67.6                  ,                    7.1                  ,                    3595                  ,                    21                  ,                    7                  ,                    96.1                  ,                    186                  ,                    36.8                  ,                    37                  ,                    5                  ,                    64T                  ,                    49                  ,2018
Dolphins,                    508                  ,                    335                  ,                    65.9                  ,                    8.2                  ,                    4141                  ,                    31                  ,                    21                  ,                    94.1                  ,                    195                  ,                    38.4                  ,                    59                  ,                    11                  ,                    73T                  ,                    31                  ,2018
Titans,                    533                  ,                    337                  ,                    63.2                  ,                    7                  ,                    3719                  ,                    21                  ,                    11                  ,                    88.4                  ,                    182                  ,                    34.2                  ,                    48                  ,                    7                  ,                    75T                  ,                    39                  ,2018
Seahawks,                    546                  ,                    355                  ,                    65                  ,                    7.5                  ,                    4103                  ,                    26                  ,                    12                  ,                    94.3                  ,                    201                  ,                    36.8                  ,                    58                  ,                    8                  ,                    75T                  ,                    43                  ,2018
Falcons,                    536                  ,                    351                  ,                    65.5                  ,                    7.7                  ,                    4137                  ,                    28                  ,                    12                  ,                    96.9                  ,                    192                  ,                    35.8                  ,                    56                  ,                    9                  ,                    71T                  ,                    28                  ,2019
Panthers,                    544                  ,                    347                  ,                    63.8                  ,                    7.4                  ,                    3997                  ,                    21                  ,                    14                  ,                    88                  ,                    197                  ,                    36.2                  ,                    53                  ,                    7                  ,                    93T                  ,                    53                  ,2019
Rams,                    562                  ,                    348                  ,                    61.9                  ,                    7                  ,                    3928                  ,                    23                  ,                    13                  ,                    86.8                  ,                    194                  ,                    34.5                  ,                    40                  ,                    6                  ,                    67T                  ,                    50                  ,2019
Buccaneers,                    664                  ,                    408                  ,                    61.4                  ,                    7                  ,                    4647                  ,                    30                  ,                    12                  ,                    90                  ,                    222                  ,                    33.4                  ,                    57                  ,                    14                  ,                    75T                  ,                    47                  ,2019
Patriots,                    536                  ,                    303                  ,                    56.5                  ,                    6                  ,                    3214                  ,                    13                  ,                    25                  ,                    62.8                  ,                    150                  ,                    28                  ,                    42                  ,                    5                  ,                    64T                  ,                    47                  ,2019
Bengals,                    499                  ,                    308                  ,                    61.7                  ,                    8.3                  ,                    4121                  ,                    25                  ,                    11                  ,                    95.4                  ,                    183                  ,                    36.7                  ,                    70                  ,                    12                  ,                    79T                  ,                    31                  ,2019
Dolphins,                    545                  ,                    344                  ,                    63.1                  ,                    8                  ,                    4353                  ,                    39                  ,                    13                  ,                    101.9                  ,                    214                  ,                    39.3                  ,                    68                  ,                    6                  ,                    83T                  ,                    23                  ,2019
Eagles,                    571                  ,                    348                  ,                    61                  ,                    7.2                  ,                    4136                  ,                    27                  ,                    11                  ,                    90.8                  ,                    185                  ,                    32.4                  ,                    49                  ,                    15                  ,                    75T                  ,                    43                  ,2019
Giants,                    556                  ,                    369                  ,                    66.4                  ,                    8                  ,                    4471                  ,                    30                  ,                    10                  ,                    101.4                  ,                    211                  ,                    38                  ,                    67                  ,                    15                  ,                    62                  ,                    36                  ,2019
Cowboys,                    569                  ,                    370                  ,                    65                  ,                    6.8                  ,                    3879                  ,                    21                  ,                    7                  ,                    91.8                  ,                    188                  ,                    33                  ,                    55                  ,                    5                  ,                    92T                  ,                    39                  ,2019
Chargers,                    464                  ,                    328                  ,                    70.7                  ,                    7.3                  ,                    3394                  ,                    21                  ,                    11                  ,                    96.7                  ,                    156                  ,                    33.6                  ,                    41                  ,                    6                  ,                    70T                  ,                    30                  ,2019
Jaguars,                    517                  ,                    327                  ,                    63.2                  ,                    7.9                  ,                    4088                  ,                    22                  ,                    10                  ,                    93.9                  ,                    193                  ,                    37.3                  ,                    60                  ,                    12                  ,                    84T                  ,                    47                  ,2019
Saints,                    603                  ,                    371                  ,                    61.5                  ,                    7                  ,                    4201                  ,                    27                  ,                    13                  ,                    88.3                  ,                    197                  ,                    32.7                  ,                    54                  ,                    13                  ,                    75T                  ,                    51                  ,2019
Bears,                    571                  ,                    362                  ,                    63.4                  ,                    6.6                  ,                    3796                  ,                    17                  ,                    10                  ,                    85.2                  ,                    190                  ,                    33.3                  ,                    40                  ,                    7                  ,                    75T                  ,                    32                  ,2019
Chiefs,                    582                  ,                    352                  ,                    60.5                  ,                    6.7                  ,                    3881                  ,                    21                  ,                    16                  ,                    80.8                  ,                    190                  ,                    32.6                  ,                    46                  ,                    7                  ,                    69                  ,                    45                  ,2019
Packers,                    546                  ,                    326                  ,                    59.7                  ,                    7.4                  ,                    4016                  ,                    19                  ,                    17                  ,                    81.1                  ,                    191                  ,                    35                  ,                    56                  ,                    15                  ,                    66                  ,                    41                  ,2019
Lions,                    611                  ,                    381                  ,                    62.4                  ,                    7.8                  ,                    4739                  ,                    33                  ,                    7                  ,                    99.6                  ,                    232                  ,                    38                  ,                    72                  ,                    10                  ,                    66                  ,                    28                  ,2019
Cardinals,                    601                  ,                    421                  ,                    70                  ,                    8                  ,                    4785                  ,                    38                  ,                    7                  ,                    109.9                  ,                    243                  ,                    40.4                  ,                    72                  ,                    7                  ,                    57                  ,                    40                  ,2019
Browns,                    513                  ,                    318                  ,                    62                  ,                    7.3                  ,                    3740                  ,                    25                  ,                    14                  ,                    89                  ,                    184                  ,                    35.9                  ,                    48                  ,                    8                  ,                    75T                  ,                    38                  ,2019
Texans,                    586                  ,                    375                  ,                    64                  ,                    7.7                  ,                    4491                  ,                    33                  ,                    12                  ,                    97.6                  ,                    220                  ,                    37.5                  ,                    58                  ,                    12                  ,                    65T                  ,                    31                  ,2019
Raiders,                    526                  ,                    337                  ,                    64.1                  ,                    8.3                  ,                    4355                  ,                    33                  ,                    9                  ,                    103.8                  ,                    201                  ,                    38.2                  ,                    68                  ,                    16                  ,                    91T                  ,                    32                  ,2019
Jets,                    585                  ,                    363                  ,                    62                  ,                    6.8                  ,                    4001                  ,                    25                  ,                    12                  ,                    88                  ,                    187                  ,                    32                  ,                    51                  ,                    7                  ,                    89T                  ,                    35                  ,2019
Seahawks,                    598                  ,                    383                  ,                    64                  ,                    7.4                  ,                    4407                  ,                    19                  ,                    16                  ,                    85.6                  ,                    224                  ,                    37.5                  ,                    53                  ,                    6                  ,                    58T                  ,                    28                  ,2019
Bills,                    553                  ,                    348                  ,                    62.9                  ,                    6.2                  ,                    3421                  ,                    15                  ,                    14                  ,                    78.8                  ,                    169                  ,                    30.6                  ,                    34                  ,                    4                  ,                    61T                  ,                    44                  ,2019
Colts,                    562                  ,                    394                  ,                    70.1                  ,                    7.5                  ,                    4231                  ,                    29                  ,                    15                  ,                    98                  ,                    207                  ,                    36.8                  ,                    50                  ,                    9                  ,                    61T                  ,                    41                  ,2019
Steelers,                    514                  ,                    314                  ,                    61.1                  ,                    6.7                  ,                    3455                  ,                    23                  ,                    20                  ,                    79.7                  ,                    164                  ,                    31.9                  ,                    43                  ,                    6                  ,                    58T                  ,                    54                  ,2019
Broncos,                    537                  ,                    348                  ,                    64.8                  ,                    7.1                  ,                    3822                  ,                    19                  ,                    10                  ,                    89.8                  ,                    175                  ,                    32.6                  ,                    46                  ,                    11                  ,                    75                  ,                    40                  ,2019
Redskins,                    540                  ,                    371                  ,                    68.7                  ,                    7.6                  ,                    4093                  ,                    35                  ,                    13                  ,                    102.5                  ,                    200                  ,                    37                  ,                    56                  ,                    9                  ,                    53T                  ,                    46                  ,2019
49ers,                    519                  ,                    318                  ,                    61.3                  ,                    5.9                  ,                    3074                  ,                    23                  ,                    12                  ,                    83                  ,                    150                  ,                    28.9                  ,                    34                  ,                    5                  ,                    88T                  ,                    48                  ,2019
