Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,year
Bengals,                    539                  ,                    319                  ,                    59.2                  ,                    6.8                  ,                    3662                  ,                    21                  ,                    10                  ,                    85                  ,                    170                  ,                    31.5                  ,                    47                  ,                    7                  ,                    74T                  ,                    45                  ,2011
Colts,                    493                  ,                    351                  ,                    71.2                  ,                    7.8                  ,                    3824                  ,                    25                  ,                    8                  ,                    103.9                  ,                    193                  ,                    39.2                  ,                    45                  ,                    6                  ,                    81T                  ,                    29                  ,2011
Raiders,                    601                  ,                    324                  ,                    53.9                  ,                    7.1                  ,                    4262                  ,                    31                  ,                    18                  ,                    81.3                  ,                    206                  ,                    34.3                  ,                    58                  ,                    11                  ,                    81                  ,                    39                  ,2011
Panthers,                    490                  ,                    318                  ,                    64.9                  ,                    8.4                  ,                    4119                  ,                    28                  ,                    14                  ,                    98.3                  ,                    191                  ,                    39                  ,                    52                  ,                    11                  ,                    84T                  ,                    31                  ,2011
Vikings,                    538                  ,                    367                  ,                    68.2                  ,                    8.1                  ,                    4361                  ,                    34                  ,                    8                  ,                    107.6                  ,                    213                  ,                    39.6                  ,                    55                  ,                    13                  ,                    79T                  ,                    50                  ,2011
Seahawks,                    543                  ,                    324                  ,                    59.7                  ,                    6.9                  ,                    3750                  ,                    18                  ,                    22                  ,                    74.8                  ,                    174                  ,                    32                  ,                    43                  ,                    10                  ,                    68T                  ,                    33                  ,2011
Chiefs,                    454                  ,                    257                  ,                    56.6                  ,                    7.5                  ,                    3407                  ,                    23                  ,                    20                  ,                    79.1                  ,                    169                  ,                    37.2                  ,                    55                  ,                    8                  ,                    67T                  ,                    29                  ,2011
Bears,                    631                  ,                    383                  ,                    60.7                  ,                    6.8                  ,                    4273                  ,                    22                  ,                    20                  ,                    79.3                  ,                    199                  ,                    31.5                  ,                    49                  ,                    9                  ,                    79T                  ,                    33                  ,2011
Jaguars,                    513                  ,                    326                  ,                    63.6                  ,                    6.9                  ,                    3554                  ,                    21                  ,                    17                  ,                    83.7                  ,                    175                  ,                    34.1                  ,                    43                  ,                    7                  ,                    80T                  ,                    31                  ,2011
Dolphins,                    590                  ,                    350                  ,                    59.3                  ,                    7.2                  ,                    4233                  ,                    24                  ,                    16                  ,                    83.7                  ,                    198                  ,                    33.6                  ,                    63                  ,                    10                  ,                    99T                  ,                    41                  ,2011
Texans,                    538                  ,                    279                  ,                    51.9                  ,                    6.2                  ,                    3322                  ,                    18                  ,                    17                  ,                    69                  ,                    166                  ,                    30.9                  ,                    45                  ,                    6                  ,                    56                  ,                    44                  ,2011
Niners,                    579                  ,                    333                  ,                    57.5                  ,                    6.9                  ,                    3978                  ,                    20                  ,                    23                  ,                    73.6                  ,                    190                  ,                    32.8                  ,                    48                  ,                    12                  ,                    77                  ,                    42                  ,2011
Broncos,                    534                  ,                    333                  ,                    62.4                  ,                    7.5                  ,                    3987                  ,                    24                  ,                    9                  ,                    93.1                  ,                    182                  ,                    34.1                  ,                    46                  ,                    13                  ,                    84                  ,                    41                  ,2011
Lions,                    544                  ,                    346                  ,                    63.6                  ,                    7                  ,                    3806                  ,                    26                  ,                    11                  ,                    91.7                  ,                    167                  ,                    30.7                  ,                    42                  ,                    13                  ,                    71T                  ,                    34                  ,2012
Saints,                    602                  ,                    370                  ,                    61.5                  ,                    8.1                  ,                    4875                  ,                    31                  ,                    15                  ,                    93.8                  ,                    236                  ,                    39.2                  ,                    66                  ,                    14                  ,                    95                  ,                    30                  ,2012
Cowboys,                    511                  ,                    320                  ,                    62.6                  ,                    7.6                  ,                    3895                  ,                    22                  ,                    7                  ,                    94.7                  ,                    195                  ,                    38.2                  ,                    52                  ,                    9                  ,                    68T                  ,                    34                  ,2012
Patriots,                    594                  ,                    369                  ,                    62.1                  ,                    7.7                  ,                    4555                  ,                    27                  ,                    20                  ,                    86.9                  ,                    207                  ,                    34.8                  ,                    74                  ,                    8                  ,                    68T                  ,                    37                  ,2012
Raiders,                    526                  ,                    347                  ,                    66                  ,                    7.5                  ,                    3960                  ,                    28                  ,                    11                  ,                    97.5                  ,                    180                  ,                    34.2                  ,                    56                  ,                    12                  ,                    64                  ,                    25                  ,2012
Colts,                    535                  ,                    334                  ,                    62.4                  ,                    7.4                  ,                    3977                  ,                    23                  ,                    12                  ,                    90.1                  ,                    190                  ,                    35.5                  ,                    44                  ,                    9                  ,                    80T                  ,                    32                  ,2012
Eagles,                    485                  ,                    292                  ,                    60.2                  ,                    7.6                  ,                    3668                  ,                    33                  ,                    8                  ,                    99.6                  ,                    178                  ,                    36.7                  ,                    52                  ,                    11                  ,                    63T                  ,                    30                  ,2012
Falcons,                    551                  ,                    337                  ,                    61.2                  ,                    7.4                  ,                    4060                  ,                    14                  ,                    20                  ,                    77.1                  ,                    189                  ,                    34.3                  ,                    53                  ,                    6                  ,                    77T                  ,                    29                  ,2012
Cardinals,                    497                  ,                    270                  ,                    54.3                  ,                    6.9                  ,                    3441                  ,                    20                  ,                    22                  ,                    71.2                  ,                    160                  ,                    32.2                  ,                    48                  ,                    8                  ,                    80T                  ,                    38                  ,2012
Broncos,                    559                  ,                    321                  ,                    57.4                  ,                    6.4                  ,                    3558                  ,                    25                  ,                    16                  ,                    79.4                  ,                    183                  ,                    32.7                  ,                    39                  ,                    9                  ,                    61T                  ,                    52                  ,2012
Jaguars,                    535                  ,                    341                  ,                    63.7                  ,                    7.4                  ,                    3960                  ,                    21                  ,                    12                  ,                    89.8                  ,                    194                  ,                    36.3                  ,                    48                  ,                    8                  ,                    59                  ,                    20                  ,2012
Steelers,                    523                  ,                    299                  ,                    57.2                  ,                    6                  ,                    3159                  ,                    19                  ,                    10                  ,                    79                  ,                    169                  ,                    32.3                  ,                    31                  ,                    2                  ,                    71T                  ,                    37                  ,2012
