Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,year
Chiefs,                    443                  ,                    1890                  ,                    4.3                  ,                    15                  ,                    6                  ,                    0                  ,                    27                  ,                    112                  ,                    25.3                  ,                    4                  ,2017
Redskins,                    472                  ,                    2146                  ,                    4.6                  ,                    13                  ,                    14                  ,                    1                  ,                    75T                  ,                    105                  ,                    22.2                  ,                    8                  ,2017
Giants,                    464                  ,                    1933                  ,                    4.2                  ,                    10                  ,                    13                  ,                    1                  ,                    51T                  ,                    101                  ,                    21.8                  ,                    3                  ,2017
Buccaneers,                    440                  ,                    1880                  ,                    4.3                  ,                    17                  ,                    14                  ,                    1                  ,                    69                  ,                    102                  ,                    23.2                  ,                    9                  ,2017
Packers,                    464                  ,                    1793                  ,                    3.9                  ,                    10                  ,                    11                  ,                    0                  ,                    37                  ,                    95                  ,                    20.5                  ,                    6                  ,2017
Browns,                    467                  ,                    1566                  ,                    3.4                  ,                    14                  ,                    10                  ,                    0                  ,                    39                  ,                    95                  ,                    20.3                  ,                    5                  ,2017
Bengals,                    489                  ,                    2046                  ,                    4.2                  ,                    13                  ,                    8                  ,                    1                  ,                    49T                  ,                    111                  ,                    22.7                  ,                    4                  ,2017
Raiders,                    433                  ,                    1743                  ,                    4                  ,                    11                  ,                    9                  ,                    3                  ,                    48T                  ,                    93                  ,                    21.5                  ,                    6                  ,2017
Lions,                    432                  ,                    1800                  ,                    4.2                  ,                    18                  ,                    8                  ,                    3                  ,                    51                  ,                    110                  ,                    25.5                  ,                    8                  ,2017
Dolphins,                    431                  ,                    1768                  ,                    4.1                  ,                    14                  ,                    13                  ,                    3                  ,                    69                  ,                    88                  ,                    20.4                  ,                    9                  ,2017
Ravens,                    354                  ,                    1327                  ,                    3.8                  ,                    11                  ,                    6                  ,                    0                  ,                    35T                  ,                    82                  ,                    23.2                  ,                    2                  ,2018
Seahawks,                    366                  ,                    1811                  ,                    5                  ,                    9                  ,                    14                  ,                    2                  ,                    59                  ,                    91                  ,                    24.9                  ,                    7                  ,2018
Patriots,                    367                  ,                    1803                  ,                    4.9                  ,                    7                  ,                    11                  ,                    1                  ,                    54T                  ,                    93                  ,                    25.3                  ,                    8                  ,2018
Texans,                    385                  ,                    1323                  ,                    3.4                  ,                    8                  ,                    3                  ,                    0                  ,                    39                  ,                    76                  ,                    19.7                  ,                    6                  ,2018
Saints,                    356                  ,                    1283                  ,                    3.6                  ,                    12                  ,                    7                  ,                    0                  ,                    28T                  ,                    72                  ,                    20.2                  ,                    4                  ,2018
Bills,                    440                  ,                    1839                  ,                    4.2                  ,                    17                  ,                    12                  ,                    1                  ,                    43                  ,                    111                  ,                    25.2                  ,                    10                  ,2018
Bears,                    339                  ,                    1280                  ,                    3.8                  ,                    5                  ,                    7                  ,                    0                  ,                    32                  ,                    67                  ,                    19.8                  ,                    5                  ,2018
Rams,                    386                  ,                    1957                  ,                    5.1                  ,                    12                  ,                    17                  ,                    1                  ,                    51                  ,                    101                  ,                    26.2                  ,                    4                  ,2018
Titans,                    429                  ,                    1863                  ,                    4.3                  ,                    9                  ,                    7                  ,                    1                  ,                    97T                  ,                    98                  ,                    22.8                  ,                    2                  ,2018
Cowboys,                    400                  ,                    1513                  ,                    3.8                  ,                    12                  ,                    9                  ,                    1                  ,                    68                  ,                    89                  ,                    22.2                  ,                    7                  ,2018
49ers,                    444                  ,                    1814                  ,                    4.1                  ,                    13                  ,                    11                  ,                    0                  ,                    34                  ,                    104                  ,                    23.4                  ,                    6                  ,2018
Panthers,                    384                  ,                    1804                  ,                    4.7                  ,                    13                  ,                    17                  ,                    2                  ,                    60                  ,                    110                  ,                    28.6                  ,                    9                  ,2018
Jaguars,                    434                  ,                    1870                  ,                    4.3                  ,                    16                  ,                    11                  ,                    5                  ,                    99T                  ,                    89                  ,                    20.5                  ,                    5                  ,2018
Redskins,                    413                  ,                    1860                  ,                    4.5                  ,                    12                  ,                    6                  ,                    2                  ,                    78T                  ,                    109                  ,                    26.4                  ,                    3                  ,2018
Browns,                    459                  ,                    2163                  ,                    4.7                  ,                    20                  ,                    18                  ,                    1                  ,                    52                  ,                    130                  ,                    28.3                  ,                    6                  ,2018
Jets,                    440                  ,                    2021                  ,                    4.6                  ,                    16                  ,                    24                  ,                    0                  ,                    38T                  ,                    104                  ,                    23.6                  ,                    4                  ,2018
Colts,                    415                  ,                    1626                  ,                    3.9                  ,                    12                  ,                    11                  ,                    0                  ,                    34T                  ,                    87                  ,                    21                  ,                    5                  ,2018
Lions,                    403                  ,                    1761                  ,                    4.4                  ,                    11                  ,                    9                  ,                    5                  ,                    70                  ,                    88                  ,                    21.8                  ,                    5                  ,2018
Chargers,                    395                  ,                    1693                  ,                    4.3                  ,                    11                  ,                    11                  ,                    3                  ,                    43                  ,                    101                  ,                    25.6                  ,                    6                  ,2018
Eagles,                    332                  ,                    1551                  ,                    4.7                  ,                    14                  ,                    14                  ,                    4                  ,                    90T                  ,                    71                  ,                    21.4                  ,                    6                  ,2018
Broncos,                    429                  ,                    1913                  ,                    4.5                  ,                    11                  ,                    15                  ,                    5                  ,                    77T                  ,                    85                  ,                    19.8                  ,                    6                  ,2018
Buccaneers,                    426                  ,                    1983                  ,                    4.6                  ,                    19                  ,                    17                  ,                    2                  ,                    53                  ,                    122                  ,                    28.6                  ,                    5                  ,2018
Chiefs,                    425                  ,                    2114                  ,                    5                  ,                    19                  ,                    11                  ,                    0                  ,                    30                  ,                    129                  ,                    30.4                  ,                    6                  ,2018
Raiders,                    480                  ,                    2249                  ,                    4.7                  ,                    16                  ,                    12                  ,                    7                  ,                    63T                  ,                    108                  ,                    22.5                  ,                    6                  ,2018
Dolphins,                    485                  ,                    2325                  ,                    4.8                  ,                    17                  ,                    20                  ,                    3                  ,                    71                  ,                    116                  ,                    23.9                  ,                    3                  ,2018
Bengals,                    466                  ,                    2204                  ,                    4.7                  ,                    17                  ,                    15                  ,                    2                  ,                    65T                  ,                    125                  ,                    26.8                  ,                    3                  ,2018
Vikings,                    440                  ,                    1815                  ,                    4.1                  ,                    13                  ,                    7                  ,                    3                  ,                    75T                  ,                    107                  ,                    24.3                  ,                    12                  ,2018
Cardinals,                    510                  ,                    2479                  ,                    4.9                  ,                    25                  ,                    21                  ,                    4                  ,                    65                  ,                    139                  ,                    27.2                  ,                    3                  ,2018
Giants,                    444                  ,                    1898                  ,                    4.3                  ,                    18                  ,                    11                  ,                    3                  ,                    64T                  ,                    103                  ,                    23.2                  ,                    7                  ,2018
Falcons,                    409                  ,                    1999                  ,                    4.9                  ,                    16                  ,                    13                  ,                    1                  ,                    92T                  ,                    115                  ,                    28.1                  ,                    10                  ,2018
Steelers,                    369                  ,                    1538                  ,                    4.2                  ,                    13                  ,                    10                  ,                    1                  ,                    51                  ,                    84                  ,                    22.8                  ,                    5                  ,2018
Packers,                    446                  ,                    1918                  ,                    4.3                  ,                    15                  ,                    10                  ,                    1                  ,                    41                  ,                    100                  ,                    22.4                  ,                    6                  ,2018
Ravens,                    340                  ,                    1494                  ,                    4.4                  ,                    12                  ,                    8                  ,                    4                  ,                    88T                  ,                    74                  ,                    21.8                  ,                    5                  ,2019
49ers,                    401                  ,                    1802                  ,                    4.5                  ,                    11                  ,                    9                  ,                    1                  ,                    40T                  ,                    105                  ,                    26.2                  ,                    9                  ,2019
Seahawks,                    388                  ,                    1883                  ,                    4.8                  ,                    22                  ,                    12                  ,                    2                  ,                    80T                  ,                    97                  ,                    25                  ,                    5                  ,2019
Vikings,                    404                  ,                    1728                  ,                    4.3                  ,                    8                  ,                    5                  ,                    2                  ,                    91T                  ,                    78                  ,                    19.3                  ,                    3                  ,2019
Colts,                    383                  ,                    1567                  ,                    4.1                  ,                    8                  ,                    8                  ,                    2                  ,                    60T                  ,                    93                  ,                    24.3                  ,                    4                  ,2019
Bills,                    388                  ,                    1649                  ,                    4.2                  ,                    12                  ,                    12                  ,                    1                  ,                    65T                  ,                    93                  ,                    24                  ,                    6                  ,2019
Eagles,                    353                  ,                    1442                  ,                    4.1                  ,                    13                  ,                    10                  ,                    3                  ,                    68T                  ,                    76                  ,                    21.5                  ,                    8                  ,2019
Cowboys,                    407                  ,                    1656                  ,                    4.1                  ,                    14                  ,                    9                  ,                    1                  ,                    59                  ,                    101                  ,                    24.8                  ,                    7                  ,2019
Patriots,                    365                  ,                    1528                  ,                    4.2                  ,                    7                  ,                    6                  ,                    4                  ,                    65T                  ,                    72                  ,                    19.7                  ,                    5                  ,2019
Titans,                    415                  ,                    1672                  ,                    4                  ,                    14                  ,                    6                  ,                    4                  ,                    69                  ,                    95                  ,                    22.9                  ,                    5                  ,2019
Raiders,                    405                  ,                    1570                  ,                    3.9                  ,                    15                  ,                    9                  ,                    0                  ,                    30                  ,                    91                  ,                    22.5                  ,                    3                  ,2019
Texans,                    403                  ,                    1937                  ,                    4.8                  ,                    12                  ,                    15                  ,                    4                  ,                    63T                  ,                    98                  ,                    24.3                  ,                    4                  ,2019
Packers,                    411                  ,                    1921                  ,                    4.7                  ,                    15                  ,                    8                  ,                    3                  ,                    75T                  ,                    99                  ,                    24.1                  ,                    10                  ,2019
Broncos,                    426                  ,                    1783                  ,                    4.2                  ,                    9                  ,                    7                  ,                    2                  ,                    81                  ,                    96                  ,                    22.5                  ,                    1                  ,2019
Buccaneers,                    362                  ,                    1181                  ,                    3.3                  ,                    11                  ,                    4                  ,                    1                  ,                    59                  ,                    70                  ,                    19.3                  ,                    6                  ,2019
Lions,                    455                  ,                    1855                  ,                    4.1                  ,                    13                  ,                    7                  ,                    2                  ,                    45                  ,                    94                  ,                    20.7                  ,                    7                  ,2019
Saints,                    345                  ,                    1461                  ,                    4.2                  ,                    12                  ,                    9                  ,                    1                  ,                    49T                  ,                    71                  ,                    20.6                  ,                    7                  ,2019
Rams,                    444                  ,                    1809                  ,                    4.1                  ,                    15                  ,                    9                  ,                    1                  ,                    44T                  ,                    100                  ,                    22.5                  ,                    8                  ,2019
Cardinals,                    439                  ,                    1922                  ,                    4.4                  ,                    9                  ,                    9                  ,                    1                  ,                    76T                  ,                    94                  ,                    21.4                  ,                    3                  ,2019
Bears,                    414                  ,                    1632                  ,                    3.9                  ,                    16                  ,                    9                  ,                    2                  ,                    59                  ,                    86                  ,                    20.8                  ,                    5                  ,2019
Steelers,                    462                  ,                    1753                  ,                    3.8                  ,                    7                  ,                    6                  ,                    0                  ,                    38                  ,                    110                  ,                    23.8                  ,                    14                  ,2019
Browns,                    463                  ,                    2315                  ,                    5                  ,                    19                  ,                    14                  ,                    3                  ,                    83T                  ,                    124                  ,                    26.8                  ,                    10                  ,2019
Jaguars,                    435                  ,                    2229                  ,                    5.1                  ,                    23                  ,                    15                  ,                    6                  ,                    84T                  ,                    114                  ,                    26.2                  ,                    6                  ,2019
Panthers,                    445                  ,                    2296                  ,                    5.2                  ,                    31                  ,                    23                  ,                    5                  ,                    60                  ,                    128                  ,                    28.8                  ,                    5                  ,2019
Bengals,                    504                  ,                    2382                  ,                    4.7                  ,                    17                  ,                    22                  ,                    2                  ,                    57                  ,                    124                  ,                    24.6                  ,                    5                  ,2019
Jets,                    417                  ,                    1391                  ,                    3.3                  ,                    12                  ,                    8                  ,                    1                  ,                    66                  ,                    75                  ,                    18                  ,                    8                  ,2019
Chiefs,                    416                  ,                    2051                  ,                    4.9                  ,                    14                  ,                    9                  ,                    2                  ,                    68T                  ,                    115                  ,                    27.6                  ,                    6                  ,2019
Chargers,                    429                  ,                    1805                  ,                    4.2                  ,                    15                  ,                    9                  ,                    3                  ,                    84T                  ,                    101                  ,                    23.5                  ,                    7                  ,2019
Falcons,                    421                  ,                    1775                  ,                    4.2                  ,                    13                  ,                    14                  ,                    0                  ,                    37                  ,                    108                  ,                    25.6                  ,                    10                  ,2019
Giants,                    469                  ,                    1812                  ,                    3.9                  ,                    19                  ,                    12                  ,                    1                  ,                    41                  ,                    100                  ,                    21.3                  ,                    8                  ,2019
Redskins,                    493                  ,                    2339                  ,                    4.7                  ,                    14                  ,                    16                  ,                    4                  ,                    67T                  ,                    120                  ,                    24.3                  ,                    8                  ,2019
Dolphins,                    485                  ,                    2166                  ,                    4.5                  ,                    15                  ,                    9                  ,                    2                  ,                    60                  ,                    113                  ,                    23.3                  ,                    8                  ,2019
Ravens,                    382                  ,                    1740                  ,                    4.6                  ,                    12                  ,                    12                  ,                    3                  ,                    74                  ,                    96                  ,                    25.1                  ,                    7                  ,2020
Titans,                    427                  ,                    1933                  ,                    4.5                  ,                    18                  ,                    12                  ,                    2                  ,                    59                  ,                    113                  ,                    26.5                  ,                    10                  ,2020
Patriots,                    464                  ,                    2103                  ,                    4.5                  ,                    17                  ,                    10                  ,                    0                  ,                    35                  ,                    131                  ,                    28.2                  ,                    2                  ,2020
Browns,                    412                  ,                    1773                  ,                    4.3                  ,                    16                  ,                    6                  ,                    1                  ,                    44                  ,                    116                  ,                    28.2                  ,                    12                  ,2020
Saints,                    390                  ,                    1502                  ,                    3.8                  ,                    11                  ,                    8                  ,                    1                  ,                    82T                  ,                    85                  ,                    21.8                  ,                    7                  ,2020
Cardinals,                    436                  ,                    2008                  ,                    4.6                  ,                    13                  ,                    10                  ,                    0                  ,                    38T                  ,                    118                  ,                    27.1                  ,                    5                  ,2020
Rams,                    388                  ,                    1460                  ,                    3.8                  ,                    12                  ,                    2                  ,                    0                  ,                    27                  ,                    91                  ,                    23.4                  ,                    7                  ,2020
Vikings,                    472                  ,                    2151                  ,                    4.6                  ,                    19                  ,                    6                  ,                    2                  ,                    42T                  ,                    136                  ,                    28.8                  ,                    5                  ,2020
Chargers,                    427                  ,                    1917                  ,                    4.5                  ,                    17                  ,                    13                  ,                    1                  ,                    55T                  ,                    112                  ,                    26.2                  ,                    8                  ,2020
Colts,                    390                  ,                    1448                  ,                    3.7                  ,                    16                  ,                    4                  ,                    0                  ,                    31                  ,                    94                  ,                    24.1                  ,                    4                  ,2020
Raiders,                    438                  ,                    2013                  ,                    4.6                  ,                    24                  ,                    14                  ,                    2                  ,                    62T                  ,                    114                  ,                    26                  ,                    2                  ,2020
Packers,                    397                  ,                    1805                  ,                    4.6                  ,                    16                  ,                    9                  ,                    3                  ,                    57                  ,                    119                  ,                    30                  ,                    3                  ,2020
Broncos,                    434                  ,                    2080                  ,                    4.8                  ,                    22                  ,                    17                  ,                    3                  ,                    59                  ,                    106                  ,                    24.4                  ,                    6                  ,2020
49ers,                    430                  ,                    1703                  ,                    4                  ,                    12                  ,                    9                  ,                    2                  ,                    61                  ,                    102                  ,                    23.7                  ,                    8                  ,2020
Cowboys,                    510                  ,                    2541                  ,                    5                  ,                    20                  ,                    18                  ,                    3                  ,                    69T                  ,                    142                  ,                    27.8                  ,                    9                  ,2020
Dolphins,                    412                  ,                    1862                  ,                    4.5                  ,                    17                  ,                    9                  ,                    0                  ,                    37                  ,                    113                  ,                    27.4                  ,                    5                  ,2020
Bills,                    414                  ,                    1914                  ,                    4.6                  ,                    21                  ,                    11                  ,                    0                  ,                    33                  ,                    125                  ,                    30.2                  ,                    5                  ,2020
Bengals,                    463                  ,                    2368                  ,                    5.1                  ,                    13                  ,                    20                  ,                    3                  ,                    72T                  ,                    126                  ,                    27.2                  ,                    4                  ,2020
Seahawks,                    392                  ,                    1529                  ,                    3.9                  ,                    18                  ,                    7                  ,                    1                  ,                    60                  ,                    97                  ,                    24.7                  ,                    6                  ,2020
Falcons,                    380                  ,                    1677                  ,                    4.4                  ,                    15                  ,                    8                  ,                    2                  ,                    45                  ,                    97                  ,                    25.5                  ,                    8                  ,2020
Panthers,                    408                  ,                    1936                  ,                    4.8                  ,                    17                  ,                    11                  ,                    4                  ,                    98T                  ,                    114                  ,                    27.9                  ,                    6                  ,2020
Jets,                    445                  ,                    1792                  ,                    4                  ,                    16                  ,                    10                  ,                    5                  ,                    80T                  ,                    100                  ,                    22.5                  ,                    11                  ,2020
Chiefs,                    433                  ,                    1954                  ,                    4.5                  ,                    14                  ,                    8                  ,                    3                  ,                    65                  ,                    113                  ,                    26.1                  ,                    1                  ,2020
Eagles,                    481                  ,                    2012                  ,                    4.2                  ,                    20                  ,                    13                  ,                    5                  ,                    80                  ,                    98                  ,                    20.4                  ,                    5                  ,2020
FootballTeam,                    428                  ,                    1805                  ,                    4.2                  ,                    14                  ,                    11                  ,                    5                  ,                    50T                  ,                    100                  ,                    23.4                  ,                    7                  ,2020
Giants,                    432                  ,                    1782                  ,                    4.1                  ,                    14                  ,                    9                  ,                    1                  ,                    56T                  ,                    115                  ,                    26.6                  ,                    10                  ,2020
Bears,                    438                  ,                    1814                  ,                    4.1                  ,                    11                  ,                    9                  ,                    0                  ,                    37                  ,                    104                  ,                    23.7                  ,                    6                  ,2020
Steelers,                    414                  ,                    1783                  ,                    4.3                  ,                    13                  ,                    11                  ,                    2                  ,                    74T                  ,                    94                  ,                    22.7                  ,                    6                  ,2020
Buccaneers,                    358                  ,                    1289                  ,                    3.6                  ,                    10                  ,                    4                  ,                    1                  ,                    62                  ,                    78                  ,                    21.8                  ,                    5                  ,2020
Lions,                    487                  ,                    2158                  ,                    4.4                  ,                    27                  ,                    7                  ,                    2                  ,                    75T                  ,                    127                  ,                    26.1                  ,                    5                  ,2020
Texans,                    493                  ,                    2564                  ,                    5.2                  ,                    24                  ,                    17                  ,                    7                  ,                    94T                  ,                    145                  ,                    29.4                  ,                    4                  ,2020
Jaguars,                    517                  ,                    2452                  ,                    4.7                  ,                    23                  ,                    23                  ,                    4                  ,                    56                  ,                    140                  ,                    27.1                  ,                    4                  ,2020
