Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,year
Bears,                    388                  ,                    1627                  ,                    4.2                  ,                    6                  ,                    10                  ,                    2                  ,                    80T                  ,                    75                  ,                    19.3                  ,                    12                  ,2012
Panthers,                    416                  ,                    1761                  ,                    4.2                  ,                    11                  ,                    9                  ,                    2                  ,                    65T                  ,                    98                  ,                    23.6                  ,                    7                  ,2012
Ravens,                    492                  ,                    1965                  ,                    4                  ,                    15                  ,                    8                  ,                    0                  ,                    31T                  ,                    105                  ,                    21.3                  ,                    11                  ,2012
Bills,                    470                  ,                    2333                  ,                    5                  ,                    23                  ,                    19                  ,                    2                  ,                    83T                  ,                    136                  ,                    28.9                  ,                    11                  ,2012
Colts,                    428                  ,                    2200                  ,                    5.1                  ,                    14                  ,                    21                  ,                    7                  ,                    86T                  ,                    102                  ,                    23.8                  ,                    4                  ,2012
Dolphins,                    431                  ,                    1734                  ,                    4                  ,                    10                  ,                    11                  ,                    3                  ,                    62                  ,                    79                  ,                    18.3                  ,                    3                  ,2012
Packers,                    418                  ,                    1896                  ,                    4.5                  ,                    12                  ,                    13                  ,                    2                  ,                    82T                  ,                    83                  ,                    19.9                  ,                    3                  ,2012
Bengals,                    423                  ,                    1715                  ,                    4                  ,                    13                  ,                    8                  ,                    0                  ,                    32T                  ,                    99                  ,                    23.4                  ,                    8                  ,2012
Buccaneers,                    377                  ,                    1320                  ,                    3.5                  ,                    13                  ,                    8                  ,                    1                  ,                    64T                  ,                    75                  ,                    19.9                  ,                    3                  ,2012
Eagles,                    479                  ,                    2021                  ,                    4.2                  ,                    11                  ,                    13                  ,                    2                  ,                    43                  ,                    108                  ,                    22.6                  ,                    7                  ,2012
Steelers,                    391                  ,                    1450                  ,                    3.7                  ,                    9                  ,                    6                  ,                    1                  ,                    64T                  ,                    78                  ,                    20                  ,                    6                  ,2012
Chargers,                    406                  ,                    1542                  ,                    3.8                  ,                    10                  ,                    6                  ,                    1                  ,                    41                  ,                    85                  ,                    20.9                  ,                    9                  ,2012
Rams,                    442                  ,                    1880                  ,                    4.2                  ,                    18                  ,                    12                  ,                    4                  ,                    82T                  ,                    107                  ,                    24.2                  ,                    4                  ,2012
Giants,                    449                  ,                    2066                  ,                    4.6                  ,                    9                  ,                    10                  ,                    3                  ,                    78                  ,                    104                  ,                    23.2                  ,                    8                  ,2012
Browns,                    457                  ,                    1898                  ,                    4.2                  ,                    14                  ,                    9                  ,                    2                  ,                    80T                  ,                    104                  ,                    22.8                  ,                    9                  ,2012
Lions,                    420                  ,                    1889                  ,                    4.5                  ,                    13                  ,                    12                  ,                    3                  ,                    81T                  ,                    107                  ,                    25.5                  ,                    4                  ,2012
Falcons,                    411                  ,                    1971                  ,                    4.8                  ,                    16                  ,                    16                  ,                    8                  ,                    72T                  ,                    99                  ,                    24.1                  ,                    8                  ,2012
Titans,                    483                  ,                    2035                  ,                    4.2                  ,                    16                  ,                    6                  ,                    1                  ,                    46                  ,                    122                  ,                    25.3                  ,                    6                  ,2012
