Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,year
Redskins,                    355                  ,                    4057                  ,                    11.4                  ,                    20                  ,                    39                  ,                    6                  ,                    62                  ,                    198                  ,                    55.8                  ,                    5                  ,2013
Colts,                    350                  ,                    3952                  ,                    11.3                  ,                    23                  ,                    45                  ,                    10                  ,                    73                  ,                    191                  ,                    54.6                  ,                    2                  ,2013
Jaguars,                    349                  ,                    3751                  ,                    10.8                  ,                    16                  ,                    44                  ,                    6                  ,                    67                  ,                    176                  ,                    50.4                  ,                    6                  ,2013
Chiefs,                    333                  ,                    3561                  ,                    10.7                  ,                    24                  ,                    45                  ,                    7                  ,                    71                  ,                    179                  ,                    53.8                  ,                    5                  ,2013
Titans,                    328                  ,                    3710                  ,                    11.3                  ,                    22                  ,                    48                  ,                    10                  ,                    77                  ,                    172                  ,                    52.4                  ,                    4                  ,2013
Vikings,                    325                  ,                    3645                  ,                    11.2                  ,                    18                  ,                    54                  ,                    7                  ,                    79                  ,                    173                  ,                    53.2                  ,                    3                  ,2013
Giants,                    325                  ,                    3875                  ,                    11.9                  ,                    18                  ,                    54                  ,                    7                  ,                    70                  ,                    176                  ,                    54.2                  ,                    4                  ,2013
Eagles,                    310                  ,                    4406                  ,                    14.2                  ,                    32                  ,                    80                  ,                    18                  ,                    70                  ,                    197                  ,                    63.6                  ,                    3                  ,2013
Rams,                    301                  ,                    3360                  ,                    11.2                  ,                    22                  ,                    41                  ,                    5                  ,                    81                  ,                    165                  ,                    54.8                  ,                    3                  ,2013
Bills,                    299                  ,                    3373                  ,                    11.3                  ,                    16                  ,                    46                  ,                    9                  ,                    59                  ,                    149                  ,                    49.8                  ,                    5                  ,2013
Raiders,                    298                  ,                    3629                  ,                    12.2                  ,                    17                  ,                    48                  ,                    8                  ,                    73                  ,                    168                  ,                    56.4                  ,                    2                  ,2013
Panthers,                    292                  ,                    3379                  ,                    11.6                  ,                    24                  ,                    33                  ,                    7                  ,                    79                  ,                    169                  ,                    57.9                  ,                    3                  ,2013
Buccaneers,                    291                  ,                    3181                  ,                    10.9                  ,                    22                  ,                    39                  ,                    7                  ,                    85                  ,                    157                  ,                    54                  ,                    1                  ,2013
Seahawks,                    267                  ,                    3508                  ,                    13.1                  ,                    27                  ,                    52                  ,                    10                  ,                    80                  ,                    160                  ,                    59.9                  ,                    4                  ,2013
Jets,                    266                  ,                    3270                  ,                    12.3                  ,                    13                  ,                    47                  ,                    6                  ,                    69                  ,                    154                  ,                    57.9                  ,                    1                  ,2013
Niners,                    244                  ,                    3210                  ,                    13.2                  ,                    21                  ,                    46                  ,                    10                  ,                    64T                  ,                    148                  ,                    60.7                  ,                    3                  ,2013
Saints,                    456                  ,                    4952                  ,                    10.9                  ,                    33                  ,                    52                  ,                    10                  ,                    69                  ,                    258                  ,                    56.6                  ,                    8                  ,2014
Falcons,                    418                  ,                    4758                  ,                    11.4                  ,                    28                  ,                    61                  ,                    9                  ,                    79T                  ,                    233                  ,                    55.7                  ,                    7                  ,2014
Steelers,                    411                  ,                    4997                  ,                    12.2                  ,                    33                  ,                    56                  ,                    15                  ,                    94                  ,                    243                  ,                    59.1                  ,                    5                  ,2014
Colts,                    410                  ,                    5062                  ,                    12.4                  ,                    42                  ,                    78                  ,                    15                  ,                    80                  ,                    251                  ,                    61.2                  ,                    6                  ,2014
Broncos,                    399                  ,                    4779                  ,                    12                  ,                    40                  ,                    67                  ,                    11                  ,                    86                  ,                    227                  ,                    56.9                  ,                    4                  ,2014
Bears,                    396                  ,                    4035                  ,                    10.2                  ,                    30                  ,                    41                  ,                    8                  ,                    74                  ,                    194                  ,                    49                  ,                    3                  ,2014
Dolphins,                    394                  ,                    4066                  ,                    10.3                  ,                    27                  ,                    41                  ,                    4                  ,                    50                  ,                    226                  ,                    57.4                  ,                    7                  ,2014
Patriots,                    392                  ,                    4291                  ,                    11                  ,                    34                  ,                    46                  ,                    8                  ,                    69                  ,                    228                  ,                    58.2                  ,                    4                  ,2014
Eagles,                    384                  ,                    4581                  ,                    11.9                  ,                    27                  ,                    63                  ,                    13                  ,                    72                  ,                    218                  ,                    56.8                  ,                    5                  ,2014
Giants,                    383                  ,                    4470                  ,                    11.7                  ,                    30                  ,                    53                  ,                    10                  ,                    80                  ,                    218                  ,                    56.9                  ,                    6                  ,2014
Chargers,                    380                  ,                    4296                  ,                    11.3                  ,                    31                  ,                    57                  ,                    9                  ,                    59                  ,                    214                  ,                    56.3                  ,                    4                  ,2014
Lions,                    365                  ,                    4284                  ,                    11.7                  ,                    22                  ,                    54                  ,                    11                  ,                    73                  ,                    210                  ,                    57.5                  ,                    3                  ,2014
Raiders,                    365                  ,                    3456                  ,                    9.5                  ,                    22                  ,                    30                  ,                    7                  ,                    77                  ,                    173                  ,                    47.4                  ,                    7                  ,2014
Redskins,                    364                  ,                    4461                  ,                    12.3                  ,                    18                  ,                    57                  ,                    20                  ,                    81                  ,                    186                  ,                    51.1                  ,                    6                  ,2014
Bills,                    363                  ,                    3856                  ,                    10.6                  ,                    23                  ,                    52                  ,                    8                  ,                    84T                  ,                    186                  ,                    51.2                  ,                    8                  ,2014
Packers,                    349                  ,                    4447                  ,                    12.7                  ,                    38                  ,                    59                  ,                    15                  ,                    80                  ,                    222                  ,                    63.6                  ,                    1                  ,2014
Ravens,                    344                  ,                    3986                  ,                    11.6                  ,                    27                  ,                    50                  ,                    7                  ,                    80                  ,                    194                  ,                    56.4                  ,                    4                  ,2014
Cowboys,                    328                  ,                    4008                  ,                    12.2                  ,                    37                  ,                    54                  ,                    12                  ,                    68                  ,                    205                  ,                    62.5                  ,                    4                  ,2014
Panthers,                    327                  ,                    3828                  ,                    11.7                  ,                    23                  ,                    43                  ,                    4                  ,                    51                  ,                    199                  ,                    60.9                  ,                    3                  ,2014
Rams,                    327                  ,                    3695                  ,                    11.3                  ,                    20                  ,                    43                  ,                    7                  ,                    63                  ,                    189                  ,                    57.8                  ,                    1                  ,2014
Jaguars,                    325                  ,                    3451                  ,                    10.6                  ,                    15                  ,                    43                  ,                    9                  ,                    63                  ,                    154                  ,                    47.4                  ,                    2                  ,2014
Bengals,                    323                  ,                    3551                  ,                    11                  ,                    20                  ,                    35                  ,                    8                  ,                    81                  ,                    164                  ,                    50.8                  ,                    7                  ,2014
Vikings,                    322                  ,                    3566                  ,                    11.1                  ,                    17                  ,                    43                  ,                    7                  ,                    87                  ,                    171                  ,                    53.1                  ,                    3                  ,2014
Chiefs,                    320                  ,                    3428                  ,                    10.7                  ,                    18                  ,                    43                  ,                    3                  ,                    70                  ,                    184                  ,                    57.5                  ,                    9                  ,2014
Cardinals,                    320                  ,                    3990                  ,                    12.5                  ,                    21                  ,                    58                  ,                    11                  ,                    81                  ,                    191                  ,                    59.7                  ,                    5                  ,2014
Buccaneers,                    301                  ,                    3623                  ,                    12                  ,                    21                  ,                    51                  ,                    9                  ,                    56                  ,                    162                  ,                    53.8                  ,                    5                  ,2014
Titans,                    299                  ,                    3738                  ,                    12.5                  ,                    20                  ,                    50                  ,                    7                  ,                    80                  ,                    159                  ,                    53.2                  ,                    4                  ,2014
Texans,                    295                  ,                    3460                  ,                    11.7                  ,                    22                  ,                    49                  ,                    9                  ,                    76                  ,                    171                  ,                    58                  ,                    6                  ,2014
Niners,                    292                  ,                    3407                  ,                    11.7                  ,                    20                  ,                    49                  ,                    5                  ,                    80                  ,                    165                  ,                    56.5                  ,                    2                  ,2014
Jets,                    287                  ,                    3206                  ,                    11.2                  ,                    16                  ,                    40                  ,                    9                  ,                    74                  ,                    154                  ,                    53.7                  ,                    3                  ,2014
Seahawks,                    287                  ,                    3492                  ,                    12.2                  ,                    20                  ,                    54                  ,                    8                  ,                    80                  ,                    160                  ,                    55.8                  ,                    3                  ,2014
Browns,                    274                  ,                    3678                  ,                    13.4                  ,                    12                  ,                    56                  ,                    11                  ,                    81T                  ,                    179                  ,                    65.3                  ,                    0                  ,2014
Saints,                    460                  ,                    5205                  ,                    11.3                  ,                    32                  ,                    72                  ,                    13                  ,                    80                  ,                    247                  ,                    53.7                  ,                    6                  ,2015
Chargers,                    442                  ,                    4855                  ,                    11                  ,                    30                  ,                    53                  ,                    8                  ,                    80                  ,                    230                  ,                    52                  ,                    7                  ,2015
Ravens,                    426                  ,                    4449                  ,                    10.4                  ,                    21                  ,                    54                  ,                    8                  ,                    50                  ,                    211                  ,                    49.5                  ,                    3                  ,2015
Lions,                    420                  ,                    4463                  ,                    10.6                  ,                    33                  ,                    52                  ,                    8                  ,                    57T                  ,                    236                  ,                    56.2                  ,                    3                  ,2015
Falcons,                    410                  ,                    4602                  ,                    11.2                  ,                    21                  ,                    49                  ,                    9                  ,                    70                  ,                    230                  ,                    56.1                  ,                    4                  ,2015
Eagles,                    405                  ,                    4341                  ,                    10.7                  ,                    23                  ,                    53                  ,                    14                  ,                    78                  ,                    193                  ,                    47.6                  ,                    6                  ,2015
Patriots,                    404                  ,                    4812                  ,                    11.9                  ,                    36                  ,                    59                  ,                    12                  ,                    76                  ,                    229                  ,                    56.7                  ,                    3                  ,2015
Giants,                    392                  ,                    4500                  ,                    11.5                  ,                    36                  ,                    53                  ,                    16                  ,                    87                  ,                    208                  ,                    53.1                  ,                    6                  ,2015
Steelers,                    391                  ,                    4822                  ,                    12.3                  ,                    26                  ,                    61                  ,                    21                  ,                    88                  ,                    207                  ,                    52.9                  ,                    3                  ,2015
Redskins,                    386                  ,                    4294                  ,                    11.1                  ,                    30                  ,                    52                  ,                    9                  ,                    78                  ,                    208                  ,                    53.9                  ,                    7                  ,2015
Raiders,                    373                  ,                    4129                  ,                    11.1                  ,                    34                  ,                    53                  ,                    10                  ,                    68                  ,                    193                  ,                    51.7                  ,                    5                  ,2015
Browns,                    371                  ,                    4156                  ,                    11.2                  ,                    20                  ,                    48                  ,                    12                  ,                    61                  ,                    192                  ,                    51.8                  ,                    6                  ,2015
Broncos,                    368                  ,                    4216                  ,                    11.5                  ,                    19                  ,                    41                  ,                    11                  ,                    75                  ,                    201                  ,                    54.6                  ,                    4                  ,2015
Dolphins,                    365                  ,                    4231                  ,                    11.6                  ,                    24                  ,                    57                  ,                    13                  ,                    54                  ,                    194                  ,                    53.2                  ,                    2                  ,2015
Jets,                    362                  ,                    4170                  ,                    11.5                  ,                    33                  ,                    56                  ,                    9                  ,                    69                  ,                    210                  ,                    58                  ,                    6                  ,2015
Texans,                    358                  ,                    4079                  ,                    11.4                  ,                    29                  ,                    46                  ,                    8                  ,                    61                  ,                    210                  ,                    58.7                  ,                    3                  ,2015
Colts,                    355                  ,                    3928                  ,                    11.1                  ,                    26                  ,                    46                  ,                    7                  ,                    87                  ,                    195                  ,                    54.9                  ,                    2                  ,2015
Jaguars,                    355                  ,                    4428                  ,                    12.5                  ,                    35                  ,                    72                  ,                    11                  ,                    90                  ,                    215                  ,                    60.6                  ,                    2                  ,2015
Cardinals,                    353                  ,                    4775                  ,                    13.5                  ,                    35                  ,                    66                  ,                    15                  ,                    68                  ,                    237                  ,                    67.1                  ,                    4                  ,2015
Packers,                    348                  ,                    3825                  ,                    11                  ,                    31                  ,                    55                  ,                    6                  ,                    65                  ,                    173                  ,                    49.7                  ,                    4                  ,2015
Titans,                    342                  ,                    3893                  ,                    11.4                  ,                    25                  ,                    49                  ,                    6                  ,                    61                  ,                    195                  ,                    57                  ,                    2                  ,2015
Bears,                    334                  ,                    3843                  ,                    11.5                  ,                    21                  ,                    56                  ,                    10                  ,                    87                  ,                    177                  ,                    53                  ,                    4                  ,2015
Bengals,                    334                  ,                    4104                  ,                    12.3                  ,                    31                  ,                    63                  ,                    13                  ,                    80                  ,                    191                  ,                    57.2                  ,                    3                  ,2015
Cowboys,                    334                  ,                    3677                  ,                    11                  ,                    16                  ,                    40                  ,                    4                  ,                    67                  ,                    175                  ,                    52.4                  ,                    4                  ,2015
Seahawks,                    333                  ,                    4061                  ,                    12.2                  ,                    34                  ,                    60                  ,                    9                  ,                    80                  ,                    190                  ,                    57.1                  ,                    3                  ,2015
Niners,                    322                  ,                    3646                  ,                    11.3                  ,                    16                  ,                    46                  ,                    12                  ,                    76T                  ,                    154                  ,                    47.8                  ,                    4                  ,2015
Buccaneers,                    312                  ,                    4042                  ,                    13                  ,                    22                  ,                    57                  ,                    9                  ,                    68T                  ,                    201                  ,                    64.4                  ,                    4                  ,2015
Chiefs,                    310                  ,                    3493                  ,                    11.3                  ,                    20                  ,                    42                  ,                    10                  ,                    80                  ,                    155                  ,                    50                  ,                    5                  ,2015
Panthers,                    300                  ,                    3873                  ,                    12.9                  ,                    35                  ,                    53                  ,                    10                  ,                    74                  ,                    197                  ,                    65.7                  ,                    3                  ,2015
Bills,                    295                  ,                    3600                  ,                    12.2                  ,                    23                  ,                    51                  ,                    12                  ,                    63                  ,                    155                  ,                    52.5                  ,                    6                  ,2015
Vikings,                    294                  ,                    3246                  ,                    11                  ,                    14                  ,                    41                  ,                    6                  ,                    52                  ,                    153                  ,                    52                  ,                    4                  ,2015
Rams,                    273                  ,                    2931                  ,                    10.7                  ,                    11                  ,                    35                  ,                    10                  ,                    68                  ,                    126                  ,                    46.2                  ,                    3                  ,2015
Saints,                    472                  ,                    5258                  ,                    11.1                  ,                    38                  ,                    71                  ,                    11                  ,                    98                  ,                    265                  ,                    56.1                  ,                    7                  ,2016
Ravens,                    439                  ,                    4343                  ,                    9.9                  ,                    20                  ,                    40                  ,                    11                  ,                    95                  ,                    205                  ,                    46.7                  ,                    2                  ,2016
Vikings,                    414                  ,                    4119                  ,                    10                  ,                    20                  ,                    52                  ,                    8                  ,                    71T                  ,                    209                  ,                    50.5                  ,                    1                  ,2016
Redskins,                    407                  ,                    4948                  ,                    12.2                  ,                    25                  ,                    70                  ,                    13                  ,                    80                  ,                    226                  ,                    55.5                  ,                    4                  ,2016
Packers,                    403                  ,                    4445                  ,                    11                  ,                    40                  ,                    57                  ,                    10                  ,                    66                  ,                    222                  ,                    55.1                  ,                    6                  ,2016
Lions,                    388                  ,                    4327                  ,                    11.2                  ,                    24                  ,                    52                  ,                    10                  ,                    73                  ,                    217                  ,                    55.9                  ,                    1                  ,2016
Cardinals,                    383                  ,                    4425                  ,                    11.6                  ,                    28                  ,                    51                  ,                    6                  ,                    80                  ,                    229                  ,                    59.8                  ,                    5                  ,2016
Steelers,                    381                  ,                    4377                  ,                    11.5                  ,                    33                  ,                    64                  ,                    10                  ,                    72                  ,                    210                  ,                    55.1                  ,                    1                  ,2016
Eagles,                    380                  ,                    3798                  ,                    10                  ,                    16                  ,                    39                  ,                    6                  ,                    73                  ,                    192                  ,                    50.5                  ,                    3                  ,2016
Raiders,                    379                  ,                    4137                  ,                    10.9                  ,                    29                  ,                    51                  ,                    8                  ,                    75                  ,                    198                  ,                    52.2                  ,                    4                  ,2016
Giants,                    377                  ,                    4027                  ,                    10.7                  ,                    26                  ,                    46                  ,                    11                  ,                    75                  ,                    190                  ,                    50.4                  ,                    7                  ,2016
Falcons,                    374                  ,                    4960                  ,                    13.3                  ,                    38                  ,                    69                  ,                    17                  ,                    76                  ,                    239                  ,                    63.9                  ,                    1                  ,2016
Colts,                    370                  ,                    4491                  ,                    12.1                  ,                    32                  ,                    63                  ,                    8                  ,                    64                  ,                    220                  ,                    59.5                  ,                    4                  ,2016
Jaguars,                    369                  ,                    3925                  ,                    10.6                  ,                    24                  ,                    44                  ,                    4                  ,                    51                  ,                    207                  ,                    56.1                  ,                    2                  ,2016
Patriots,                    368                  ,                    4456                  ,                    12.1                  ,                    32                  ,                    56                  ,                    9                  ,                    79                  ,                    203                  ,                    55.2                  ,                    3                  ,2016
Seahawks,                    368                  ,                    4422                  ,                    12                  ,                    23                  ,                    54                  ,                    12                  ,                    59                  ,                    203                  ,                    55.2                  ,                    6                  ,2016
Chiefs,                    365                  ,                    3914                  ,                    10.7                  ,                    19                  ,                    46                  ,                    9                  ,                    80                  ,                    197                  ,                    54                  ,                    5                  ,2016
Bengals,                    364                  ,                    4206                  ,                    11.6                  ,                    18                  ,                    53                  ,                    13                  ,                    86                  ,                    204                  ,                    56                  ,                    4                  ,2016
Buccaneers,                    355                  ,                    4165                  ,                    11.7                  ,                    29                  ,                    43                  ,                    4                  ,                    45                  ,                    220                  ,                    62                  ,                    1                  ,2016
Chargers,                    349                  ,                    4386                  ,                    12.6                  ,                    33                  ,                    57                  ,                    16                  ,                    59                  ,                    214                  ,                    61.3                  ,                    6                  ,2016
Bears,                    347                  ,                    4139                  ,                    11.9                  ,                    19                  ,                    49                  ,                    4                  ,                    64                  ,                    212                  ,                    61.1                  ,                    5                  ,2016
Texans,                    347                  ,                    3418                  ,                    9.8                  ,                    15                  ,                    34                  ,                    4                  ,                    53                  ,                    173                  ,                    49.9                  ,                    2                  ,2016
Broncos,                    339                  ,                    3914                  ,                    11.6                  ,                    20                  ,                    40                  ,                    8                  ,                    76                  ,                    181                  ,                    53.4                  ,                    8                  ,2016
Browns,                    338                  ,                    3693                  ,                    10.9                  ,                    15                  ,                    44                  ,                    9                  ,                    58                  ,                    181                  ,                    53.6                  ,                    2                  ,2016
Cowboys,                    325                  ,                    3799                  ,                    11.7                  ,                    25                  ,                    39                  ,                    8                  ,                    83T                  ,                    191                  ,                    58.8                  ,                    4                  ,2016
