Team,INT,INT TD,INT Yds,Lng,year
Browns,                    14                  ,                    1                  ,                    219                  ,                    61T                  ,2019
Titans,                    14                  ,                    1                  ,                    158                  ,                    38T                  ,2019
Ravens,                    13                  ,                    2                  ,                    259                  ,                    89T                  ,2019
Rams,                    13                  ,                    2                  ,                    137                  ,                    32                  ,2019
Dolphins,                    13                  ,                    1                  ,                    190                  ,                    35T                  ,2019
Saints,                    13                  ,                    2                  ,                    140                  ,                    55                  ,2019
Redskins,                    13                  ,                    0                  ,                    106                  ,                    33                  ,2019
Falcons,                    12                  ,                    1                  ,                    130                  ,                    27T                  ,2019
Texans,                    12                  ,                    2                  ,                    302                  ,                    86                  ,2019
Jets,                    12                  ,                    3                  ,                    138                  ,                    61                  ,2019
49ers,                    12                  ,                    3                  ,                    286                  ,                    49                  ,2019
Buccaneers,                    12                  ,                    2                  ,                    201                  ,                    70                  ,2019
Bengals,                    11                  ,                    0                  ,                    181                  ,                    34                  ,2019
Eagles,                    11                  ,                    1                  ,                    159                  ,                    51T                  ,2019
Chargers,                    11                  ,                    0                  ,                    74                  ,                    37                  ,2019
Bears,                    10                  ,                    1                  ,                    157                  ,                    59                  ,2019
Broncos,                    10                  ,                    0                  ,                    87                  ,                    24                  ,2019
Jaguars,                    10                  ,                    1                  ,                    132                  ,                    35T                  ,2019
Giants,                    10                  ,                    1                  ,                    171                  ,                    62T                  ,2019
Raiders,                    9                  ,                    2                  ,                    214                  ,                    59                  ,2019
Cowboys,                    7                  ,                    0                  ,                    83                  ,                    29                  ,2019
Lions,                    7                  ,                    0                  ,                    76                  ,                    55                  ,2019
Cardinals,                    7                  ,                    0                  ,                    82                  ,                    48                  ,2019
Dolphins,                    18                  ,                    0                  ,                    146                  ,                    29                  ,2020
Patriots,                    18                  ,                    1                  ,                    162                  ,                    43T                  ,2020
Saints,                    18                  ,                    1                  ,                    196                  ,                    48T                  ,2020
Steelers,                    18                  ,                    3                  ,                    169                  ,                    37T                  ,2020
Chiefs,                    16                  ,                    2                  ,                    259                  ,                    50                  ,2020
FootballTeam,                    16                  ,                    2                  ,                    136                  ,                    76                  ,2020
Bills,                    15                  ,                    2                  ,                    184                  ,                    51                  ,2020
Titans,                    15                  ,                    0                  ,                    189                  ,                    68                  ,2020
Colts,                    15                  ,                    4                  ,                    266                  ,                    50                  ,2020
Vikings,                    15                  ,                    0                  ,                    65                  ,                    16                  ,2020
Buccaneers,                    15                  ,                    1                  ,                    171                  ,                    37T                  ,2020
Rams,                    14                  ,                    3                  ,                    266                  ,                    84                  ,2020
Seahawks,                    14                  ,                    0                  ,                    106                  ,                    32                  ,2020
Falcons,                    12                  ,                    1                  ,                    204                  ,                    67T                  ,2020
