Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM,P Blk,year
Colts,                    9.9                  ,                    33                  ,                    326                  ,                    0                  ,                    3                  ,                    1                  ,                    51                  ,                    25                  ,                    3                  ,                    0                  ,2013
Bengals,                    9                  ,                    47                  ,                    424                  ,                    0                  ,                    4                  ,                    1                  ,                    43                  ,                    16                  ,                    1                  ,                    1                  ,2013
Jets,                    9                  ,                    25                  ,                    224                  ,                    0                  ,                    2                  ,                    0                  ,                    24                  ,                    12                  ,                    0                  ,                    2                  ,2013
Niners,                    8.9                  ,                    35                  ,                    312                  ,                    0                  ,                    3                  ,                    1                  ,                    40                  ,                    32                  ,                    3                  ,                    2                  ,2013
Rams,                    8.8                  ,                    43                  ,                    378                  ,                    1                  ,                    5                  ,                    1                  ,                    98T                  ,                    11                  ,                    4                  ,                    0                  ,2013
Texans,                    8.6                  ,                    42                  ,                    360                  ,                    1                  ,                    2                  ,                    2                  ,                    87T                  ,                    21                  ,                    0                  ,                    0                  ,2013
Falcons,                    8.3                  ,                    30                  ,                    250                  ,                    0                  ,                    3                  ,                    0                  ,                    25                  ,                    13                  ,                    3                  ,                    0                  ,2013
Raiders,                    8.2                  ,                    25                  ,                    206                  ,                    0                  ,                    2                  ,                    0                  ,                    30                  ,                    19                  ,                    3                  ,                    3                  ,2013
Broncos,                    7.8                  ,                    44                  ,                    343                  ,                    1                  ,                    4                  ,                    1                  ,                    81T                  ,                    15                  ,                    7                  ,                    2                  ,2013
Dolphins,                    7.8                  ,                    34                  ,                    264                  ,                    0                  ,                    3                  ,                    0                  ,                    34                  ,                    20                  ,                    2                  ,                    1                  ,2013
Titans,                    7.7                  ,                    31                  ,                    240                  ,                    0                  ,                    3                  ,                    0                  ,                    35                  ,                    20                  ,                    5                  ,                    0                  ,2013
Chargers,                    7.6                  ,                    22                  ,                    166                  ,                    0                  ,                    3                  ,                    0                  ,                    28                  ,                    20                  ,                    2                  ,                    0                  ,2013
Giants,                    7.2                  ,                    34                  ,                    246                  ,                    0                  ,                    1                  ,                    0                  ,                    32                  ,                    26                  ,                    4                  ,                    1                  ,2013
Eagles,                    6.6                  ,                    26                  ,                    171                  ,                    0                  ,                    3                  ,                    0                  ,                    32                  ,                    20                  ,                    1                  ,                    0                  ,2013
Redskins,                    6.4                  ,                    35                  ,                    225                  ,                    0                  ,                    1                  ,                    0                  ,                    34                  ,                    11                  ,                    3                  ,                    0                  ,2013
Bills,                    6.2                  ,                    39                  ,                    243                  ,                    0                  ,                    2                  ,                    0                  ,                    25                  ,                    22                  ,                    7                  ,                    0                  ,2013
Saints,                    6.1                  ,                    32                  ,                    194                  ,                    0                  ,                    2                  ,                    0                  ,                    28                  ,                    25                  ,                    2                  ,                    0                  ,2013
Cardinals,                    5.8                  ,                    34                  ,                    198                  ,                    0                  ,                    1                  ,                    0                  ,                    22                  ,                    23                  ,                    4                  ,                    0                  ,2013
Jaguars,                    4.7                  ,                    30                  ,                    142                  ,                    0                  ,                    0                  ,                    0                  ,                    17                  ,                    21                  ,                    0                  ,                    1                  ,2013
Falcons,                    13.3                  ,                    18                  ,                    239                  ,                    1                  ,                    4                  ,                    2                  ,                    68                  ,                    11                  ,                    1                  ,                    0                  ,2014
Rams,                    13                  ,                    37                  ,                    482                  ,                    2                  ,                    7                  ,                    3                  ,                    90                  ,                    24                  ,                    5                  ,                    1                  ,2014
Eagles,                    13                  ,                    41                  ,                    531                  ,                    2                  ,                    6                  ,                    3                  ,                    82T                  ,                    21                  ,                    2                  ,                    4                  ,2014
Chiefs,                    12.1                  ,                    50                  ,                    605                  ,                    1                  ,                    12                  ,                    3                  ,                    81T                  ,                    4                  ,                    1                  ,                    0                  ,2014
Packers,                    11.5                  ,                    29                  ,                    333                  ,                    2                  ,                    5                  ,                    2                  ,                    75T                  ,                    12                  ,                    1                  ,                    0                  ,2014
Vikings,                    11                  ,                    27                  ,                    297                  ,                    0                  ,                    4                  ,                    0                  ,                    35                  ,                    26                  ,                    0                  ,                    2                  ,2014
Bengals,                    11                  ,                    40                  ,                    439                  ,                    0                  ,                    8                  ,                    3                  ,                    49                  ,                    15                  ,                    2                  ,                    1                  ,2014
Buccaneers,                    10.8                  ,                    23                  ,                    249                  ,                    0                  ,                    3                  ,                    1                  ,                    53                  ,                    17                  ,                    4                  ,                    0                  ,2014
Cardinals,                    10.6                  ,                    26                  ,                    277                  ,                    1                  ,                    2                  ,                    2                  ,                    71T                  ,                    24                  ,                    2                  ,                    0                  ,2014
Patriots,                    10.5                  ,                    41                  ,                    431                  ,                    1                  ,                    6                  ,                    2                  ,                    84T                  ,                    11                  ,                    1                  ,                    1                  ,2014
Steelers,                    10                  ,                    32                  ,                    321                  ,                    1                  ,                    3                  ,                    1                  ,                    71T                  ,                    16                  ,                    1                  ,                    0                  ,2014
Bills,                    9.6                  ,                    37                  ,                    354                  ,                    1                  ,                    4                  ,                    1                  ,                    75T                  ,                    18                  ,                    3                  ,                    2                  ,2014
Cowboys,                    9.2                  ,                    30                  ,                    275                  ,                    0                  ,                    3                  ,                    0                  ,                    38                  ,                    13                  ,                    4                  ,                    0                  ,2014
Ravens,                    9.1                  ,                    32                  ,                    292                  ,                    0                  ,                    5                  ,                    1                  ,                    45                  ,                    23                  ,                    3                  ,                    1                  ,2014
Lions,                    8.9                  ,                    32                  ,                    284                  ,                    0                  ,                    3                  ,                    0                  ,                    28                  ,                    37                  ,                    2                  ,                    0                  ,2014
Chargers,                    8.8                  ,                    23                  ,                    203                  ,                    0                  ,                    2                  ,                    1                  ,                    58                  ,                    18                  ,                    1                  ,                    1                  ,2014
Dolphins,                    8.2                  ,                    25                  ,                    204                  ,                    0                  ,                    3                  ,                    0                  ,                    32                  ,                    19                  ,                    4                  ,                    3                  ,2014
Panthers,                    8                  ,                    30                  ,                    239                  ,                    1                  ,                    2                  ,                    1                  ,                    79T                  ,                    26                  ,                    5                  ,                    0                  ,2014
Giants,                    7.7                  ,                    29                  ,                    224                  ,                    0                  ,                    3                  ,                    0                  ,                    25                  ,                    27                  ,                    1                  ,                    1                  ,2014
Broncos,                    7.2                  ,                    41                  ,                    296                  ,                    0                  ,                    2                  ,                    0                  ,                    22                  ,                    28                  ,                    3                  ,                    0                  ,2014
Redskins,                    7.2                  ,                    29                  ,                    208                  ,                    0                  ,                    3                  ,                    0                  ,                    37                  ,                    27                  ,                    2                  ,                    0                  ,2014
Jaguars,                    7.1                  ,                    37                  ,                    264                  ,                    0                  ,                    1                  ,                    0                  ,                    23                  ,                    15                  ,                    2                  ,                    0                  ,2014
Raiders,                    7                  ,                    37                  ,                    261                  ,                    0                  ,                    4                  ,                    0                  ,                    27                  ,                    17                  ,                    2                  ,                    1                  ,2014
Saints,                    7                  ,                    19                  ,                    134                  ,                    0                  ,                    2                  ,                    0                  ,                    32                  ,                    26                  ,                    1                  ,                    0                  ,2014
Seahawks,                    7                  ,                    36                  ,                    252                  ,                    0                  ,                    4                  ,                    0                  ,                    38                  ,                    28                  ,                    1                  ,                    2                  ,2014
Colts,                    6.9                  ,                    45                  ,                    312                  ,                    0                  ,                    1                  ,                    0                  ,                    22                  ,                    25                  ,                    3                  ,                    1                  ,2014
Titans,                    6.9                  ,                    30                  ,                    207                  ,                    0                  ,                    2                  ,                    1                  ,                    48                  ,                    18                  ,                    2                  ,                    0                  ,2014
Browns,                    6.7                  ,                    27                  ,                    181                  ,                    0                  ,                    2                  ,                    0                  ,                    37                  ,                    25                  ,                    4                  ,                    1                  ,2014
Niners,                    6.5                  ,                    35                  ,                    227                  ,                    0                  ,                    3                  ,                    0                  ,                    23                  ,                    13                  ,                    2                  ,                    1                  ,2014
Jets,                    6.4                  ,                    43                  ,                    273                  ,                    0                  ,                    2                  ,                    1                  ,                    41                  ,                    20                  ,                    4                  ,                    0                  ,2014
Texans,                    6.1                  ,                    34                  ,                    208                  ,                    0                  ,                    1                  ,                    0                  ,                    21                  ,                    28                  ,                    1                  ,                    1                  ,2014
Bears,                    5.2                  ,                    21                  ,                    109                  ,                    0                  ,                    1                  ,                    0                  ,                    22                  ,                    13                  ,                    1                  ,                    0                  ,2014
Jaguars,                    11.6                  ,                    31                  ,                    361                  ,                    1                  ,                    5                  ,                    2                  ,                    73T                  ,                    16                  ,                    3                  ,                    1                  ,2015
Eagles,                    11.4                  ,                    39                  ,                    443                  ,                    2                  ,                    4                  ,                    3                  ,                    89T                  ,                    18                  ,                    1                  ,                    1                  ,2015
Ravens,                    11.2                  ,                    40                  ,                    450                  ,                    1                  ,                    5                  ,                    2                  ,                    82T                  ,                    15                  ,                    2                  ,                    1                  ,2015
Browns,                    11.2                  ,                    29                  ,                    325                  ,                    1                  ,                    4                  ,                    1                  ,                    78T                  ,                    10                  ,                    2                  ,                    1                  ,2015
Seahawks,                    10.7                  ,                    42                  ,                    450                  ,                    1                  ,                    6                  ,                    4                  ,                    66                  ,                    22                  ,                    2                  ,                    0                  ,2015
Dolphins,                    10.3                  ,                    41                  ,                    424                  ,                    1                  ,                    6                  ,                    1                  ,                    69T                  ,                    16                  ,                    1                  ,                    1                  ,2015
Giants,                    10.2                  ,                    36                  ,                    367                  ,                    1                  ,                    5                  ,                    1                  ,                    80T                  ,                    9                  ,                    3                  ,                    1                  ,2015
Patriots,                    10.1                  ,                    47                  ,                    473                  ,                    0                  ,                    6                  ,                    1                  ,                    82                  ,                    18                  ,                    3                  ,                    0                  ,2015
Buccaneers,                    9.9                  ,                    29                  ,                    288                  ,                    0                  ,                    4                  ,                    1                  ,                    58                  ,                    14                  ,                    7                  ,                    1                  ,2015
Broncos,                    9.8                  ,                    29                  ,                    283                  ,                    1                  ,                    2                  ,                    1                  ,                    83T                  ,                    26                  ,                    3                  ,                    0                  ,2015
Falcons,                    9.4                  ,                    27                  ,                    255                  ,                    0                  ,                    2                  ,                    1                  ,                    41                  ,                    20                  ,                    0                  ,                    0                  ,2015
Panthers,                    9.4                  ,                    30                  ,                    282                  ,                    0                  ,                    3                  ,                    0                  ,                    37                  ,                    25                  ,                    0                  ,                    0                  ,2015
Vikings,                    9.2                  ,                    34                  ,                    311                  ,                    1                  ,                    4                  ,                    1                  ,                    65T                  ,                    15                  ,                    2                  ,                    0                  ,2015
Jets,                    8.6                  ,                    49                  ,                    422                  ,                    0                  ,                    2                  ,                    1                  ,                    58                  ,                    22                  ,                    1                  ,                    0                  ,2015
Saints,                    8.6                  ,                    32                  ,                    275                  ,                    1                  ,                    3                  ,                    1                  ,                    74T                  ,                    13                  ,                    3                  ,                    1                  ,2015
Steelers,                    8.2                  ,                    28                  ,                    231                  ,                    1                  ,                    2                  ,                    1                  ,                    71T                  ,                    17                  ,                    4                  ,                    0                  ,2015
Bengals,                    8.1                  ,                    43                  ,                    350                  ,                    0                  ,                    1                  ,                    0                  ,                    35                  ,                    12                  ,                    1                  ,                    0                  ,2015
Titans,                    8.1                  ,                    38                  ,                    307                  ,                    0                  ,                    2                  ,                    0                  ,                    37                  ,                    17                  ,                    2                  ,                    0                  ,2015
Chiefs,                    7.9                  ,                    45                  ,                    355                  ,                    0                  ,                    3                  ,                    0                  ,                    37                  ,                    9                  ,                    4                  ,                    1                  ,2015
Bears,                    7.8                  ,                    31                  ,                    242                  ,                    0                  ,                    2                  ,                    0                  ,                    34                  ,                    22                  ,                    3                  ,                    0                  ,2015
Rams,                    7.7                  ,                    39                  ,                    300                  ,                    1                  ,                    4                  ,                    1                  ,                    75T                  ,                    15                  ,                    3                  ,                    0                  ,2015
Niners,                    7.5                  ,                    30                  ,                    226                  ,                    0                  ,                    3                  ,                    0                  ,                    37                  ,                    23                  ,                    4                  ,                    0                  ,2015
Bills,                    7.5                  ,                    31                  ,                    232                  ,                    0                  ,                    1                  ,                    0                  ,                    27                  ,                    22                  ,                    5                  ,                    0                  ,2015
Cardinals,                    7.4                  ,                    39                  ,                    289                  ,                    0                  ,                    2                  ,                    0                  ,                    38                  ,                    22                  ,                    6                  ,                    0                  ,2015
Texans,                    7.2                  ,                    52                  ,                    377                  ,                    0                  ,                    1                  ,                    0                  ,                    20                  ,                    23                  ,                    3                  ,                    0                  ,2015
Lions,                    7                  ,                    30                  ,                    209                  ,                    0                  ,                    3                  ,                    0                  ,                    28                  ,                    22                  ,                    3                  ,                    0                  ,2015
Colts,                    6.9                  ,                    39                  ,                    268                  ,                    0                  ,                    3                  ,                    0                  ,                    33                  ,                    28                  ,                    4                  ,                    0                  ,2015
Raiders,                    6.5                  ,                    42                  ,                    272                  ,                    0                  ,                    4                  ,                    0                  ,                    22                  ,                    13                  ,                    2                  ,                    0                  ,2015
Cowboys,                    5.6                  ,                    33                  ,                    183                  ,                    0                  ,                    2                  ,                    0                  ,                    28                  ,                    21                  ,                    2                  ,                    1                  ,2015
Packers,                    5.4                  ,                    31                  ,                    167                  ,                    0                  ,                    0                  ,                    0                  ,                    16                  ,                    23                  ,                    2                  ,                    0                  ,2015
Redskins,                    4.8                  ,                    32                  ,                    153                  ,                    0                  ,                    0                  ,                    0                  ,                    16                  ,                    17                  ,                    3                  ,                    1                  ,2015
Chargers,                    4.2                  ,                    20                  ,                    84                  ,                    0                  ,                    0                  ,                    0                  ,                    18                  ,                    26                  ,                    3                  ,                    0                  ,2015
Chiefs,                    14.8                  ,                    40                  ,                    592                  ,                    2                  ,                    8                  ,                    3                  ,                    95T                  ,                    8                  ,                    3                  ,                    0                  ,2016
Eagles,                    13                  ,                    19                  ,                    246                  ,                    0                  ,                    3                  ,                    2                  ,                    66                  ,                    13                  ,                    1                  ,                    1                  ,2016
Lions,                    12.3                  ,                    20                  ,                    246                  ,                    2                  ,                    3                  ,                    2                  ,                    85T                  ,                    16                  ,                    2                  ,                    0                  ,2016
Redskins,                    11.9                  ,                    29                  ,                    344                  ,                    1                  ,                    4                  ,                    2                  ,                    85T                  ,                    16                  ,                    1                  ,                    0                  ,2016
Falcons,                    11.4                  ,                    24                  ,                    273                  ,                    0                  ,                    2                  ,                    2                  ,                    73                  ,                    21                  ,                    0                  ,                    0                  ,2016
Bills,                    11.2                  ,                    28                  ,                    314                  ,                    0                  ,                    8                  ,                    1                  ,                    43                  ,                    17                  ,                    0                  ,                    1                  ,2016
Texans,                    11                  ,                    39                  ,                    427                  ,                    1                  ,                    3                  ,                    2                  ,                    67T                  ,                    29                  ,                    3                  ,                    0                  ,2016
Vikings,                    10.4                  ,                    34                  ,                    354                  ,                    2                  ,                    5                  ,                    2                  ,                    79T                  ,                    22                  ,                    3                  ,                    0                  ,2016
Saints,                    9.6                  ,                    23                  ,                    221                  ,                    0                  ,                    4                  ,                    1                  ,                    59                  ,                    17                  ,                    3                  ,                    0                  ,2016
49ers,                    9.4                  ,                    23                  ,                    216                  ,                    0                  ,                    5                  ,                    0                  ,                    33                  ,                    36                  ,                    4                  ,                    0                  ,2016
Raiders,                    9.3                  ,                    41                  ,                    380                  ,                    0                  ,                    3                  ,                    1                  ,                    47                  ,                    13                  ,                    0                  ,                    0                  ,2016
Buccaneers,                    9.2                  ,                    29                  ,                    266                  ,                    0                  ,                    2                  ,                    0                  ,                    25                  ,                    22                  ,                    3                  ,                    0                  ,2016
Dolphins,                    9.1                  ,                    36                  ,                    328                  ,                    1                  ,                    2                  ,                    1                  ,                    74T                  ,                    18                  ,                    5                  ,                    1                  ,2016
Packers,                    9                  ,                    26                  ,                    235                  ,                    0                  ,                    4                  ,                    1                  ,                    55                  ,                    21                  ,                    4                  ,                    0                  ,2016
Broncos,                    8.5                  ,                    37                  ,                    316                  ,                    0                  ,                    3                  ,                    0                  ,                    25                  ,                    26                  ,                    5                  ,                    0                  ,2016
Steelers,                    8.4                  ,                    22                  ,                    185                  ,                    0                  ,                    2                  ,                    0                  ,                    33                  ,                    19                  ,                    2                  ,                    0                  ,2016
Seahawks,                    8.3                  ,                    30                  ,                    249                  ,                    0                  ,                    3                  ,                    1                  ,                    62                  ,                    28                  ,                    0                  ,                    1                  ,2016
Colts,                    8.3                  ,                    22                  ,                    182                  ,                    0                  ,                    3                  ,                    0                  ,                    30                  ,                    22                  ,                    2                  ,                    0                  ,2016
Bears,                    8                  ,                    27                  ,                    215                  ,                    1                  ,                    2                  ,                    1                  ,                    65T                  ,                    27                  ,                    2                  ,                    0                  ,2016
Titans,                    7.9                  ,                    30                  ,                    236                  ,                    0                  ,                    0                  ,                    0                  ,                    18                  ,                    22                  ,                    2                  ,                    0                  ,2016
Ravens,                    7.7                  ,                    32                  ,                    246                  ,                    0                  ,                    2                  ,                    0                  ,                    28                  ,                    21                  ,                    4                  ,                    1                  ,2016
Rams,                    7.5                  ,                    49                  ,                    369                  ,                    0                  ,                    4                  ,                    1                  ,                    47                  ,                    19                  ,                    3                  ,                    1                  ,2016
Cowboys,                    7.1                  ,                    28                  ,                    198                  ,                    0                  ,                    2                  ,                    0                  ,                    39                  ,                    15                  ,                    1                  ,                    0                  ,2016
Panthers,                    7                  ,                    29                  ,                    202                  ,                    0                  ,                    0                  ,                    0                  ,                    19                  ,                    24                  ,                    2                  ,                    0                  ,2016
Patriots,                    6.9                  ,                    45                  ,                    309                  ,                    0                  ,                    2                  ,                    0                  ,                    30                  ,                    18                  ,                    7                  ,                    0                  ,2016
