Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM,FG Blk,XP Blk,year
Steelers,                    19.1                  ,                    33                  ,                    630                  ,                    1                  ,                    15                  ,                    1                  ,                    96T                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2017
Chargers,                    19                  ,                    25                  ,                    474                  ,                    0                  ,                    12                  ,                    1                  ,                    44                  ,                    0                  ,                    0                  ,                    0                  ,                    1                  ,2017
49ers,                    18.4                  ,                    31                  ,                    570                  ,                    0                  ,                    13                  ,                    0                  ,                    34                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2017
Lions,                    18.2                  ,                    32                  ,                    583                  ,                    0                  ,                    16                  ,                    0                  ,                    35                  ,                    0                  ,                    0                  ,                    2                  ,                    1                  ,2017
Titans,                    32                  ,                    23                  ,                    737                  ,                    1                  ,                    20                  ,                    2                  ,                    94T                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2018
Patriots,                    27                  ,                    28                  ,                    755                  ,                    1                  ,                    21                  ,                    2                  ,                    95T                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2018
Jets,                    26.9                  ,                    46                  ,                    1238                  ,                    1                  ,                    30                  ,                    7                  ,                    99T                  ,                    1                  ,                    2                  ,                    1                  ,                    1                  ,2018
49ers,                    26.2                  ,                    36                  ,                    944                  ,                    1                  ,                    25                  ,                    3                  ,                    97T                  ,                    0                  ,                    2                  ,                    0                  ,                    0                  ,2018
Bengals,                    24.9                  ,                    43                  ,                    1071                  ,                    0                  ,                    27                  ,                    5                  ,                    77                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2018
Vikings,                    24.6                  ,                    22                  ,                    540                  ,                    0                  ,                    17                  ,                    1                  ,                    46                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2018
Chiefs,                    24.4                  ,                    40                  ,                    975                  ,                    0                  ,                    24                  ,                    3                  ,                    97                  ,                    0                  ,                    2                  ,                    0                  ,                    0                  ,2018
Giants,                    24.4                  ,                    45                  ,                    1097                  ,                    0                  ,                    34                  ,                    3                  ,                    51                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2018
Texans,                    24.4                  ,                    20                  ,                    487                  ,                    0                  ,                    13                  ,                    0                  ,                    36                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2018
Saints,                    24.4                  ,                    23                  ,                    560                  ,                    0                  ,                    17                  ,                    2                  ,                    50                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2018
Lions,                    24.1                  ,                    20                  ,                    482                  ,                    0                  ,                    16                  ,                    1                  ,                    45                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2018
Dolphins,                    24                  ,                    39                  ,                    938                  ,                    1                  ,                    25                  ,                    1                  ,                    102T                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2018
Chargers,                    23.3                  ,                    28                  ,                    653                  ,                    0                  ,                    19                  ,                    1                  ,                    40                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2018
Seahawks,                    23.1                  ,                    29                  ,                    669                  ,                    0                  ,                    16                  ,                    2                  ,                    84                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2018
Raiders,                    22.9                  ,                    29                  ,                    663                  ,                    0                  ,                    21                  ,                    0                  ,                    34                  ,                    0                  ,                    1                  ,                    0                  ,                    1                  ,2018
Panthers,                    22.4                  ,                    26                  ,                    582                  ,                    0                  ,                    17                  ,                    0                  ,                    37                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2018
Falcons,                    22.2                  ,                    31                  ,                    689                  ,                    0                  ,                    18                  ,                    3                  ,                    53                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2018
Ravens,                    22.1                  ,                    32                  ,                    707                  ,                    0                  ,                    21                  ,                    0                  ,                    39                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2018
Eagles,                    22                  ,                    33                  ,                    725                  ,                    0                  ,                    22                  ,                    1                  ,                    48                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2018
Cowboys,                    21.8                  ,                    13                  ,                    283                  ,                    0                  ,                    9                  ,                    0                  ,                    35                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2018
Packers,                    21.5                  ,                    30                  ,                    644                  ,                    0                  ,                    22                  ,                    0                  ,                    38                  ,                    0                  ,                    2                  ,                    0                  ,                    0                  ,2018
Cardinals,                    21.4                  ,                    25                  ,                    536                  ,                    0                  ,                    12                  ,                    0                  ,                    36                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2018
Rams,                    21.4                  ,                    39                  ,                    834                  ,                    0                  ,                    23                  ,                    1                  ,                    40                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2018
Bills,                    21.2                  ,                    38                  ,                    807                  ,                    0                  ,                    23                  ,                    1                  ,                    49                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2018
Jaguars,                    20.5                  ,                    26                  ,                    532                  ,                    0                  ,                    15                  ,                    2                  ,                    47                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2018
Buccaneers,                    20.4                  ,                    31                  ,                    631                  ,                    0                  ,                    16                  ,                    0                  ,                    38                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2018
Broncos,                    20.1                  ,                    30                  ,                    604                  ,                    0                  ,                    17                  ,                    0                  ,                    35                  ,                    0                  ,                    2                  ,                    2                  ,                    1                  ,2018
Browns,                    20.1                  ,                    44                  ,                    884                  ,                    0                  ,                    25                  ,                    0                  ,                    35                  ,                    1                  ,                    0                  ,                    2                  ,                    0                  ,2018
Colts,                    19.8                  ,                    17                  ,                    337                  ,                    0                  ,                    9                  ,                    0                  ,                    29                  ,                    0                  ,                    0                  ,                    1                  ,                    1                  ,2018
Redskins,                    19.7                  ,                    29                  ,                    570                  ,                    0                  ,                    13                  ,                    1                  ,                    44                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2018
Steelers,                    19.3                  ,                    32                  ,                    619                  ,                    0                  ,                    19                  ,                    0                  ,                    35                  ,                    0                  ,                    0                  ,                    2                  ,                    0                  ,2018
Bears,                    19.1                  ,                    23                  ,                    440                  ,                    0                  ,                    10                  ,                    0                  ,                    31                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2018
Bears,                    26.6                  ,                    34                  ,                    903                  ,                    1                  ,                    23                  ,                    2                  ,                    102T                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2019
Bengals,                    26                  ,                    42                  ,                    1091                  ,                    1                  ,                    28                  ,                    4                  ,                    92T                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2019
Broncos,                    25.4                  ,                    21                  ,                    534                  ,                    0                  ,                    16                  ,                    3                  ,                    60                  ,                    0                  ,                    1                  ,                    1                  ,                    0                  ,2019
Redskins,                    25.2                  ,                    33                  ,                    833                  ,                    1                  ,                    20                  ,                    3                  ,                    91T                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2019
Bills,                    25.1                  ,                    32                  ,                    802                  ,                    1                  ,                    21                  ,                    4                  ,                    66T                  ,                    0                  ,                    0                  ,                    2                  ,                    0                  ,2019
Chiefs,                    25                  ,                    37                  ,                    927                  ,                    1                  ,                    26                  ,                    1                  ,                    104T                  ,                    0                  ,                    2                  ,                    1                  ,                    1                  ,2019
Lions,                    24.5                  ,                    23                  ,                    564                  ,                    1                  ,                    13                  ,                    1                  ,                    100T                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2019
Jaguars,                    24.2                  ,                    26                  ,                    628                  ,                    0                  ,                    20                  ,                    1                  ,                    59                  ,                    0                  ,                    2                  ,                    1                  ,                    1                  ,2019
Saints,                    24.1                  ,                    28                  ,                    676                  ,                    0                  ,                    17                  ,                    4                  ,                    51                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2019
Giants,                    23.5                  ,                    49                  ,                    1153                  ,                    0                  ,                    32                  ,                    3                  ,                    52                  ,                    1                  ,                    0                  ,                    0                  ,                    1                  ,2019
Raiders,                    23.2                  ,                    35                  ,                    811                  ,                    0                  ,                    19                  ,                    2                  ,                    72                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2019
Falcons,                    22.8                  ,                    25                  ,                    571                  ,                    0                  ,                    14                  ,                    1                  ,                    47                  ,                    0                  ,                    0                  ,                    0                  ,                    1                  ,2019
Colts,                    22.8                  ,                    31                  ,                    707                  ,                    0                  ,                    18                  ,                    2                  ,                    47                  ,                    0                  ,                    2                  ,                    0                  ,                    0                  ,2019
Eagles,                    22.5                  ,                    29                  ,                    653                  ,                    0                  ,                    18                  ,                    1                  ,                    67                  ,                    0                  ,                    2                  ,                    1                  ,                    1                  ,2019
Rams,                    22.4                  ,                    18                  ,                    404                  ,                    0                  ,                    13                  ,                    0                  ,                    30                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2019
Vikings,                    22.4                  ,                    17                  ,                    380                  ,                    0                  ,                    10                  ,                    0                  ,                    38                  ,                    0                  ,                    2                  ,                    0                  ,                    0                  ,2019
Patriots,                    22.1                  ,                    26                  ,                    575                  ,                    0                  ,                    17                  ,                    0                  ,                    38                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2019
Dolphins,                    22.1                  ,                    36                  ,                    796                  ,                    1                  ,                    20                  ,                    2                  ,                    101T                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2019
Texans,                    22                  ,                    14                  ,                    308                  ,                    0                  ,                    10                  ,                    0                  ,                    31                  ,                    0                  ,                    0                  ,                    2                  ,                    0                  ,2019
Panthers,                    21.8                  ,                    31                  ,                    677                  ,                    0                  ,                    22                  ,                    0                  ,                    36                  ,                    0                  ,                    1                  ,                    1                  ,                    0                  ,2019
Browns,                    21.8                  ,                    38                  ,                    830                  ,                    0                  ,                    22                  ,                    2                  ,                    74                  ,                    0                  ,                    0                  ,                    2                  ,                    0                  ,2019
Jets,                    21.8                  ,                    37                  ,                    807                  ,                    0                  ,                    21                  ,                    1                  ,                    78                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2019
Titans,                    21.3                  ,                    30                  ,                    638                  ,                    0                  ,                    18                  ,                    1                  ,                    45                  ,                    0                  ,                    0                  ,                    3                  ,                    1                  ,2019
Cardinals,                    21.2                  ,                    36                  ,                    764                  ,                    0                  ,                    21                  ,                    0                  ,                    39                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2019
Packers,                    20.8                  ,                    32                  ,                    667                  ,                    0                  ,                    17                  ,                    1                  ,                    45                  ,                    0                  ,                    0                  ,                    0                  ,                    1                  ,2019
Chargers,                    20.7                  ,                    35                  ,                    726                  ,                    0                  ,                    21                  ,                    1                  ,                    43                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2019
49ers,                    20.4                  ,                    20                  ,                    409                  ,                    0                  ,                    12                  ,                    1                  ,                    81                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2019
Buccaneers,                    19.8                  ,                    25                  ,                    494                  ,                    0                  ,                    13                  ,                    0                  ,                    39                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2019
Seahawks,                    19.6                  ,                    22                  ,                    432                  ,                    0                  ,                    12                  ,                    0                  ,                    33                  ,                    0                  ,                    0                  ,                    2                  ,                    0                  ,2019
Ravens,                    18.3                  ,                    27                  ,                    493                  ,                    0                  ,                    11                  ,                    1                  ,                    46                  ,                    0                  ,                    0                  ,                    2                  ,                    0                  ,2019
Steelers,                    18.1                  ,                    29                  ,                    525                  ,                    0                  ,                    14                  ,                    0                  ,                    34                  ,                    0                  ,                    0                  ,                    0                  ,                    1                  ,2019
Cowboys,                    16.2                  ,                    20                  ,                    325                  ,                    0                  ,                    10                  ,                    0                  ,                    30                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2019
Bills,                    27.6                  ,                    36                  ,                    995                  ,                    0                  ,                    30                  ,                    5                  ,                    60                  ,                    0                  ,                    2                  ,                    0                  ,                    0                  ,2020
Ravens,                    26.6                  ,                    23                  ,                    613                  ,                    1                  ,                    17                  ,                    1                  ,                    93T                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2020
Cowboys,                    26.1                  ,                    37                  ,                    965                  ,                    1                  ,                    25                  ,                    5                  ,                    67T                  ,                    0                  ,                    0                  ,                    0                  ,                    1                  ,2020
Colts,                    25.8                  ,                    43                  ,                    1111                  ,                    1                  ,                    33                  ,                    2                  ,                    101T                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2020
Chiefs,                    25.8                  ,                    25                  ,                    646                  ,                    1                  ,                    18                  ,                    2                  ,                    102T                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2020
Saints,                    25.4                  ,                    30                  ,                    761                  ,                    0                  ,                    22                  ,                    1                  ,                    75                  ,                    0                  ,                    1                  ,                    1                  ,                    0                  ,2020
Panthers,                    25.3                  ,                    29                  ,                    734                  ,                    0                  ,                    21                  ,                    1                  ,                    98                  ,                    0                  ,                    0                  ,                    0                  ,                    1                  ,2020
Lions,                    24.8                  ,                    34                  ,                    845                  ,                    0                  ,                    22                  ,                    3                  ,                    71                  ,                    0                  ,                    0                  ,                    0                  ,                    1                  ,2020
Bengals,                    24.6                  ,                    31                  ,                    764                  ,                    1                  ,                    17                  ,                    5                  ,                    103T                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2020
Bears,                    24.4                  ,                    47                  ,                    1145                  ,                    1                  ,                    31                  ,                    6                  ,                    104T                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2020
Patriots,                    23.1                  ,                    31                  ,                    717                  ,                    0                  ,                    21                  ,                    1                  ,                    53                  ,                    0                  ,                    1                  ,                    1                  ,                    1                  ,2020
Steelers,                    23.1                  ,                    29                  ,                    670                  ,                    0                  ,                    20                  ,                    1                  ,                    49                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2020
Seahawks,                    22.5                  ,                    28                  ,                    629                  ,                    0                  ,                    19                  ,                    2                  ,                    49                  ,                    0                  ,                    0                  ,                    0                  ,                    1                  ,2020
Browns,                    22.1                  ,                    36                  ,                    795                  ,                    0                  ,                    22                  ,                    1                  ,                    43                  ,                    0                  ,                    0                  ,                    1                  ,                    2                  ,2020
Chargers,                    22                  ,                    42                  ,                    924                  ,                    0                  ,                    21                  ,                    3                  ,                    76                  ,                    0                  ,                    0                  ,                    0                  ,                    2                  ,2020
Giants,                    21.9                  ,                    36                  ,                    788                  ,                    0                  ,                    20                  ,                    2                  ,                    48                  ,                    0                  ,                    3                  ,                    0                  ,                    0                  ,2020
Vikings,                    21.9                  ,                    33                  ,                    722                  ,                    0                  ,                    22                  ,                    0                  ,                    38                  ,                    0                  ,                    0                  ,                    1                  ,                    1                  ,2020
Cardinals,                    21.9                  ,                    24                  ,                    525                  ,                    0                  ,                    15                  ,                    2                  ,                    54                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2020
Buccaneers,                    21.8                  ,                    25                  ,                    546                  ,                    0                  ,                    19                  ,                    0                  ,                    34                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2020
Eagles,                    20.9                  ,                    31                  ,                    648                  ,                    0                  ,                    17                  ,                    2                  ,                    46                  ,                    0                  ,                    1                  ,                    1                  ,                    1                  ,2020
FootballTeam,                    20.8                  ,                    31                  ,                    645                  ,                    0                  ,                    22                  ,                    1                  ,                    46                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2020
Rams,                    20.6                  ,                    25                  ,                    516                  ,                    0                  ,                    14                  ,                    1                  ,                    41                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2020
Broncos,                    20.6                  ,                    27                  ,                    557                  ,                    0                  ,                    17                  ,                    0                  ,                    31                  ,                    0                  ,                    0                  ,                    1                  ,                    1                  ,2020
Jaguars,                    20.5                  ,                    30                  ,                    614                  ,                    0                  ,                    14                  ,                    1                  ,                    40                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2020
Falcons,                    20.4                  ,                    20                  ,                    409                  ,                    0                  ,                    11                  ,                    0                  ,                    29                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2020
Titans,                    20.2                  ,                    38                  ,                    767                  ,                    1                  ,                    18                  ,                    1                  ,                    42T                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2020
Texans,                    20.1                  ,                    36                  ,                    722                  ,                    0                  ,                    23                  ,                    0                  ,                    29                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2020
Jets,                    19.8                  ,                    41                  ,                    811                  ,                    0                  ,                    18                  ,                    2                  ,                    66                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2020
49ers,                    19.3                  ,                    27                  ,                    520                  ,                    0                  ,                    12                  ,                    0                  ,                    34                  ,                    0                  ,                    1                  ,                    0                  ,                    1                  ,2020
Raiders,                    19                  ,                    22                  ,                    418                  ,                    0                  ,                    10                  ,                    1                  ,                    44                  ,                    0                  ,                    2                  ,                    2                  ,                    0                  ,2020
