Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM,FG Blk,XP Blk,year
Steelers,                    25.3                  ,                    43                  ,                    1086                  ,                    0                  ,                    29                  ,                    6                  ,                    68                  ,                    1                  ,                    0                  ,                    0                  ,                    1                  ,2012
Packers,                    25                  ,                    43                  ,                    1074                  ,                    0                  ,                    35                  ,                    3                  ,                    46                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2012
Saints,                    24.8                  ,                    51                  ,                    1266                  ,                    0                  ,                    37                  ,                    2                  ,                    75                  ,                    0                  ,                    1                  ,                    1                  ,                    0                  ,2012
Niners,                    24.8                  ,                    49                  ,                    1216                  ,                    0                  ,                    34                  ,                    3                  ,                    94                  ,                    0                  ,                    2                  ,                    1                  ,                    0                  ,2012
Chargers,                    23.9                  ,                    40                  ,                    957                  ,                    1                  ,                    27                  ,                    1                  ,                    99T                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2012
Falcons,                    23.7                  ,                    27                  ,                    640                  ,                    0                  ,                    20                  ,                    2                  ,                    77                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2012
Titans,                    23.6                  ,                    63                  ,                    1489                  ,                    1                  ,                    40                  ,                    2                  ,                    105T                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2012
Redskins,                    23.5                  ,                    38                  ,                    892                  ,                    0                  ,                    24                  ,                    3                  ,                    55                  ,                    0                  ,                    1                  ,                    1                  ,                    0                  ,2012
Cardinals,                    23.2                  ,                    40                  ,                    930                  ,                    0                  ,                    25                  ,                    2                  ,                    65                  ,                    0                  ,                    2                  ,                    2                  ,                    0                  ,2012
Broncos,                    23.1                  ,                    28                  ,                    646                  ,                    1                  ,                    14                  ,                    3                  ,                    105T                  ,                    0                  ,                    2                  ,                    0                  ,                    0                  ,2012
Bengals,                    22.6                  ,                    41                  ,                    928                  ,                    0                  ,                    24                  ,                    2                  ,                    45                  ,                    0                  ,                    2                  ,                    0                  ,                    0                  ,2012
Colts,                    22.3                  ,                    43                  ,                    957                  ,                    1                  ,                    20                  ,                    2                  ,                    101T                  ,                    0                  ,                    2                  ,                    0                  ,                    0                  ,2012
Raiders,                    22.3                  ,                    42                  ,                    935                  ,                    0                  ,                    26                  ,                    2                  ,                    51                  ,                    0                  ,                    0                  ,                    2                  ,                    0                  ,2012
Panthers,                    22.2                  ,                    39                  ,                    867                  ,                    0                  ,                    31                  ,                    0                  ,                    35                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2012
Texans,                    21.7                  ,                    44                  ,                    953                  ,                    0                  ,                    26                  ,                    1                  ,                    54                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2012
Chiefs,                    21.6                  ,                    49                  ,                    1059                  ,                    0                  ,                    32                  ,                    1                  ,                    41                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2012
Patriots,                    21.2                  ,                    38                  ,                    807                  ,                    1                  ,                    20                  ,                    1                  ,                    104T                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2012
Rams,                    21                  ,                    38                  ,                    799                  ,                    0                  ,                    22                  ,                    1                  ,                    48                  ,                    0                  ,                    2                  ,                    1                  ,                    0                  ,2012
Jaguars,                    21                  ,                    53                  ,                    1114                  ,                    0                  ,                    34                  ,                    0                  ,                    38                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2012
Eagles,                    21                  ,                    60                  ,                    1259                  ,                    0                  ,                    39                  ,                    1                  ,                    44                  ,                    0                  ,                    2                  ,                    0                  ,                    0                  ,2012
Cowboys,                    20.6                  ,                    36                  ,                    741                  ,                    0                  ,                    22                  ,                    1                  ,                    44                  ,                    0                  ,                    3                  ,                    0                  ,                    0                  ,2012
Buccaneers,                    20.3                  ,                    31                  ,                    630                  ,                    0                  ,                    17                  ,                    1                  ,                    55                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2012
Lions,                    20                  ,                    34                  ,                    681                  ,                    0                  ,                    19                  ,                    1                  ,                    40                  ,                    0                  ,                    1                  ,                    1                  ,                    0                  ,2012
Bears,                    19.8                  ,                    47                  ,                    929                  ,                    0                  ,                    25                  ,                    2                  ,                    40                  ,                    0                  ,                    1                  ,                    1                  ,                    0                  ,2012
Chiefs,                    29.9                  ,                    44                  ,                    1316                  ,                    2                  ,                    34                  ,                    7                  ,                    108                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2013
Ravens,                    26.4                  ,                    44                  ,                    1163                  ,                    1                  ,                    34                  ,                    3                  ,                    77T                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2013
