Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD,year
49ers,                    83                  ,                    5201                  ,                    64                  ,                    77.1                  ,                    15                  ,                    20.1                  ,                    2                  ,                    1                  ,                    1                  ,                    0                  ,2017
Cowboys,                    80                  ,                    5159                  ,                    45                  ,                    56.2                  ,                    35                  ,                    21.7                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2017
Titans,                    80                  ,                    5120                  ,                    47                  ,                    58.8                  ,                    32                  ,                    23.4                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2017
Seahawks,                    80                  ,                    4986                  ,                    39                  ,                    48.8                  ,                    39                  ,                    20.3                  ,                    1                  ,                    0                  ,                    1                  ,                    0                  ,2017
Redskins,                    79                  ,                    4987                  ,                    53                  ,                    67.1                  ,                    24                  ,                    18.7                  ,                    2                  ,                    0                  ,                    1                  ,                    0                  ,2017
Cardinals,                    77                  ,                    4715                  ,                    34                  ,                    44.2                  ,                    40                  ,                    22                  ,                    2                  ,                    0                  ,                    1                  ,                    1                  ,2017
Chargers,                    77                  ,                    4924                  ,                    31                  ,                    40.3                  ,                    46                  ,                    25                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2017
Buccaneers,                    77                  ,                    4704                  ,                    27                  ,                    35.1                  ,                    47                  ,                    24.8                  ,                    3                  ,                    0                  ,                    0                  ,                    2                  ,2017
Texans,                    76                  ,                    4764                  ,                    49                  ,                    64.5                  ,                    27                  ,                    20.3                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2017
Bills,                    74                  ,                    4365                  ,                    37                  ,                    50                  ,                    31                  ,                    22                  ,                    6                  ,                    1                  ,                    0                  ,                    0                  ,2017
Broncos,                    73                  ,                    4309                  ,                    45                  ,                    61.6                  ,                    22                  ,                    22.6                  ,                    6                  ,                    0                  ,                    0                  ,                    1                  ,2017
Jets,                    72                  ,                    4404                  ,                    45                  ,                    62.5                  ,                    23                  ,                    20                  ,                    4                  ,                    1                  ,                    1                  ,                    0                  ,2017
Colts,                    70                  ,                    4390                  ,                    46                  ,                    65.7                  ,                    23                  ,                    19.2                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2017
Packers,                    68                  ,                    4246                  ,                    36                  ,                    52.9                  ,                    30                  ,                    22.2                  ,                    2                  ,                    2                  ,                    0                  ,                    0                  ,2017
Bengals,                    67                  ,                    4248                  ,                    31                  ,                    46.3                  ,                    35                  ,                    23.2                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2017
Dolphins,                    67                  ,                    4015                  ,                    28                  ,                    41.8                  ,                    34                  ,                    19.6                  ,                    5                  ,                    4                  ,                    0                  ,                    0                  ,2017
Raiders,                    64                  ,                    4058                  ,                    48                  ,                    75                  ,                    15                  ,                    19.9                  ,                    1                  ,                    1                  ,                    0                  ,                    0                  ,2017
Giants,                    62                  ,                    3849                  ,                    26                  ,                    41.9                  ,                    32                  ,                    20.5                  ,                    2                  ,                    0                  ,                    2                  ,                    0                  ,2017
Bears,                    60                  ,                    3780                  ,                    28                  ,                    46.7                  ,                    32                  ,                    21.8                  ,                    0                  ,                    0                  ,                    0                  ,                    1                  ,2017
Browns,                    57                  ,                    3350                  ,                    33                  ,                    57.9                  ,                    20                  ,                    23.6                  ,                    4                  ,                    0                  ,                    0                  ,                    1                  ,2017
Chiefs,                    111                  ,                    7130                  ,                    72                  ,                    64.9                  ,                    36                  ,                    22.5                  ,                    1                  ,                    0                  ,                    3                  ,                    0                  ,2018
Rams,                    107                  ,                    6849                  ,                    77                  ,                    72                  ,                    29                  ,                    22.5                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2018
Saints,                    103                  ,                    6598                  ,                    64                  ,                    62.1                  ,                    39                  ,                    22.7                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2018
Patriots,                    93                  ,                    5783                  ,                    50                  ,                    53.8                  ,                    42                  ,                    24.6                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2018
Ravens,                    92                  ,                    5799                  ,                    58                  ,                    63                  ,                    32                  ,                    23.3                  ,                    1                  ,                    0                  ,                    1                  ,                    0                  ,2018
Texans,                    92                  ,                    5885                  ,                    58                  ,                    63                  ,                    33                  ,                    20.7                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2018
Falcons,                    89                  ,                    5578                  ,                    51                  ,                    57.3                  ,                    36                  ,                    22.7                  ,                    2                  ,                    0                  ,                    0                  ,                    0                  ,2018
Bears,                    89                  ,                    5664                  ,                    65                  ,                    73                  ,                    22                  ,                    24.9                  ,                    1                  ,                    1                  ,                    1                  ,                    1                  ,2018
Colts,                    88                  ,                    5435                  ,                    59                  ,                    67                  ,                    27                  ,                    22                  ,                    2                  ,                    0                  ,                    0                  ,                    0                  ,2018
Chargers,                    88                  ,                    5526                  ,                    27                  ,                    30.7                  ,                    61                  ,                    21.7                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2018
Buccaneers,                    86                  ,                    5349                  ,                    51                  ,                    59.3                  ,                    34                  ,                    21                  ,                    2                  ,                    0                  ,                    0                  ,                    0                  ,2018
Giants,                    85                  ,                    5254                  ,                    51                  ,                    60                  ,                    28                  ,                    20.4                  ,                    4                  ,                    1                  ,                    3                  ,                    0                  ,2018
Steelers,                    85                  ,                    5328                  ,                    50                  ,                    58.8                  ,                    35                  ,                    20.8                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2018
Packers,                    84                  ,                    5229                  ,                    41                  ,                    48.8                  ,                    40                  ,                    25.6                  ,                    3                  ,                    0                  ,                    0                  ,                    1                  ,2018
Jets,                    83                  ,                    5311                  ,                    60                  ,                    72.3                  ,                    23                  ,                    23.4                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2018
Seahawks,                    83                  ,                    5082                  ,                    42                  ,                    50.6                  ,                    37                  ,                    24.8                  ,                    3                  ,                    0                  ,                    1                  ,                    1                  ,2018
Eagles,                    82                  ,                    5210                  ,                    57                  ,                    69.5                  ,                    24                  ,                    22.5                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2018
49ers,                    81                  ,                    5065                  ,                    52                  ,                    64.2                  ,                    27                  ,                    24.5                  ,                    2                  ,                    0                  ,                    0                  ,                    0                  ,2018
Bengals,                    79                  ,                    5003                  ,                    45                  ,                    57                  ,                    31                  ,                    22.7                  ,                    1                  ,                    0                  ,                    1                  ,                    0                  ,2018
Browns,                    79                  ,                    5011                  ,                    52                  ,                    65.8                  ,                    24                  ,                    23.9                  ,                    1                  ,                    0                  ,                    1                  ,                    0                  ,2018
Lions,                    79                  ,                    4797                  ,                    37                  ,                    46.8                  ,                    37                  ,                    22.6                  ,                    5                  ,                    1                  ,                    0                  ,                    0                  ,2018
Vikings,                    79                  ,                    4791                  ,                    44                  ,                    55.7                  ,                    31                  ,                    23.3                  ,                    4                  ,                    0                  ,                    2                  ,                    0                  ,2018
Panthers,                    78                  ,                    4938                  ,                    60                  ,                    76.9                  ,                    17                  ,                    23.9                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2018
Cowboys,                    77                  ,                    4984                  ,                    52                  ,                    67.5                  ,                    25                  ,                    26.5                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2018
Broncos,                    73                  ,                    4473                  ,                    42                  ,                    57.5                  ,                    28                  ,                    20.8                  ,                    4                  ,                    0                  ,                    1                  ,                    0                  ,2018
Titans,                    72                  ,                    4536                  ,                    45                  ,                    62.5                  ,                    25                  ,                    27.8                  ,                    2                  ,                    0                  ,                    0                  ,                    1                  ,2018
Raiders,                    71                  ,                    4350                  ,                    29                  ,                    40.8                  ,                    39                  ,                    23.6                  ,                    3                  ,                    0                  ,                    1                  ,                    0                  ,2018
Dolphins,                    70                  ,                    4432                  ,                    55                  ,                    78.6                  ,                    13                  ,                    26.1                  ,                    1                  ,                    0                  ,                    1                  ,                    1                  ,2018
Redskins,                    70                  ,                    4443                  ,                    56                  ,                    80                  ,                    13                  ,                    22.7                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2018
Bills,                    66                  ,                    3958                  ,                    30                  ,                    45.4                  ,                    34                  ,                    22.2                  ,                    3                  ,                    0                  ,                    0                  ,                    0                  ,2018
Jaguars,                    64                  ,                    3908                  ,                    41                  ,                    64.1                  ,                    21                  ,                    17.8                  ,                    2                  ,                    1                  ,                    0                  ,                    0                  ,2018
Cardinals,                    56                  ,                    3534                  ,                    28                  ,                    50                  ,                    27                  ,                    21.6                  ,                    1                  ,                    0                  ,                    1                  ,                    0                  ,2018
Ravens,                    106                  ,                    6646                  ,                    57                  ,                    53.8                  ,                    48                  ,                    21.5                  ,                    1                  ,                    0                  ,                    0                  ,                    1                  ,2019
Chiefs,                    98                  ,                    6157                  ,                    60                  ,                    61.2                  ,                    37                  ,                    19.6                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2019
49ers,                    98                  ,                    6220                  ,                    49                  ,                    50                  ,                    48                  ,                    21.8                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2019
Buccaneers,                    98                  ,                    6317                  ,                    88                  ,                    89.8                  ,                    9                  ,                    23                  ,                    1                  ,                    0                  ,                    1                  ,                    0                  ,2019
Saints,                    95                  ,                    6128                  ,                    74                  ,                    77.9                  ,                    21                  ,                    27                  ,                    0                  ,                    0                  ,                    0                  ,                    1                  ,2019
Cowboys,                    92                  ,                    5656                  ,                    51                  ,                    55.4                  ,                    35                  ,                    23.3                  ,                    4                  ,                    0                  ,                    3                  ,                    0                  ,2019
Patriots,                    92                  ,                    5777                  ,                    59                  ,                    64.1                  ,                    29                  ,                    20.9                  ,                    2                  ,                    0                  ,                    3                  ,                    0                  ,2019
Vikings,                    88                  ,                    5664                  ,                    66                  ,                    75                  ,                    21                  ,                    25.1                  ,                    1                  ,                    0                  ,                    1                  ,                    0                  ,2019
Falcons,                    87                  ,                    5180                  ,                    47                  ,                    54                  ,                    31                  ,                    22.3                  ,                    7                  ,                    2                  ,                    4                  ,                    0                  ,2019
Rams,                    85                  ,                    5429                  ,                    65                  ,                    76.5                  ,                    17                  ,                    27.5                  ,                    1                  ,                    0                  ,                    3                  ,                    0                  ,2019
Seahawks,                    85                  ,                    5337                  ,                    59                  ,                    69.4                  ,                    24                  ,                    22.2                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2019
Cardinals,                    83                  ,                    5302                  ,                    45                  ,                    54.2                  ,                    36                  ,                    20.6                  ,                    0                  ,                    0                  ,                    2                  ,                    0                  ,2019
Texans,                    82                  ,                    5164                  ,                    42                  ,                    51.2                  ,                    39                  ,                    18.6                  ,                    1                  ,                    1                  ,                    0                  ,                    0                  ,2019
Eagles,                    81                  ,                    5073                  ,                    52                  ,                    64.2                  ,                    27                  ,                    23.8                  ,                    2                  ,                    0                  ,                    0                  ,                    1                  ,2019
Lions,                    80                  ,                    4938                  ,                    25                  ,                    31.2                  ,                    52                  ,                    24.7                  ,                    2                  ,                    1                  ,                    1                  ,                    1                  ,2019
Browns,                    79                  ,                    4934                  ,                    30                  ,                    38                  ,                    46                  ,                    20.4                  ,                    2                  ,                    0                  ,                    2                  ,                    0                  ,2019
Packers,                    79                  ,                    5068                  ,                    49                  ,                    62                  ,                    29                  ,                    24.2                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2019
Colts,                    79                  ,                    5101                  ,                    60                  ,                    76                  ,                    19                  ,                    24.7                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2019
Titans,                    78                  ,                    4814                  ,                    39                  ,                    50                  ,                    37                  ,                    23.7                  ,                    2                  ,                    0                  ,                    0                  ,                    0                  ,2019
Panthers,                    76                  ,                    4658                  ,                    66                  ,                    86.8                  ,                    5                  ,                    20.4                  ,                    5                  ,                    1                  ,                    0                  ,                    0                  ,2019
Jaguars,                    76                  ,                    4583                  ,                    39                  ,                    51.3                  ,                    32                  ,                    21.6                  ,                    5                  ,                    0                  ,                    0                  ,                    0                  ,2019
Steelers,                    75                  ,                    4735                  ,                    31                  ,                    41.3                  ,                    44                  ,                    21.5                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2019
Chargers,                    75                  ,                    4647                  ,                    36                  ,                    48                  ,                    36                  ,                    24.5                  ,                    3                  ,                    0                  ,                    0                  ,                    1                  ,2019
Bills,                    74                  ,                    4579                  ,                    42                  ,                    56.8                  ,                    30                  ,                    23                  ,                    2                  ,                    0                  ,                    0                  ,                    1                  ,2019
Dolphins,                    73                  ,                    4424                  ,                    49                  ,                    67.1                  ,                    20                  ,                    27                  ,                    4                  ,                    1                  ,                    0                  ,                    1                  ,2019
Broncos,                    72                  ,                    4634                  ,                    55                  ,                    76.4                  ,                    17                  ,                    26.8                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2019
Giants,                    72                  ,                    4519                  ,                    50                  ,                    69.4                  ,                    20                  ,                    18                  ,                    1                  ,                    0                  ,                    2                  ,                    0                  ,2019
Bengals,                    71                  ,                    4308                  ,                    46                  ,                    64.8                  ,                    19                  ,                    21.1                  ,                    5                  ,                    1                  ,                    1                  ,                    0                  ,2019
Raiders,                    71                  ,                    4496                  ,                    38                  ,                    53.5                  ,                    33                  ,                    20.9                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2019
Jets,                    68                  ,                    4117                  ,                    32                  ,                    47.1                  ,                    33                  ,                    19.3                  ,                    3                  ,                    0                  ,                    0                  ,                    0                  ,2019
Redskins,                    68                  ,                    4231                  ,                    48                  ,                    70.6                  ,                    17                  ,                    25.8                  ,                    3                  ,                    0                  ,                    0                  ,                    0                  ,2019
Bears,                    67                  ,                    4166                  ,                    36                  ,                    53.7                  ,                    27                  ,                    25                  ,                    2                  ,                    1                  ,                    3                  ,                    0                  ,2019
Bills,                    101                  ,                    6469                  ,                    71                  ,                    70.3                  ,                    30                  ,                    17.9                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2020
Buccaneers,                    101                  ,                    6514                  ,                    85                  ,                    84.2                  ,                    14                  ,                    33.6                  ,                    1                  ,                    0                  ,                    1                  ,                    0                  ,2020
Packers,                    98                  ,                    6240                  ,                    52                  ,                    53.1                  ,                    45                  ,                    24.2                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2020
Colts,                    97                  ,                    6070                  ,                    46                  ,                    47.4                  ,                    51                  ,                    21.3                  ,                    1                  ,                    0                  ,                    0                  ,                    1                  ,2020
Chiefs,                    97                  ,                    6222                  ,                    72                  ,                    74.2                  ,                    23                  ,                    23.9                  ,                    0                  ,                    0                  ,                    2                  ,                    1                  ,2020
Ravens,                    95                  ,                    6094                  ,                    65                  ,                    68.4                  ,                    30                  ,                    21.1                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2020
Raiders,                    95                  ,                    5966                  ,                    61                  ,                    64.2                  ,                    32                  ,                    23.4                  ,                    2                  ,                    0                  ,                    0                  ,                    0                  ,2020
Saints,                    95                  ,                    5962                  ,                    71                  ,                    74.7                  ,                    22                  ,                    17.2                  ,                    2                  ,                    0                  ,                    1                  ,                    0                  ,2020
Titans,                    94                  ,                    5864                  ,                    53                  ,                    56.4                  ,                    37                  ,                    22.2                  ,                    2                  ,                    0                  ,                    2                  ,                    0                  ,2020
Seahawks,                    93                  ,                    5818                  ,                    52                  ,                    55.9                  ,                    38                  ,                    21.4                  ,                    3                  ,                    0                  ,                    0                  ,                    0                  ,2020
Falcons,                    92                  ,                    5834                  ,                    46                  ,                    50                  ,                    43                  ,                    23.5                  ,                    2                  ,                    1                  ,                    1                  ,                    0                  ,2020
Cowboys,                    92                  ,                    5705                  ,                    60                  ,                    65.2                  ,                    29                  ,                    20.9                  ,                    3                  ,                    1                  ,                    0                  ,                    0                  ,2020
Dolphins,                    92                  ,                    5626                  ,                    64                  ,                    69.6                  ,                    24                  ,                    15.7                  ,                    4                  ,                    0                  ,                    1                  ,                    0                  ,2020
Steelers,                    88                  ,                    5521                  ,                    45                  ,                    51.1                  ,                    41                  ,                    22.2                  ,                    1                  ,                    0                  ,                    1                  ,                    0                  ,2020
Texans,                    87                  ,                    5464                  ,                    52                  ,                    59.8                  ,                    34                  ,                    20.7                  ,                    2                  ,                    1                  ,                    0                  ,                    0                  ,2020
Cardinals,                    87                  ,                    5450                  ,                    39                  ,                    44.8                  ,                    46                  ,                    19.5                  ,                    2                  ,                    0                  ,                    1                  ,                    0                  ,2020
Bears,                    86                  ,                    5252                  ,                    42                  ,                    48.8                  ,                    41                  ,                    20.4                  ,                    3                  ,                    0                  ,                    0                  ,                    0                  ,2020
Vikings,                    85                  ,                    5052                  ,                    53                  ,                    62.4                  ,                    27                  ,                    24.8                  ,                    5                  ,                    0                  ,                    0                  ,                    1                  ,2020
Browns,                    84                  ,                    5360                  ,                    45                  ,                    53.6                  ,                    38                  ,                    26.3                  ,                    0                  ,                    0                  ,                    1                  ,                    1                  ,2020
Chargers,                    84                  ,                    5364                  ,                    49                  ,                    58.3                  ,                    34                  ,                    26.8                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2020
Panthers,                    81                  ,                    5095                  ,                    71                  ,                    87.6                  ,                    7                  ,                    20.6                  ,                    3                  ,                    0                  ,                    0                  ,                    0                  ,2020
Rams,                    81                  ,                    5237                  ,                    54                  ,                    66.7                  ,                    26                  ,                    28.4                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2020
49ers,                    81                  ,                    4871                  ,                    44                  ,                    54.3                  ,                    32                  ,                    24.8                  ,                    6                  ,                    0                  ,                    0                  ,                    1                  ,2020
