Team,FF,FR,FR TD,Rec FUM,Rush FUM,year
Bears,                    18                  ,                    10                  ,                    0                  ,                    8                  ,                    5                  ,2014
Seahawks,                    18                  ,                    10                  ,                    0                  ,                    7                  ,                    10                  ,2014
Texans,                    17                  ,                    14                  ,                    1                  ,                    7                  ,                    8                  ,2014
Rams,                    17                  ,                    12                  ,                    0                  ,                    5                  ,                    13                  ,2014
Ravens,                    16                  ,                    11                  ,                    0                  ,                    6                  ,                    8                  ,2014
Chargers,                    16                  ,                    11                  ,                    3                  ,                    3                  ,                    10                  ,2014
Buccaneers,                    16                  ,                    11                  ,                    0                  ,                    5                  ,                    8                  ,2014
Browns,                    15                  ,                    8                  ,                    1                  ,                    3                  ,                    6                  ,2014
Cowboys,                    15                  ,                    12                  ,                    1                  ,                    9                  ,                    2                  ,2014
Broncos,                    15                  ,                    7                  ,                    1                  ,                    11                  ,                    3                  ,2014
Patriots,                    15                  ,                    8                  ,                    2                  ,                    5                  ,                    6                  ,2014
Giants,                    15                  ,                    8                  ,                    1                  ,                    1                  ,                    10                  ,2014
Bills,                    14                  ,                    11                  ,                    1                  ,                    5                  ,                    6                  ,2014
Redskins,                    14                  ,                    12                  ,                    0                  ,                    3                  ,                    12                  ,2014
Falcons,                    13                  ,                    12                  ,                    1                  ,                    5                  ,                    5                  ,2014
Chiefs,                    13                  ,                    7                  ,                    0                  ,                    2                  ,                    4                  ,2014
Dolphins,                    13                  ,                    11                  ,                    1                  ,                    2                  ,                    7                  ,2014
Packers,                    12                  ,                    9                  ,                    1                  ,                    2                  ,                    11                  ,2014
Raiders,                    12                  ,                    5                  ,                    1                  ,                    2                  ,                    7                  ,2014
Steelers,                    12                  ,                    10                  ,                    1                  ,                    4                  ,                    9                  ,2014
Lions,                    11                  ,                    7                  ,                    1                  ,                    4                  ,                    6                  ,2014
Saints,                    11                  ,                    5                  ,                    0                  ,                    5                  ,                    5                  ,2014
Niners,                    10                  ,                    6                  ,                    1                  ,                    3                  ,                    4                  ,2014
Vikings,                    9                  ,                    6                  ,                    1                  ,                    5                  ,                    3                  ,2014
Jets,                    9                  ,                    7                  ,                    0                  ,                    3                  ,                    5                  ,2014
Cardinals,                    9                  ,                    7                  ,                    1                  ,                    4                  ,                    4                  ,2014
Bengals,                    7                  ,                    6                  ,                    0                  ,                    0                  ,                    7                  ,2014
Titans,                    5                  ,                    4                  ,                    1                  ,                    2                  ,                    2                  ,2014
Panthers,                    22                  ,                    15                  ,                    0                  ,                    7                  ,                    9                  ,2015
Broncos,                    22                  ,                    12                  ,                    1                  ,                    10                  ,                    4                  ,2015
Patriots,                    22                  ,                    9                  ,                    2                  ,                    6                  ,                    6                  ,2015
Cardinals,                    22                  ,                    14                  ,                    2                  ,                    4                  ,                    12                  ,2015
Redskins,                    22                  ,                    15                  ,                    1                  ,                    10                  ,                    13                  ,2015
Rams,                    20                  ,                    12                  ,                    2                  ,                    9                  ,                    9                  ,2015
Buccaneers,                    19                  ,                    12                  ,                    2                  ,                    7                  ,                    9                  ,2015
Saints,                    18                  ,                    13                  ,                    1                  ,                    2                  ,                    15                  ,2015
Giants,                    18                  ,                    12                  ,                    2                  ,                    8                  ,                    11                  ,2015
Eagles,                    18                  ,                    11                  ,                    1                  ,                    7                  ,                    3                  ,2015
Seahawks,                    18                  ,                    8                  ,                    3                  ,                    3                  ,                    9                  ,2015
Lions,                    17                  ,                    9                  ,                    1                  ,                    5                  ,                    7                  ,2015
Steelers,                    16                  ,                    13                  ,                    0                  ,                    6                  ,                    12                  ,2015
Jets,                    15                  ,                    12                  ,                    0                  ,                    0                  ,                    8                  ,2015
Browns,                    14                  ,                    10                  ,                    0                  ,                    5                  ,                    6                  ,2015
Jaguars,                    14                  ,                    9                  ,                    2                  ,                    2                  ,                    4                  ,2015
Raiders,                    14                  ,                    10                  ,                    0                  ,                    8                  ,                    2                  ,2015
Colts,                    13                  ,                    8                  ,                    1                  ,                    3                  ,                    10                  ,2015
Chiefs,                    13                  ,                    6                  ,                    2                  ,                    0                  ,                    7                  ,2015
Falcons,                    12                  ,                    8                  ,                    2                  ,                    4                  ,                    7                  ,2015
Packers,                    12                  ,                    6                  ,                    0                  ,                    3                  ,                    8                  ,2015
Texans,                    12                  ,                    11                  ,                    1                  ,                    2                  ,                    5                  ,2015
Titans,                    11                  ,                    8                  ,                    1                  ,                    0                  ,                    3                  ,2015
Vikings,                    11                  ,                    9                  ,                    1                  ,                    2                  ,                    6                  ,2015
Chargers,                    11                  ,                    9                  ,                    0                  ,                    1                  ,                    7                  ,2015
Bengals,                    10                  ,                    7                  ,                    0                  ,                    3                  ,                    4                  ,2015
Bills,                    9                  ,                    8                  ,                    1                  ,                    1                  ,                    4                  ,2015
Ravens,                    8                  ,                    8                  ,                    1                  ,                    3                  ,                    7                  ,2015
Dolphins,                    8                  ,                    3                  ,                    0                  ,                    1                  ,                    3                  ,2015
Bears,                    6                  ,                    9                  ,                    0                  ,                    3                  ,                    6                  ,2015
Cowboys,                    6                  ,                    3                  ,                    0                  ,                    3                  ,                    2                  ,2015
Niners,                    5                  ,                    3                  ,                    0                  ,                    3                  ,                    4                  ,2015
Cardinals,                    21                  ,                    13                  ,                    1                  ,                    2                  ,                    11                  ,2016
Raiders,                    20                  ,                    14                  ,                    0                  ,                    5                  ,                    11                  ,2016
Panthers,                    18                  ,                    10                  ,                    2                  ,                    4                  ,                    5                  ,2016
Cowboys,                    18                  ,                    11                  ,                    0                  ,                    6                  ,                    8                  ,2016
Falcons,                    17                  ,                    10                  ,                    2                  ,                    6                  ,                    6                  ,2016
Redskins,                    17                  ,                    7                  ,                    0                  ,                    2                  ,                    10                  ,2016
Broncos,                    16                  ,                    13                  ,                    1                  ,                    5                  ,                    8                  ,2016
Chiefs,                    16                  ,                    15                  ,                    1                  ,                    6                  ,                    8                  ,2016
Dolphins,                    16                  ,                    9                  ,                    0                  ,                    6                  ,                    7                  ,2016
Patriots,                    16                  ,                    9                  ,                    0                  ,                    4                  ,                    11                  ,2016
Steelers,                    16                  ,                    10                  ,                    1                  ,                    4                  ,                    5                  ,2016
Seahawks,                    16                  ,                    8                  ,                    1                  ,                    2                  ,                    8                  ,2016
Buccaneers,                    16                  ,                    12                  ,                    0                  ,                    7                  ,                    4                  ,2016
Colts,                    15                  ,                    9                  ,                    1                  ,                    6                  ,                    4                  ,2016
Giants,                    15                  ,                    8                  ,                    2                  ,                    5                  ,                    5                  ,2016
Eagles,                    15                  ,                    10                  ,                    0                  ,                    4                  ,                    2                  ,2016
49ers,                    15                  ,                    10                  ,                    0                  ,                    3                  ,                    8                  ,2016
Ravens,                    14                  ,                    10                  ,                    1                  ,                    1                  ,                    10                  ,2016
Jets,                    14                  ,                    4                  ,                    0                  ,                    2                  ,                    12                  ,2016
Chargers,                    14                  ,                    10                  ,                    2                  ,                    3                  ,                    6                  ,2016
Vikings,                    13                  ,                    13                  ,                    2                  ,                    2                  ,                    12                  ,2016
Rams,                    12                  ,                    8                  ,                    1                  ,                    5                  ,                    3                  ,2016
Bills,                    11                  ,                    6                  ,                    2                  ,                    2                  ,                    10                  ,2016
Bears,                    11                  ,                    3                  ,                    1                  ,                    3                  ,                    3                  ,2016
Saints,                    11                  ,                    12                  ,                    0                  ,                    7                  ,                    5                  ,2016
Jaguars,                    10                  ,                    6                  ,                    0                  ,                    1                  ,                    7                  ,2016
Packers,                    9                  ,                    8                  ,                    0                  ,                    3                  ,                    1                  ,2016
Lions,                    8                  ,                    4                  ,                    0                  ,                    1                  ,                    5                  ,2016
Texans,                    7                  ,                    6                  ,                    0                  ,                    2                  ,                    8                  ,2016
Bengals,                    6                  ,                    3                  ,                    0                  ,                    3                  ,                    4                  ,2016
Browns,                    6                  ,                    3                  ,                    0                  ,                    1                  ,                    3                  ,2016
Titans,                    4                  ,                    6                  ,                    1                  ,                    1                  ,                    5                  ,2016
Cowboys,                    20                  ,                    10                  ,                    0                  ,                    3                  ,                    6                  ,2017
Buccaneers,                    18                  ,                    13                  ,                    3                  ,                    5                  ,                    9                  ,2017
Jaguars,                    17                  ,                    12                  ,                    5                  ,                    1                  ,                    8                  ,2017
Rams,                    17                  ,                    10                  ,                    0                  ,                    3                  ,                    8                  ,2017
Saints,                    17                  ,                    5                  ,                    1                  ,                    4                  ,                    5                  ,2017
Cardinals,                    17                  ,                    6                  ,                    1                  ,                    3                  ,                    7                  ,2017
49ers,                    17                  ,                    10                  ,                    0                  ,                    5                  ,                    10                  ,2017
